,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
71,0.0051,4.01,additive,2.01,6.447820961251614
93,0.0051,8.01,additive,6.009999999999999,6.682128270137526
61,0.0051,2.01,additive,2.01,6.907905461104461
81,0.0051,6.009999999999999,additive,2.01,7.060436822446307
91,0.0051,8.01,additive,2.01,7.455029862263606
62,0.0051,2.01,additive,4.01,7.602738834713744
63,0.0051,2.01,additive,6.009999999999999,7.647511362475117
64,0.0051,2.01,additive,8.01,7.689927712296173
83,0.0051,6.009999999999999,additive,6.009999999999999,7.848655944752002
94,0.0051,8.01,additive,8.01,7.863491607349188
84,0.0051,6.009999999999999,additive,8.01,8.096201514654092
72,0.0051,4.01,additive,4.01,8.121663261053554
74,0.0051,4.01,additive,8.01,8.206046229151562
92,0.0051,8.01,additive,4.01,8.25616564156943
70,0.0051,4.01,additive,0.01,8.596755642188121
82,0.0051,6.009999999999999,additive,4.01,8.685599661138633
60,0.0051,2.01,additive,0.01,8.937438428280386
73,0.0051,4.01,additive,6.009999999999999,9.024664407634235
90,0.0051,8.01,additive,0.01,9.207553580400464
54,0.0051,0.01,additive,8.01,9.787728386363023
52,0.0051,0.01,additive,4.01,10.21827410934638
80,0.0051,6.009999999999999,additive,0.01,10.22096759580591
111,0.0101,2.01,additive,2.01,10.720520076950276
141,0.0101,8.01,additive,2.01,10.840350246827992
132,0.0101,6.009999999999999,additive,4.01,11.443620998129877
50,0.0051,0.01,additive,0.01,11.810305725829044
134,0.0101,6.009999999999999,additive,8.01,12.135218635601491
51,0.0051,0.01,additive,2.01,12.161715421598963
122,0.0101,4.01,additive,4.01,12.96171957770238
130,0.0101,6.009999999999999,additive,0.01,13.030394068932164
110,0.0101,2.01,additive,0.01,13.187279669439503
140,0.0101,8.01,additive,0.01,13.20243545698719
131,0.0101,6.009999999999999,additive,2.01,13.320706721489186
112,0.0101,2.01,additive,4.01,13.419161742367026
100,0.0101,0.01,additive,0.01,13.43494397674006
120,0.0101,4.01,additive,0.01,13.543670298742464
142,0.0101,8.01,additive,4.01,13.694839882314753
133,0.0101,6.009999999999999,additive,6.009999999999999,13.795465101297024
53,0.0051,0.01,additive,6.009999999999999,13.815260208182865
113,0.0101,2.01,additive,6.009999999999999,14.396867252115609
