,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
78,0.0051,4.01,multiplicative,6.009999999999999,120.3307747644583
75,0.0051,4.01,multiplicative,0.01,120.68282739692478
77,0.0051,4.01,multiplicative,4.01,121.2015027506332
67,0.0051,2.01,multiplicative,4.01,121.44538854148203
59,0.0051,0.01,multiplicative,8.01,121.60118002083415
76,0.0051,4.01,multiplicative,2.01,121.77765831777718
68,0.0051,2.01,multiplicative,6.009999999999999,122.58608259524546
79,0.0051,4.01,multiplicative,8.01,123.4223256594901
89,0.0051,6.009999999999999,multiplicative,8.01,123.58156479759998
115,0.0101,2.01,multiplicative,0.01,123.6203241046534
98,0.0051,8.01,multiplicative,6.009999999999999,123.67157080465483
128,0.0101,4.01,multiplicative,6.009999999999999,123.70722859072119
56,0.0051,0.01,multiplicative,2.01,123.87186442362396
57,0.0051,0.01,multiplicative,4.01,123.91080679411839
129,0.0101,4.01,multiplicative,8.01,123.99733903068524
95,0.0051,8.01,multiplicative,0.01,124.05750050736164
106,0.0101,0.01,multiplicative,2.01,124.16919198434255
107,0.0101,0.01,multiplicative,4.01,124.1796397871306
58,0.0051,0.01,multiplicative,6.009999999999999,124.3342238901733
96,0.0051,8.01,multiplicative,2.01,124.34622055938196
127,0.0101,4.01,multiplicative,4.01,124.39528763249994
55,0.0051,0.01,multiplicative,0.01,124.54047107568553
109,0.0101,0.01,multiplicative,8.01,124.63219556003205
108,0.0101,0.01,multiplicative,6.009999999999999,124.9047924627777
66,0.0051,2.01,multiplicative,2.01,124.91900576074929
136,0.0101,6.009999999999999,multiplicative,2.01,124.99336574643804
145,0.0101,8.01,multiplicative,0.01,125.08690636221999
86,0.0051,6.009999999999999,multiplicative,2.01,125.11830187039152
126,0.0101,4.01,multiplicative,2.01,125.34809086617425
116,0.0101,2.01,multiplicative,2.01,125.35360809006448
149,0.0101,8.01,multiplicative,8.01,125.43151677925306
105,0.0101,0.01,multiplicative,0.01,125.49793686406035
65,0.0051,2.01,multiplicative,0.01,125.54153784708389
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,125.57928638387843
87,0.0051,6.009999999999999,multiplicative,4.01,125.58066386305786
125,0.0101,4.01,multiplicative,0.01,125.63377012342242
139,0.0101,6.009999999999999,multiplicative,8.01,125.68069201147647
85,0.0051,6.009999999999999,multiplicative,0.01,125.79056239327933
99,0.0051,8.01,multiplicative,8.01,126.05796763923401
97,0.0051,8.01,multiplicative,4.01,126.08257301942479
147,0.0101,8.01,multiplicative,4.01,126.10034618473574
148,0.0101,8.01,multiplicative,6.009999999999999,126.17817206055688
69,0.0051,2.01,multiplicative,8.01,126.21694825202529
135,0.0101,6.009999999999999,multiplicative,0.01,126.3708514712595
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,126.59766042692944
146,0.0101,8.01,multiplicative,2.01,126.7101579124463
119,0.0101,2.01,multiplicative,8.01,126.97342846368743
137,0.0101,6.009999999999999,multiplicative,4.01,127.07459718244225
117,0.0101,2.01,multiplicative,4.01,127.5613899331434
118,0.0101,2.01,multiplicative,6.009999999999999,127.74902661149797
52,0.0051,0.01,additive,4.01,215.9087023000184
53,0.0051,0.01,additive,6.009999999999999,216.64696896706315
54,0.0051,0.01,additive,8.01,217.4081282571003
51,0.0051,0.01,additive,2.01,218.12551733222446
102,0.0101,0.01,additive,4.01,219.8315901137857
100,0.0101,0.01,additive,0.01,220.11946932156695
103,0.0101,0.01,additive,6.009999999999999,220.4223044550234
94,0.0051,8.01,additive,8.01,220.63184791345103
83,0.0051,6.009999999999999,additive,6.009999999999999,220.63567118838355
64,0.0051,2.01,additive,8.01,220.6528371337758
74,0.0051,4.01,additive,8.01,220.91348974170356
63,0.0051,2.01,additive,6.009999999999999,220.99946625611793
92,0.0051,8.01,additive,4.01,221.10082462890395
82,0.0051,6.009999999999999,additive,4.01,221.29677868965848
101,0.0101,0.01,additive,2.01,221.430282764379
93,0.0051,8.01,additive,6.009999999999999,221.43862875149821
81,0.0051,6.009999999999999,additive,2.01,221.47687932296014
72,0.0051,4.01,additive,4.01,221.50782274919848
104,0.0101,0.01,additive,8.01,221.50824829357614
71,0.0051,4.01,additive,2.01,221.8602050476583
73,0.0051,4.01,additive,6.009999999999999,221.94791373274242
70,0.0051,4.01,additive,0.01,222.14882746737098
61,0.0051,2.01,additive,2.01,222.29702670534158
84,0.0051,6.009999999999999,additive,8.01,222.75209827749464
112,0.0101,2.01,additive,4.01,223.09937966423234
60,0.0051,2.01,additive,0.01,223.26437320588047
91,0.0051,8.01,additive,2.01,223.66549342842447
130,0.0101,6.009999999999999,additive,0.01,224.15918027318793
113,0.0101,2.01,additive,6.009999999999999,224.32079026443446
144,0.0101,8.01,additive,8.01,224.48894648820846
132,0.0101,6.009999999999999,additive,4.01,224.51856695642164
80,0.0051,6.009999999999999,additive,0.01,224.52661816707317
50,0.0051,0.01,additive,0.01,224.53289294773407
111,0.0101,2.01,additive,2.01,224.5701687363097
120,0.0101,4.01,additive,0.01,224.72817535218442
131,0.0101,6.009999999999999,additive,2.01,224.78775791173894
124,0.0101,4.01,additive,8.01,224.8288317336081
123,0.0101,4.01,additive,6.009999999999999,224.85788974347187
110,0.0101,2.01,additive,0.01,224.9390345233452
143,0.0101,8.01,additive,6.009999999999999,224.94624073435463
141,0.0101,8.01,additive,2.01,224.9800088715201
142,0.0101,8.01,additive,4.01,225.02352455617424
90,0.0051,8.01,additive,0.01,225.05614046864042
134,0.0101,6.009999999999999,additive,8.01,225.09156682558108
133,0.0101,6.009999999999999,additive,6.009999999999999,225.0945120224701
114,0.0101,2.01,additive,8.01,225.14433126451127
121,0.0101,4.01,additive,2.01,225.15982745828907
62,0.0051,2.01,additive,4.01,225.29469703422492
140,0.0101,8.01,additive,0.01,225.32658929311918
122,0.0101,4.01,additive,4.01,225.38977111916282
22,0.0001,4.01,additive,4.01,595.1474350434889
24,0.0001,4.01,additive,8.01,596.9669156254886
21,0.0001,4.01,additive,2.01,597.1041953899389
12,0.0001,2.01,additive,4.01,597.2169120064091
14,0.0001,2.01,additive,8.01,597.9392688539431
13,0.0001,2.01,additive,6.009999999999999,597.94218546569
20,0.0001,4.01,additive,0.01,602.0303633439506
0,0.0001,0.01,additive,0.01,602.0448048350299
23,0.0001,4.01,additive,6.009999999999999,602.4917280292794
11,0.0001,2.01,additive,2.01,603.1935744981388
41,0.0001,8.01,additive,2.01,607.3079806801372
43,0.0001,8.01,additive,6.009999999999999,607.4644547533853
44,0.0001,8.01,additive,8.01,607.5497262474557
33,0.0001,6.009999999999999,additive,6.009999999999999,609.3797253850598
32,0.0001,6.009999999999999,additive,4.01,609.7799938620367
31,0.0001,6.009999999999999,additive,2.01,609.9928974457259
34,0.0001,6.009999999999999,additive,8.01,610.0361615087197
42,0.0001,8.01,additive,4.01,610.0972837885282
10,0.0001,2.01,additive,0.01,615.433724854126
30,0.0001,6.009999999999999,additive,0.01,617.9070980352972
1,0.0001,0.01,additive,2.01,625.0456474622824
3,0.0001,0.01,additive,6.009999999999999,625.075802792414
4,0.0001,0.01,additive,8.01,625.0760184762906
2,0.0001,0.01,additive,4.01,625.1016969079765
17,0.0001,2.01,multiplicative,4.01,637.2597654743041
40,0.0001,8.01,additive,0.01,644.5193286557926
46,0.0001,8.01,multiplicative,2.01,648.3411004562889
6,0.0001,0.01,multiplicative,2.01,653.3906148488151
5,0.0001,0.01,multiplicative,0.01,653.6394510769653
19,0.0001,2.01,multiplicative,8.01,657.3140013495854
29,0.0001,4.01,multiplicative,8.01,669.8369167733094
7,0.0001,0.01,multiplicative,4.01,680.2074896239671
8,0.0001,0.01,multiplicative,6.009999999999999,688.1963706349526
45,0.0001,8.01,multiplicative,0.01,690.9987171930319
37,0.0001,6.009999999999999,multiplicative,4.01,696.5385739891839
27,0.0001,4.01,multiplicative,4.01,701.4784468444864
47,0.0001,8.01,multiplicative,4.01,704.3008748218583
26,0.0001,4.01,multiplicative,2.01,705.4221704887192
28,0.0001,4.01,multiplicative,6.009999999999999,709.252885779935
39,0.0001,6.009999999999999,multiplicative,8.01,716.8477521843993
36,0.0001,6.009999999999999,multiplicative,2.01,725.2261718668204
48,0.0001,8.01,multiplicative,6.009999999999999,730.1345961350571
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,739.4065826802305
16,0.0001,2.01,multiplicative,2.01,742.1249522609911
9,0.0001,0.01,multiplicative,8.01,745.9791000464015
18,0.0001,2.01,multiplicative,6.009999999999999,749.3573727665857
49,0.0001,8.01,multiplicative,8.01,767.5883234237808
25,0.0001,4.01,multiplicative,0.01,1618.518506429092
15,0.0001,2.01,multiplicative,0.01,1633.275222356183
35,0.0001,6.009999999999999,multiplicative,0.01,1635.651177717693
