,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
137,0.0101,6.009999999999999,multiplicative,4.01,101.04218622542585
127,0.0101,4.01,multiplicative,4.01,101.44219704459702
148,0.0101,8.01,multiplicative,6.009999999999999,102.2656645661791
58,0.0051,0.01,multiplicative,6.009999999999999,103.11990070850953
108,0.0101,0.01,multiplicative,6.009999999999999,105.36300452328129
116,0.0101,2.01,multiplicative,2.01,106.24234792557479
55,0.0051,0.01,multiplicative,0.01,106.36532757286999
5,0.0001,0.01,multiplicative,0.01,109.38312869171769
59,0.0051,0.01,multiplicative,8.01,110.7085662970033
146,0.0101,8.01,multiplicative,2.01,110.74402897597537
117,0.0101,2.01,multiplicative,4.01,112.21079597443166
136,0.0101,6.009999999999999,multiplicative,2.01,113.52347422290032
147,0.0101,8.01,multiplicative,4.01,113.6928262076375
128,0.0101,4.01,multiplicative,6.009999999999999,114.6501071328914
135,0.0101,6.009999999999999,multiplicative,0.01,115.02265155963487
7,0.0001,0.01,multiplicative,4.01,115.23696314620784
56,0.0051,0.01,multiplicative,2.01,116.0197008314588
118,0.0101,2.01,multiplicative,6.009999999999999,116.04945950322909
129,0.0101,4.01,multiplicative,8.01,117.71522494199138
57,0.0051,0.01,multiplicative,4.01,118.1018994432109
69,0.0051,2.01,multiplicative,8.01,118.611189463302
119,0.0101,2.01,multiplicative,8.01,119.17456223238403
149,0.0101,8.01,multiplicative,8.01,120.00194503798345
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,120.70969175791078
8,0.0001,0.01,multiplicative,6.009999999999999,123.11284026146126
47,0.0001,8.01,multiplicative,4.01,123.72887251378822
107,0.0101,0.01,multiplicative,4.01,123.7489055850872
145,0.0101,8.01,multiplicative,0.01,123.88836565218546
27,0.0001,4.01,multiplicative,4.01,124.2236700441338
66,0.0051,2.01,multiplicative,2.01,126.06763935807335
139,0.0101,6.009999999999999,multiplicative,8.01,126.59184841556433
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,127.02404168171613
37,0.0001,6.009999999999999,multiplicative,4.01,127.31757746793899
95,0.0051,8.01,multiplicative,0.01,127.86762548451951
109,0.0101,0.01,multiplicative,8.01,128.2668115912257
97,0.0051,8.01,multiplicative,4.01,129.00595822122645
85,0.0051,6.009999999999999,multiplicative,0.01,129.2428994189891
105,0.0101,0.01,multiplicative,0.01,129.27907410957357
106,0.0101,0.01,multiplicative,2.01,129.94459325672798
54,0.0051,0.01,additive,8.01,129.97832378711672
0,0.0001,0.01,additive,0.01,130.63418430095874
75,0.0051,4.01,multiplicative,0.01,131.4552449616892
65,0.0051,2.01,multiplicative,0.01,131.96759049536072
115,0.0101,2.01,multiplicative,0.01,132.56292568049625
53,0.0051,0.01,additive,6.009999999999999,133.21127540120915
104,0.0101,0.01,additive,8.01,133.2372375823299
100,0.0101,0.01,additive,0.01,133.36116781526815
2,0.0001,0.01,additive,4.01,133.4336455884769
