,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
4,0.0001,0.01,additive,8.01,63.28667992257367
13,0.0001,2.01,additive,6.009999999999999,63.29129773518948
23,0.0001,4.01,additive,6.009999999999999,63.29220856933549
33,0.0001,6.009999999999999,additive,6.009999999999999,63.29237757725992
43,0.0001,8.01,additive,6.009999999999999,63.29243790841936
3,0.0001,0.01,additive,6.009999999999999,63.4413056372401
1,0.0001,0.01,additive,2.01,63.47782744852228
11,0.0001,2.01,additive,2.01,64.10719770052425
21,0.0001,4.01,additive,2.01,64.10737378403616
31,0.0001,6.009999999999999,additive,2.01,64.10740370465939
41,0.0001,8.01,additive,2.01,64.1074126739733
16,0.0001,2.01,multiplicative,2.01,64.45118105782664
26,0.0001,4.01,multiplicative,2.01,64.45118544357398
36,0.0001,6.009999999999999,multiplicative,2.01,64.45118628170295
46,0.0001,8.01,multiplicative,2.01,64.45118654693458
47,0.0001,8.01,multiplicative,4.01,65.02448018311446
37,0.0001,6.009999999999999,multiplicative,4.01,65.02449200033963
27,0.0001,4.01,multiplicative,4.01,65.02452491934521
17,0.0001,2.01,multiplicative,4.01,65.02470052473217
7,0.0001,0.01,multiplicative,4.01,65.03216744055908
8,0.0001,0.01,multiplicative,6.009999999999999,65.59361396131295
14,0.0001,2.01,additive,8.01,65.60478629752394
24,0.0001,4.01,additive,8.01,65.6066196916064
34,0.0001,6.009999999999999,additive,8.01,65.60696319760513
44,0.0001,8.01,additive,8.01,65.60708249138813
48,0.0001,8.01,multiplicative,6.009999999999999,65.70396389525372
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,65.70396778917711
28,0.0001,4.01,multiplicative,6.009999999999999,65.7039751455972
18,0.0001,2.01,multiplicative,6.009999999999999,65.70416862105255
6,0.0001,0.01,multiplicative,2.01,65.81286935632528
9,0.0001,0.01,multiplicative,8.01,66.2777768538317
19,0.0001,2.01,multiplicative,8.01,66.37014529350657
49,0.0001,8.01,multiplicative,8.01,66.37017827172498
29,0.0001,4.01,multiplicative,8.01,66.3701785116495
39,0.0001,6.009999999999999,multiplicative,8.01,66.37017932740993
2,0.0001,0.01,additive,4.01,69.13876508192571
42,0.0001,8.01,additive,4.01,69.53158410207801
32,0.0001,6.009999999999999,additive,4.01,69.53164316735247
22,0.0001,4.01,additive,4.01,69.53181008288885
12,0.0001,2.01,additive,4.01,69.53259711602169
101,0.0101,0.01,additive,2.01,72.89599957961275
104,0.0101,0.01,additive,8.01,73.35890549414098
131,0.0101,6.009999999999999,additive,2.01,73.53544620310593
141,0.0101,8.01,additive,2.01,73.55661377909605
134,0.0101,6.009999999999999,additive,8.01,73.56956606331862
102,0.0101,0.01,additive,4.01,73.60452252547732
122,0.0101,4.01,additive,4.01,73.60788664449892
123,0.0101,4.01,additive,6.009999999999999,73.6791166055297
133,0.0101,6.009999999999999,additive,6.009999999999999,73.69330752065211
112,0.0101,2.01,additive,4.01,73.69659756989556
103,0.0101,0.01,additive,6.009999999999999,73.7375868041872
144,0.0101,8.01,additive,8.01,73.73909947729936
113,0.0101,2.01,additive,6.009999999999999,73.76011456220685
142,0.0101,8.01,additive,4.01,73.77916055785107
143,0.0101,8.01,additive,6.009999999999999,73.79098507604445
114,0.0101,2.01,additive,8.01,73.79736979268536
132,0.0101,6.009999999999999,additive,4.01,73.79923022259703
124,0.0101,4.01,additive,8.01,73.81206656015067
111,0.0101,2.01,additive,2.01,73.90295056654745
121,0.0101,4.01,additive,2.01,73.90324674836876
105,0.0101,0.01,multiplicative,0.01,76.34160548597984
108,0.0101,0.01,multiplicative,6.009999999999999,76.43181628107358
145,0.0101,8.01,multiplicative,0.01,76.45210224833342
125,0.0101,4.01,multiplicative,0.01,76.45252364984499
115,0.0101,2.01,multiplicative,0.01,76.4527490470952
135,0.0101,6.009999999999999,multiplicative,0.01,76.45309803345927
