,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
5,0.0001,0.01,multiplicative,0.01,171384684691.5399
7,0.0001,0.01,multiplicative,4.01,171519869001.62924
6,0.0001,0.01,multiplicative,2.01,171520652746.05228
8,0.0001,0.01,multiplicative,6.009999999999999,171537649517.15454
9,0.0001,0.01,multiplicative,8.01,171547974448.05246
49,0.0001,8.01,multiplicative,8.01,178627420063.48663
48,0.0001,8.01,multiplicative,6.009999999999999,178627420066.7971
47,0.0001,8.01,multiplicative,4.01,178627420070.3292
46,0.0001,8.01,multiplicative,2.01,178627420097.1764
19,0.0001,2.01,multiplicative,8.01,178627681598.85327
18,0.0001,2.01,multiplicative,6.009999999999999,178627681627.7883
17,0.0001,2.01,multiplicative,4.01,178627681708.8572
16,0.0001,2.01,multiplicative,2.01,178627682146.82382
29,0.0001,4.01,multiplicative,8.01,178642215468.96954
28,0.0001,4.01,multiplicative,6.009999999999999,178642215509.0412
27,0.0001,4.01,multiplicative,4.01,178642215626.8326
26,0.0001,4.01,multiplicative,2.01,178642216257.02792
39,0.0001,6.009999999999999,multiplicative,8.01,178642216448.18948
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,178642216484.5547
37,0.0001,6.009999999999999,multiplicative,4.01,178642216585.13962
36,0.0001,6.009999999999999,multiplicative,2.01,178642217126.1148
25,0.0001,4.01,multiplicative,0.01,178658563172.5084
15,0.0001,2.01,multiplicative,0.01,178658657795.24738
35,0.0001,6.009999999999999,multiplicative,0.01,178658694837.10223
45,0.0001,8.01,multiplicative,0.01,178658703924.14575
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,252833568796.85617
89,0.0051,6.009999999999999,multiplicative,8.01,252948234534.01126
87,0.0051,6.009999999999999,multiplicative,4.01,252961991738.91107
86,0.0051,6.009999999999999,multiplicative,2.01,252977370355.04483
98,0.0051,8.01,multiplicative,6.009999999999999,253284267747.47888
67,0.0051,2.01,multiplicative,4.01,253449917066.98642
99,0.0051,8.01,multiplicative,8.01,253489853249.87125
68,0.0051,2.01,multiplicative,6.009999999999999,253505654552.2133
66,0.0051,2.01,multiplicative,2.01,253530016383.986
69,0.0051,2.01,multiplicative,8.01,253688459894.26318
97,0.0051,8.01,multiplicative,4.01,253834986364.80096
96,0.0051,8.01,multiplicative,2.01,253865830166.4209
75,0.0051,4.01,multiplicative,0.01,253919654091.13422
78,0.0051,4.01,multiplicative,6.009999999999999,253928693759.01724
77,0.0051,4.01,multiplicative,4.01,254298395237.33707
76,0.0051,4.01,multiplicative,2.01,254728960269.06744
79,0.0051,4.01,multiplicative,8.01,254869488437.46802
65,0.0051,2.01,multiplicative,0.01,255696245187.02182
85,0.0051,6.009999999999999,multiplicative,0.01,259806405281.18414
55,0.0051,0.01,multiplicative,0.01,391457757366.2725
57,0.0051,0.01,multiplicative,4.01,424557239166.7221
59,0.0051,0.01,multiplicative,8.01,436593788070.94366
58,0.0051,0.01,multiplicative,6.009999999999999,436658508397.7312
56,0.0051,0.01,multiplicative,2.01,442865116381.8378
108,0.0101,0.01,multiplicative,6.009999999999999,637862696934.4465
