,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
407,0.0101,0.01,additive,7.01,1062.784916213715
444,0.0101,2.01,additive,4.01,1078.0479176933768
402,0.0101,0.01,additive,2.01,1080.6319720993097
582,0.0101,9.01,additive,2.01,1092.3449135841267
548,0.0101,7.01,additive,8.01,1092.7428259235248
526,0.0101,6.01,additive,6.01,1093.2066886725925
401,0.0101,0.01,additive,1.01,1097.1011252206247
446,0.0101,2.01,additive,6.01,1098.7411151745941
584,0.0101,9.01,additive,4.01,1100.918566338791
449,0.0101,2.01,additive,9.01,1101.0949099059433
524,0.0101,6.01,additive,4.01,1101.2865795064654
465,0.0101,3.01,additive,5.01,1101.3506530672519
568,0.0101,8.01,additive,8.01,1101.892447189238
441,0.0101,2.01,additive,1.01,1102.3606328677442
409,0.0101,0.01,additive,9.01,1103.1360044733062
503,0.0101,5.01,additive,3.01,1103.718152518899
428,0.0101,1.01,additive,8.01,1104.1547193913627
581,0.0101,9.01,additive,1.01,1104.3513327447915
485,0.0101,4.01,additive,5.01,1104.379307168366
424,0.0101,1.01,additive,4.01,1105.031416518067
564,0.0101,8.01,additive,4.01,1106.2552452453547
484,0.0101,4.01,additive,4.01,1106.6510210982378
562,0.0101,8.01,additive,2.01,1107.0175203649596
527,0.0101,6.01,additive,7.01,1107.4000688482565
545,0.0101,7.01,additive,5.01,1108.2579031644818
525,0.0101,6.01,additive,5.01,1109.2610904593523
33,0.0001,1.01,multiplicative,3.01,1110.3902012015758
509,0.0101,5.01,additive,9.01,1111.0571634339528
423,0.0101,1.01,additive,3.01,1111.2649790686157
546,0.0101,7.01,additive,6.01,1111.32203220699
540,0.0101,7.01,additive,0.01,1112.6249073544636
468,0.0101,3.01,additive,8.01,1112.6440150213195
505,0.0101,5.01,additive,5.01,1113.606824877585
585,0.0101,9.01,additive,5.01,1113.61819087655
447,0.0101,2.01,additive,7.01,1115.9237624003954
544,0.0101,7.01,additive,4.01,1116.0215129368335
583,0.0101,9.01,additive,3.01,1116.447611949205
482,0.0101,4.01,additive,2.01,1117.183874269743
467,0.0101,3.01,additive,7.01,1119.1326985513526
586,0.0101,9.01,additive,6.01,1120.8996096166695
462,0.0101,3.01,additive,2.01,1121.0354358063298
589,0.0101,9.01,additive,9.01,1121.2155276950973
529,0.0101,6.01,additive,9.01,1121.2356078115436
542,0.0101,7.01,additive,2.01,1121.332077626229
469,0.0101,3.01,additive,9.01,1121.5624022544557
508,0.0101,5.01,additive,8.01,1122.5640646137026
480,0.0101,4.01,additive,0.01,1123.1935623730387
560,0.0101,8.01,additive,0.01,1124.0904316136084
445,0.0101,2.01,additive,5.01,1124.4420899211366
506,0.0101,5.01,additive,6.01,1126.6548474370002
549,0.0101,7.01,additive,9.01,1126.775532721284
443,0.0101,2.01,additive,3.01,1126.8667502463247
563,0.0101,8.01,additive,3.01,1126.9145286345993
425,0.0101,1.01,additive,5.01,1128.1215235989382
481,0.0101,4.01,additive,1.01,1128.5028816052304
541,0.0101,7.01,additive,1.01,1129.128268250879
502,0.0101,5.01,additive,2.01,1129.7493700055531
500,0.0101,5.01,additive,0.01,1129.792481005451
442,0.0101,2.01,additive,2.01,1130.2142349394296
448,0.0101,2.01,additive,8.01,1130.3219587167644
429,0.0101,1.01,additive,9.01,1130.4767640550172
463,0.0101,3.01,additive,3.01,1130.8769469907468
487,0.0101,4.01,additive,7.01,1132.4394137440615
565,0.0101,8.01,additive,5.01,1134.2085035232412
507,0.0101,5.01,additive,7.01,1134.345460952795
543,0.0101,7.01,additive,3.01,1134.6426274135965
460,0.0101,3.01,additive,0.01,1135.8408574957514
486,0.0101,4.01,additive,6.01,1137.185713414981
566,0.0101,8.01,additive,6.01,1137.5069630985076
489,0.0101,4.01,additive,9.01,1137.8013950224195
461,0.0101,3.01,additive,1.01,1138.25708946082
483,0.0101,4.01,additive,3.01,1138.4299403943255
520,0.0101,6.01,additive,0.01,1139.0940070502095
488,0.0101,4.01,additive,8.01,1139.4827696956058
440,0.0101,2.01,additive,0.01,1139.9172797897697
523,0.0101,6.01,additive,3.01,1139.999684986478
466,0.0101,3.01,additive,6.01,1140.3593664037771
420,0.0101,1.01,additive,0.01,1140.5017893046115
530,0.0101,6.01,multiplicative,0.01,1140.5959828515377
521,0.0101,6.01,additive,1.01,1141.3202729275322
547,0.0101,7.01,additive,7.01,1142.505560584608
501,0.0101,5.01,additive,1.01,1143.168059464361
403,0.0101,0.01,additive,3.01,1147.907681207374
405,0.0101,0.01,additive,5.01,1148.6854422237898
419,0.0101,0.01,multiplicative,9.01,1153.100330137225
412,0.0101,0.01,multiplicative,2.01,1154.571628101032
418,0.0101,0.01,multiplicative,8.01,1155.8542361229509
464,0.0101,3.01,additive,4.01,1156.0689458128531
