,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
100,0.0101,0.01,additive,0.01,100.30457393852257
50,0.0051,0.01,additive,0.01,101.33955536497308
51,0.0051,0.01,additive,2.01,102.45157345937228
54,0.0051,0.01,additive,8.01,102.69089930290419
52,0.0051,0.01,additive,4.01,102.69227324512933
53,0.0051,0.01,additive,6.009999999999999,102.6948066375763
104,0.0101,0.01,additive,8.01,103.04155018561553
101,0.0101,0.01,additive,2.01,104.76401117450347
55,0.0051,0.01,multiplicative,0.01,104.8071132047987
103,0.0101,0.01,additive,6.009999999999999,105.59162220275064
56,0.0051,0.01,multiplicative,2.01,105.85385735371895
137,0.0101,6.009999999999999,multiplicative,4.01,106.15270711261886
116,0.0101,2.01,multiplicative,2.01,106.18819819733294
126,0.0101,4.01,multiplicative,2.01,106.19964415304915
149,0.0101,8.01,multiplicative,8.01,106.44094832844533
129,0.0101,4.01,multiplicative,8.01,106.49636364267114
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,106.50504271110681
117,0.0101,2.01,multiplicative,4.01,106.58952623539332
128,0.0101,4.01,multiplicative,6.009999999999999,106.6919667110242
118,0.0101,2.01,multiplicative,6.009999999999999,108.16448916619663
127,0.0101,4.01,multiplicative,4.01,108.48551999298313
148,0.0101,8.01,multiplicative,6.009999999999999,108.91697591047202
139,0.0101,6.009999999999999,multiplicative,8.01,109.11235919911823
105,0.0101,0.01,multiplicative,0.01,109.34836282321167
147,0.0101,8.01,multiplicative,4.01,109.57783261363365
146,0.0101,8.01,multiplicative,2.01,109.69501415480087
136,0.0101,6.009999999999999,multiplicative,2.01,109.9462834989295
102,0.0101,0.01,additive,4.01,110.48580506709733
57,0.0051,0.01,multiplicative,4.01,111.03241746086414
119,0.0101,2.01,multiplicative,8.01,111.83053862546242
60,0.0051,2.01,additive,0.01,114.52267735715597
70,0.0051,4.01,additive,0.01,114.52418298593766
80,0.0051,6.009999999999999,additive,0.01,114.52454946722432
90,0.0051,8.01,additive,0.01,114.5245555438947
1,0.0001,0.01,additive,2.01,116.27203511796684
3,0.0001,0.01,additive,6.009999999999999,116.44591303274328
2,0.0001,0.01,additive,4.01,116.46816841086721
4,0.0001,0.01,additive,8.01,116.47718398635591
39,0.0001,6.009999999999999,multiplicative,8.01,116.59876749302889
29,0.0001,4.01,multiplicative,8.01,116.61503379877611
49,0.0001,8.01,multiplicative,8.01,116.99387988768414
142,0.0101,8.01,additive,4.01,117.31359427470079
140,0.0101,8.01,additive,0.01,117.92065077314264
120,0.0101,4.01,additive,0.01,117.99410070734825
141,0.0101,8.01,additive,2.01,118.04476064120466
130,0.0101,6.009999999999999,additive,0.01,118.18128021717227
131,0.0101,6.009999999999999,additive,2.01,118.24652424870541
121,0.0101,4.01,additive,2.01,118.7430308389434
133,0.0101,6.009999999999999,additive,6.009999999999999,118.89426863615586
132,0.0101,6.009999999999999,additive,4.01,118.89682401312189
143,0.0101,8.01,additive,6.009999999999999,119.03056372795145
144,0.0101,8.01,additive,8.01,119.0472114975466
111,0.0101,2.01,additive,2.01,119.07566983987847
112,0.0101,2.01,additive,4.01,119.33487344897382
110,0.0101,2.01,additive,0.01,119.37220102247872
134,0.0101,6.009999999999999,additive,8.01,120.36276251403835
113,0.0101,2.01,additive,6.009999999999999,120.36796901225945
122,0.0101,4.01,additive,4.01,121.25416470392392
58,0.0051,0.01,multiplicative,6.009999999999999,121.73569226131198
123,0.0101,4.01,additive,6.009999999999999,122.19926055390262
26,0.0001,4.01,multiplicative,2.01,122.65122770885124
114,0.0101,2.01,additive,8.01,123.23191248073415
108,0.0101,0.01,multiplicative,6.009999999999999,123.6884638784761
16,0.0001,2.01,multiplicative,2.01,123.83120774100882
109,0.0101,0.01,multiplicative,8.01,124.58477711021739
124,0.0101,4.01,additive,8.01,124.71406108618477
46,0.0001,8.01,multiplicative,2.01,124.82484431365822
36,0.0001,6.009999999999999,multiplicative,2.01,124.82609035320205
61,0.0051,2.01,additive,2.01,125.18736328369833
71,0.0051,4.01,additive,2.01,125.18927956737596
81,0.0051,6.009999999999999,additive,2.01,125.18965506221863
91,0.0051,8.01,additive,2.01,125.18975936267273
107,0.0101,0.01,multiplicative,4.01,125.21781158866818
62,0.0051,2.01,additive,4.01,125.36479251716716
72,0.0051,4.01,additive,4.01,125.36673361870912
82,0.0051,6.009999999999999,additive,4.01,125.3671183630969
92,0.0051,8.01,additive,4.01,125.36723147534086
63,0.0051,2.01,additive,6.009999999999999,125.37168452829425
73,0.0051,4.01,additive,6.009999999999999,125.37349928701364
83,0.0051,6.009999999999999,additive,6.009999999999999,125.37381176529014
93,0.0051,8.01,additive,6.009999999999999,125.37400516011428
64,0.0051,2.01,additive,8.01,125.65521416069024
74,0.0051,4.01,additive,8.01,125.65672531609395
84,0.0051,6.009999999999999,additive,8.01,125.65711747263207
94,0.0051,8.01,additive,8.01,125.65733181897056
106,0.0101,0.01,multiplicative,2.01,126.22810395272452
69,0.0051,2.01,multiplicative,8.01,126.49135706412171
40,0.0001,8.01,additive,0.01,127.59660798850874
30,0.0001,6.009999999999999,additive,0.01,127.59682277837341
20,0.0001,4.01,additive,0.01,127.59703387886228
10,0.0001,2.01,additive,0.01,127.60124312918187
65,0.0051,2.01,multiplicative,0.01,127.77555420888909
66,0.0051,2.01,multiplicative,2.01,128.68021622126346
67,0.0051,2.01,multiplicative,4.01,128.87455386457057
17,0.0001,2.01,multiplicative,4.01,130.60916075128952
15,0.0001,2.01,multiplicative,0.01,130.6185668121607
27,0.0001,4.01,multiplicative,4.01,131.07734711806924
59,0.0051,0.01,multiplicative,8.01,131.31266767746283
37,0.0001,6.009999999999999,multiplicative,4.01,131.45143596852134
45,0.0001,8.01,multiplicative,0.01,131.49410273074497
35,0.0001,6.009999999999999,multiplicative,0.01,131.58678161685393
25,0.0001,4.01,multiplicative,0.01,131.8671749678193
68,0.0051,2.01,multiplicative,6.009999999999999,131.8676685802877
76,0.0051,4.01,multiplicative,2.01,132.2191698782492
75,0.0051,4.01,multiplicative,0.01,132.42842501925145
125,0.0101,4.01,multiplicative,0.01,132.48940154122388
47,0.0001,8.01,multiplicative,4.01,132.60161226051446
79,0.0051,4.01,multiplicative,8.01,132.7854854038246
145,0.0101,8.01,multiplicative,0.01,132.90501401958227
85,0.0051,6.009999999999999,multiplicative,0.01,132.9303653455707
115,0.0101,2.01,multiplicative,0.01,132.9770760523003
135,0.0101,6.009999999999999,multiplicative,0.01,132.978895125175
11,0.0001,2.01,additive,2.01,133.00718071346887
21,0.0001,4.01,additive,2.01,133.01659544364836
31,0.0001,6.009999999999999,additive,2.01,133.01804982295292
41,0.0001,8.01,additive,2.01,133.0187518533868
77,0.0051,4.01,multiplicative,4.01,133.29727434266132
95,0.0051,8.01,multiplicative,0.01,133.347892615357
13,0.0001,2.01,additive,6.009999999999999,133.37992809067828
23,0.0001,4.01,additive,6.009999999999999,133.38691792875127
33,0.0001,6.009999999999999,additive,6.009999999999999,133.3877529033192
43,0.0001,8.01,additive,6.009999999999999,133.38810038618396
24,0.0001,4.01,additive,8.01,133.60289324295601
34,0.0001,6.009999999999999,additive,8.01,133.60304104778814
44,0.0001,8.01,additive,8.01,133.60350549411223
14,0.0001,2.01,additive,8.01,133.6035818828021
89,0.0051,6.009999999999999,multiplicative,8.01,133.98959008387547
78,0.0051,4.01,multiplicative,6.009999999999999,134.04320880020154
99,0.0051,8.01,multiplicative,8.01,134.58157666536178
87,0.0051,6.009999999999999,multiplicative,4.01,134.77821108360536
12,0.0001,2.01,additive,4.01,135.0087165050417
22,0.0001,4.01,additive,4.01,135.01231701575708
32,0.0001,6.009999999999999,additive,4.01,135.01411355351874
42,0.0001,8.01,additive,4.01,135.0144169614418
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,135.2572558705956
28,0.0001,4.01,multiplicative,6.009999999999999,135.30343912510497
18,0.0001,2.01,multiplicative,6.009999999999999,135.3295306097987
6,0.0001,0.01,multiplicative,2.01,135.3752772805484
0,0.0001,0.01,additive,0.01,135.48554981178697
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,135.91887239250607
48,0.0001,8.01,multiplicative,6.009999999999999,136.2000541984211
9,0.0001,0.01,multiplicative,8.01,136.40693488466442
86,0.0051,6.009999999999999,multiplicative,2.01,136.4533479050377
96,0.0051,8.01,multiplicative,2.01,136.89249713737357
98,0.0051,8.01,multiplicative,6.009999999999999,136.93457773985472
97,0.0051,8.01,multiplicative,4.01,137.09540345538653
5,0.0001,0.01,multiplicative,0.01,137.41947759504473
7,0.0001,0.01,multiplicative,4.01,137.99922452669705
8,0.0001,0.01,multiplicative,6.009999999999999,140.96582016287192
19,0.0001,2.01,multiplicative,8.01,140.9934186144889
