,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
77,0.0051,4.01,multiplicative,4.01,108.4573692157227
86,0.0051,6.009999999999999,multiplicative,2.01,109.1246594434687
96,0.0051,8.01,multiplicative,2.01,109.58576348106317
99,0.0051,8.01,multiplicative,8.01,109.821528265024
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,109.88878705774906
97,0.0051,8.01,multiplicative,4.01,109.8904063707016
129,0.0101,4.01,multiplicative,8.01,110.1213596360595
65,0.0051,2.01,multiplicative,0.01,110.147344730592
127,0.0101,4.01,multiplicative,4.01,110.34297093203296
126,0.0101,4.01,multiplicative,2.01,110.4115637484821
109,0.0101,0.01,multiplicative,8.01,110.48055260848714
148,0.0101,8.01,multiplicative,6.009999999999999,110.61675251187575
76,0.0051,4.01,multiplicative,2.01,110.85785332844284
149,0.0101,8.01,multiplicative,8.01,110.99628663011862
108,0.0101,0.01,multiplicative,6.009999999999999,111.03874953301265
115,0.0101,2.01,multiplicative,0.01,111.23235455586948
117,0.0101,2.01,multiplicative,4.01,111.24527047479187
147,0.0101,8.01,multiplicative,4.01,111.25415079508862
128,0.0101,4.01,multiplicative,6.009999999999999,111.34854867022487
119,0.0101,2.01,multiplicative,8.01,111.84708992017688
79,0.0051,4.01,multiplicative,8.01,111.94456378461501
89,0.0051,6.009999999999999,multiplicative,8.01,111.98122946811048
118,0.0101,2.01,multiplicative,6.009999999999999,112.09828354198943
78,0.0051,4.01,multiplicative,6.009999999999999,112.12996406279667
125,0.0101,4.01,multiplicative,0.01,112.1616514621435
106,0.0101,0.01,multiplicative,2.01,112.19064913084853
135,0.0101,6.009999999999999,multiplicative,0.01,112.19943113328459
107,0.0101,0.01,multiplicative,4.01,112.2468034425682
55,0.0051,0.01,multiplicative,0.01,112.37599624632797
95,0.0051,8.01,multiplicative,0.01,112.67199134936791
105,0.0101,0.01,multiplicative,0.01,112.8343315831075
136,0.0101,6.009999999999999,multiplicative,2.01,112.90797883399154
145,0.0101,8.01,multiplicative,0.01,113.06509650871948
87,0.0051,6.009999999999999,multiplicative,4.01,113.15153637204642
146,0.0101,8.01,multiplicative,2.01,113.19369061303
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,113.33800496986643
67,0.0051,2.01,multiplicative,4.01,113.37409673431888
75,0.0051,4.01,multiplicative,0.01,113.60968019450756
98,0.0051,8.01,multiplicative,6.009999999999999,113.6979678004003
139,0.0101,6.009999999999999,multiplicative,8.01,114.16681362646202
69,0.0051,2.01,multiplicative,8.01,114.23247324048205
137,0.0101,6.009999999999999,multiplicative,4.01,114.41805183553349
66,0.0051,2.01,multiplicative,2.01,114.61392064938329
116,0.0101,2.01,multiplicative,2.01,114.94954857796313
6,0.0001,0.01,multiplicative,2.01,115.33781071013284
68,0.0051,2.01,multiplicative,6.009999999999999,115.57847771683913
85,0.0051,6.009999999999999,multiplicative,0.01,115.75511973185985
28,0.0001,4.01,multiplicative,6.009999999999999,117.50575689700644
56,0.0051,0.01,multiplicative,2.01,117.51483596360318
49,0.0001,8.01,multiplicative,8.01,117.98983437534152
39,0.0001,6.009999999999999,multiplicative,8.01,118.10143182141162
29,0.0001,4.01,multiplicative,8.01,119.22249191246436
59,0.0051,0.01,multiplicative,8.01,119.38531152020968
58,0.0051,0.01,multiplicative,6.009999999999999,119.39734199332435
57,0.0051,0.01,multiplicative,4.01,119.49143894841143
