,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
53,0.0001,2.01,multiplicative,3.01,88.4185746481015
112,0.0001,5.01,multiplicative,2.01,88.68733249553419
192,0.0001,9.01,multiplicative,2.01,89.33847839496508
172,0.0001,8.01,multiplicative,2.01,89.69210867049941
152,0.0001,7.01,multiplicative,2.01,89.86397551321453
132,0.0001,6.01,multiplicative,2.01,90.00673240721679
159,0.0001,7.01,multiplicative,9.01,91.31560194206956
55,0.0001,2.01,multiplicative,5.01,91.42631931440329
93,0.0001,4.01,multiplicative,3.01,91.58612235192233
73,0.0001,3.01,multiplicative,3.01,92.8669119275906
179,0.0001,8.01,multiplicative,9.01,92.90009631549435
51,0.0001,2.01,multiplicative,1.01,93.62531029965078
110,0.0001,5.01,multiplicative,0.01,93.77582003589539
32,0.0001,1.01,multiplicative,2.01,93.83752989227413
34,0.0001,1.01,multiplicative,4.01,93.91889406955504
90,0.0001,4.01,multiplicative,0.01,94.09185337506484
177,0.0001,8.01,multiplicative,7.01,94.43975877086895
157,0.0001,7.01,multiplicative,7.01,94.48077341626255
197,0.0001,9.01,multiplicative,7.01,94.51611488422378
118,0.0001,5.01,multiplicative,8.01,94.5266995860793
138,0.0001,6.01,multiplicative,8.01,94.5347478030594
119,0.0001,5.01,multiplicative,9.01,94.54054923577358
137,0.0001,6.01,multiplicative,7.01,94.59069897696995
31,0.0001,1.01,multiplicative,1.01,94.60190549335603
130,0.0001,6.01,multiplicative,0.01,94.6098462087357
99,0.0001,4.01,multiplicative,9.01,94.66833465369626
193,0.0001,9.01,multiplicative,3.01,94.77792628897774
196,0.0001,9.01,multiplicative,6.01,94.78069210257624
158,0.0001,7.01,multiplicative,8.01,94.79490675775119
117,0.0001,5.01,multiplicative,7.01,94.80983634497754
173,0.0001,8.01,multiplicative,3.01,94.86827722744083
153,0.0001,7.01,multiplicative,3.01,95.03357432587455
58,0.0001,2.01,multiplicative,8.01,95.07206426233243
54,0.0001,2.01,multiplicative,4.01,95.21004294100442
56,0.0001,2.01,multiplicative,6.01,95.27104021508579
74,0.0001,3.01,multiplicative,4.01,95.35713090553041
57,0.0001,2.01,multiplicative,7.01,95.48638753544236
113,0.0001,5.01,multiplicative,3.01,95.76004359991593
199,0.0001,9.01,multiplicative,9.01,95.95988670450056
178,0.0001,8.01,multiplicative,8.01,96.03920668072843
139,0.0001,6.01,multiplicative,9.01,96.04547410654297
72,0.0001,3.01,multiplicative,2.01,96.08382861023134
92,0.0001,4.01,multiplicative,2.01,96.08409821220648
52,0.0001,2.01,multiplicative,2.01,96.08753236417611
191,0.0001,9.01,multiplicative,1.01,96.09056885802569
171,0.0001,8.01,multiplicative,1.01,96.09069613029936
151,0.0001,7.01,multiplicative,1.01,96.09088221000493
131,0.0001,6.01,multiplicative,1.01,96.09119758387361
134,0.0001,6.01,multiplicative,4.01,96.0912299736042
111,0.0001,5.01,multiplicative,1.01,96.09169469867199
91,0.0001,4.01,multiplicative,1.01,96.09258607258894
71,0.0001,3.01,multiplicative,1.01,96.0946658477374
114,0.0001,5.01,multiplicative,4.01,96.09536114447414
154,0.0001,7.01,multiplicative,4.01,96.09600948481737
75,0.0001,3.01,multiplicative,5.01,96.1016879632284
174,0.0001,8.01,multiplicative,4.01,96.10199752149124
194,0.0001,9.01,multiplicative,4.01,96.10734651526857
39,0.0001,1.01,multiplicative,9.01,96.1121052639686
38,0.0001,1.01,multiplicative,8.01,96.11218437732906
37,0.0001,1.01,multiplicative,7.01,96.11230242814764
36,0.0001,1.01,multiplicative,6.01,96.11249107913218
35,0.0001,1.01,multiplicative,5.01,96.11282296768431
33,0.0001,1.01,multiplicative,3.01,96.11501272919797
198,0.0001,9.01,multiplicative,8.01,96.11503066622771
76,0.0001,3.01,multiplicative,6.01,96.12645527852665
94,0.0001,4.01,multiplicative,4.01,96.14239381261288
95,0.0001,4.01,multiplicative,5.01,96.14692908831478
30,0.0001,1.01,multiplicative,0.01,96.20976092172572
77,0.0001,3.01,multiplicative,7.01,96.21598323431178
70,0.0001,3.01,multiplicative,0.01,96.22432063394503
115,0.0001,5.01,multiplicative,5.01,96.23274153305094
59,0.0001,2.01,multiplicative,9.01,96.23583927856804
135,0.0001,6.01,multiplicative,5.01,96.29565283295764
78,0.0001,3.01,multiplicative,8.01,96.30595537266362
96,0.0001,4.01,multiplicative,6.01,96.32784629645039
155,0.0001,7.01,multiplicative,5.01,96.33600569246387
175,0.0001,8.01,multiplicative,5.01,96.376608363653
79,0.0001,3.01,multiplicative,9.01,96.39242278356872
195,0.0001,9.01,multiplicative,5.01,96.40110373583491
116,0.0001,5.01,multiplicative,6.01,96.52316932072954
97,0.0001,4.01,multiplicative,7.01,96.56837838152073
136,0.0001,6.01,multiplicative,6.01,96.6963441440525
156,0.0001,7.01,multiplicative,6.01,96.77497204773653
98,0.0001,4.01,multiplicative,8.01,96.86414159791443
50,0.0001,2.01,multiplicative,0.01,96.88199381040222
176,0.0001,8.01,multiplicative,6.01,96.94295014151547
190,0.0001,9.01,multiplicative,0.01,97.40371097093534
