,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
123,0.0101,4.01,additive,6.009999999999999,105.92288531959578
137,0.0101,6.009999999999999,multiplicative,4.01,150.14671484652808
118,0.0101,2.01,multiplicative,6.009999999999999,156.09518308843417
129,0.0101,4.01,multiplicative,8.01,156.2625579120178
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,156.8356476949784
139,0.0101,6.009999999999999,multiplicative,8.01,158.5360847546102
109,0.0101,0.01,multiplicative,8.01,158.72449726454505
100,0.0101,0.01,additive,0.01,160.9805585473092
133,0.0101,6.009999999999999,additive,6.009999999999999,161.15602488010697
105,0.0101,0.01,multiplicative,0.01,161.46577281769657
121,0.0101,4.01,additive,2.01,163.64427438977762
140,0.0101,8.01,additive,0.01,163.81297548273741
114,0.0101,2.01,additive,8.01,163.83773283603796
143,0.0101,8.01,additive,6.009999999999999,164.28427511659885
117,0.0101,2.01,multiplicative,4.01,164.91549195281144
124,0.0101,4.01,additive,8.01,164.96696431823852
113,0.0101,2.01,additive,6.009999999999999,165.0628695816844
103,0.0101,0.01,additive,6.009999999999999,165.2254036403237
128,0.0101,4.01,multiplicative,6.009999999999999,165.33847824415454
131,0.0101,6.009999999999999,additive,2.01,166.13095136963065
144,0.0101,8.01,additive,8.01,166.14305154304645
136,0.0101,6.009999999999999,multiplicative,2.01,166.78168975918862
149,0.0101,8.01,multiplicative,8.01,166.98553142021888
116,0.0101,2.01,multiplicative,2.01,166.99155738483086
108,0.0101,0.01,multiplicative,6.009999999999999,167.37169305813475
147,0.0101,8.01,multiplicative,4.01,167.45167563183043
127,0.0101,4.01,multiplicative,4.01,167.9028773132465
120,0.0101,4.01,additive,0.01,168.22914331353235
104,0.0101,0.01,additive,8.01,168.42691103075498
102,0.0101,0.01,additive,4.01,168.49552156090988
126,0.0101,4.01,multiplicative,2.01,168.5442102298871
141,0.0101,8.01,additive,2.01,168.76262639650096
110,0.0101,2.01,additive,0.01,168.77787264671514
111,0.0101,2.01,additive,2.01,169.46104257434416
134,0.0101,6.009999999999999,additive,8.01,169.78590338114034
130,0.0101,6.009999999999999,additive,0.01,169.93709347541807
148,0.0101,8.01,multiplicative,6.009999999999999,170.4012110772508
119,0.0101,2.01,multiplicative,8.01,170.5485366029212
146,0.0101,8.01,multiplicative,2.01,170.81611192265711
142,0.0101,8.01,additive,4.01,171.19674264401755
112,0.0101,2.01,additive,4.01,172.04200245495392
132,0.0101,6.009999999999999,additive,4.01,172.80940705164696
122,0.0101,4.01,additive,4.01,172.917479844405
101,0.0101,0.01,additive,2.01,173.38198453401574
106,0.0101,0.01,multiplicative,2.01,173.48966281377838
107,0.0101,0.01,multiplicative,4.01,175.16054951891186
125,0.0101,4.01,multiplicative,0.01,177.79013264828757
115,0.0101,2.01,multiplicative,0.01,178.80772677900623
135,0.0101,6.009999999999999,multiplicative,0.01,182.15312022466662
145,0.0101,8.01,multiplicative,0.01,182.3661965403895
74,0.0051,4.01,additive,8.01,525.2264248824611
83,0.0051,6.009999999999999,additive,6.009999999999999,525.5977366667828
91,0.0051,8.01,additive,2.01,525.9009949400784
55,0.0051,0.01,multiplicative,0.01,526.1011257580194
82,0.0051,6.009999999999999,additive,4.01,526.1452294587408
84,0.0051,6.009999999999999,additive,8.01,526.1668385437667
73,0.0051,4.01,additive,6.009999999999999,526.3216595842828
98,0.0051,8.01,multiplicative,6.009999999999999,526.3258660140551
81,0.0051,6.009999999999999,additive,2.01,526.4319643641418
61,0.0051,2.01,additive,2.01,526.4762324955065
90,0.0051,8.01,additive,0.01,526.9458337023701
94,0.0051,8.01,additive,8.01,527.1093886094884
62,0.0051,2.01,additive,4.01,527.1278739250819
63,0.0051,2.01,additive,6.009999999999999,527.2533114115063
79,0.0051,4.01,multiplicative,8.01,527.2872070847607
93,0.0051,8.01,additive,6.009999999999999,527.5025456284241
67,0.0051,2.01,multiplicative,4.01,527.7981694981031
64,0.0051,2.01,additive,8.01,528.1986949063353
50,0.0051,0.01,additive,0.01,528.2193879602866
72,0.0051,4.01,additive,4.01,528.4297495952495
76,0.0051,4.01,multiplicative,2.01,528.6081282466358
60,0.0051,2.01,additive,0.01,529.3444599932108
70,0.0051,4.01,additive,0.01,531.5123536700767
95,0.0051,8.01,multiplicative,0.01,540.5850860088726
77,0.0051,4.01,multiplicative,4.01,540.7877183773519
75,0.0051,4.01,multiplicative,0.01,541.0150985306541
86,0.0051,6.009999999999999,multiplicative,2.01,541.2064821573305
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,541.3997579917196
69,0.0051,2.01,multiplicative,8.01,541.620458085512
96,0.0051,8.01,multiplicative,2.01,541.7237881592199
89,0.0051,6.009999999999999,multiplicative,8.01,541.820826171303
68,0.0051,2.01,multiplicative,6.009999999999999,542.1650093770578
87,0.0051,6.009999999999999,multiplicative,4.01,542.2193706186646
59,0.0051,0.01,multiplicative,8.01,542.2569884517306
78,0.0051,4.01,multiplicative,6.009999999999999,542.2664948056114
56,0.0051,0.01,multiplicative,2.01,542.2688313962566
66,0.0051,2.01,multiplicative,2.01,542.2989192872338
99,0.0051,8.01,multiplicative,8.01,542.3929094234269
65,0.0051,2.01,multiplicative,0.01,542.5373444532576
92,0.0051,8.01,additive,4.01,542.8540123831108
71,0.0051,4.01,additive,2.01,542.8859006475597
51,0.0051,0.01,additive,2.01,543.1721359473365
52,0.0051,0.01,additive,4.01,543.1989388717018
54,0.0051,0.01,additive,8.01,543.2208305854145
53,0.0051,0.01,additive,6.009999999999999,543.5140147418759
57,0.0051,0.01,multiplicative,4.01,543.5192272629359
58,0.0051,0.01,multiplicative,6.009999999999999,543.6463454906543
85,0.0051,6.009999999999999,multiplicative,0.01,543.6794985476897
80,0.0051,6.009999999999999,additive,0.01,544.0500047579646
97,0.0051,8.01,multiplicative,4.01,544.1513422466098
45,0.0001,8.01,multiplicative,0.01,554.2996398023948
29,0.0001,4.01,multiplicative,8.01,556.7339336884538
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,556.8592753794619
48,0.0001,8.01,multiplicative,6.009999999999999,557.255310608307
39,0.0001,6.009999999999999,multiplicative,8.01,558.0808262999861
49,0.0001,8.01,multiplicative,8.01,558.4946114343389
19,0.0001,2.01,multiplicative,8.01,559.6032675718958
9,0.0001,0.01,multiplicative,8.01,561.3544350120193
6,0.0001,0.01,multiplicative,2.01,563.3854930569901
25,0.0001,4.01,multiplicative,0.01,563.5481440033683
28,0.0001,4.01,multiplicative,6.009999999999999,564.0734275656638
16,0.0001,2.01,multiplicative,2.01,564.0987168834232
27,0.0001,4.01,multiplicative,4.01,564.8432255493732
15,0.0001,2.01,multiplicative,0.01,568.2311126029126
37,0.0001,6.009999999999999,multiplicative,4.01,569.9986383773007
46,0.0001,8.01,multiplicative,2.01,572.2395370434067
18,0.0001,2.01,multiplicative,6.009999999999999,572.2856657845616
12,0.0001,2.01,additive,4.01,573.0177318514626
22,0.0001,4.01,additive,4.01,573.0177613365724
32,0.0001,6.009999999999999,additive,4.01,573.0177687323603
42,0.0001,8.01,additive,4.01,573.01777132634
11,0.0001,2.01,additive,2.01,573.03184461515
21,0.0001,4.01,additive,2.01,573.0318643071566
31,0.0001,6.009999999999999,additive,2.01,573.0318677771894
41,0.0001,8.01,additive,2.01,573.0318689667166
47,0.0001,8.01,multiplicative,4.01,573.0660744766336
13,0.0001,2.01,additive,6.009999999999999,573.0693524164351
23,0.0001,4.01,additive,6.009999999999999,573.0694007468314
33,0.0001,6.009999999999999,additive,6.009999999999999,573.0694094325532
43,0.0001,8.01,additive,6.009999999999999,573.0694126514547
14,0.0001,2.01,additive,8.01,573.0868435733578
34,0.0001,6.009999999999999,additive,8.01,573.0869031758622
44,0.0001,8.01,additive,8.01,573.0869057525157
24,0.0001,4.01,additive,8.01,573.0869516523583
7,0.0001,0.01,multiplicative,4.01,573.888954893743
2,0.0001,0.01,additive,4.01,574.4007889834622
3,0.0001,0.01,additive,6.009999999999999,574.43517015833
4,0.0001,0.01,additive,8.01,574.4461881750967
1,0.0001,0.01,additive,2.01,574.4723768791033
26,0.0001,4.01,multiplicative,2.01,576.1853448864057
40,0.0001,8.01,additive,0.01,577.3897838110773
30,0.0001,6.009999999999999,additive,0.01,577.3897915932306
20,0.0001,4.01,additive,0.01,577.3898139292234
10,0.0001,2.01,additive,0.01,577.3899324165629
