,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
105,0.0101,0.01,multiplicative,0.01,126.57232080998304
135,0.0101,6.009999999999999,multiplicative,0.01,127.1519122337224
145,0.0101,8.01,multiplicative,0.01,127.15268232663668
125,0.0101,4.01,multiplicative,0.01,127.15402957576671
115,0.0101,2.01,multiplicative,0.01,127.1643847092871
116,0.0101,2.01,multiplicative,2.01,127.45213255195746
119,0.0101,2.01,multiplicative,8.01,127.45231225693303
117,0.0101,2.01,multiplicative,4.01,127.45232043664588
118,0.0101,2.01,multiplicative,6.009999999999999,127.45250867979765
126,0.0101,4.01,multiplicative,2.01,127.46559551298589
129,0.0101,4.01,multiplicative,8.01,127.46577797886923
127,0.0101,4.01,multiplicative,4.01,127.46582613646049
128,0.0101,4.01,multiplicative,6.009999999999999,127.46588434751978
149,0.0101,8.01,multiplicative,8.01,127.46663653266688
146,0.0101,8.01,multiplicative,2.01,127.46679881729904
147,0.0101,8.01,multiplicative,4.01,127.4669470352182
148,0.0101,8.01,multiplicative,6.009999999999999,127.46703153233044
139,0.0101,6.009999999999999,multiplicative,8.01,127.46713637779558
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,127.46713646963566
137,0.0101,6.009999999999999,multiplicative,4.01,127.46742321178873
136,0.0101,6.009999999999999,multiplicative,2.01,127.4683921525765
109,0.0101,0.01,multiplicative,8.01,127.57864456191544
108,0.0101,0.01,multiplicative,6.009999999999999,127.73286327033118
107,0.0101,0.01,multiplicative,4.01,128.2454832650678
106,0.0101,0.01,multiplicative,2.01,129.9836676976913
65,0.0051,2.01,multiplicative,0.01,131.8024039413186
95,0.0051,8.01,multiplicative,0.01,131.82968981958206
98,0.0051,8.01,multiplicative,6.009999999999999,131.83478877247597
96,0.0051,8.01,multiplicative,2.01,131.8371230993256
99,0.0051,8.01,multiplicative,8.01,131.83911982141677
97,0.0051,8.01,multiplicative,4.01,131.83977030753113
77,0.0051,4.01,multiplicative,4.01,131.84027523938826
79,0.0051,4.01,multiplicative,8.01,131.84069041429848
