,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
68,0.0051,2.01,multiplicative,6.009999999999999,108.87721476584234
66,0.0051,2.01,multiplicative,2.01,109.90544112401533
67,0.0051,2.01,multiplicative,4.01,110.79138097498785
58,0.0051,0.01,multiplicative,6.009999999999999,112.11560702668
59,0.0051,0.01,multiplicative,8.01,112.95371215747825
85,0.0051,6.009999999999999,multiplicative,0.01,115.13393719964601
57,0.0051,0.01,multiplicative,4.01,115.93100977144297
95,0.0051,8.01,multiplicative,0.01,116.57199176922086
6,0.0001,0.01,multiplicative,2.01,118.30020099542038
35,0.0001,6.009999999999999,multiplicative,0.01,118.54732399785391
45,0.0001,8.01,multiplicative,0.01,119.12432933469957
75,0.0051,4.01,multiplicative,0.01,119.15270383689037
56,0.0051,0.01,multiplicative,2.01,120.03719712606386
69,0.0051,2.01,multiplicative,8.01,120.21372850605205
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,122.07361743742375
98,0.0051,8.01,multiplicative,6.009999999999999,122.72256727929609
86,0.0051,6.009999999999999,multiplicative,2.01,122.8068111991441
96,0.0051,8.01,multiplicative,2.01,123.01884813405562
149,0.0101,8.01,multiplicative,8.01,124.47145592049193
139,0.0101,6.009999999999999,multiplicative,8.01,124.57149373042917
99,0.0051,8.01,multiplicative,8.01,124.73113916256575
97,0.0051,8.01,multiplicative,4.01,124.83659113807914
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,125.04669869752787
146,0.0101,8.01,multiplicative,2.01,125.10852869107008
126,0.0101,4.01,multiplicative,2.01,125.86072622135262
87,0.0051,6.009999999999999,multiplicative,4.01,126.3444066524301
116,0.0101,2.01,multiplicative,2.01,126.8799416032716
118,0.0101,2.01,multiplicative,6.009999999999999,127.02043977859468
65,0.0051,2.01,multiplicative,0.01,127.21661790807424
147,0.0101,8.01,multiplicative,4.01,127.33758692833459
119,0.0101,2.01,multiplicative,8.01,127.34226441560124
128,0.0101,4.01,multiplicative,6.009999999999999,127.56428671932679
137,0.0101,6.009999999999999,multiplicative,4.01,127.56666875948753
129,0.0101,4.01,multiplicative,8.01,127.6995346369507
136,0.0101,6.009999999999999,multiplicative,2.01,128.08296135435194
89,0.0051,6.009999999999999,multiplicative,8.01,128.95181132970538
117,0.0101,2.01,multiplicative,4.01,129.82114380025845
148,0.0101,8.01,multiplicative,6.009999999999999,129.9293413043609
115,0.0101,2.01,multiplicative,0.01,130.57539323880292
77,0.0051,4.01,multiplicative,4.01,132.4498616868118
76,0.0051,4.01,multiplicative,2.01,132.97640207223716
127,0.0101,4.01,multiplicative,4.01,133.05589521602502
79,0.0051,4.01,multiplicative,8.01,133.0923086214477
78,0.0051,4.01,multiplicative,6.009999999999999,133.99245750370216
55,0.0051,0.01,multiplicative,0.01,135.628230881888
145,0.0101,8.01,multiplicative,0.01,135.95953139931885
107,0.0101,0.01,multiplicative,4.01,136.01952891762986
108,0.0101,0.01,multiplicative,6.009999999999999,136.0199096577479
109,0.0101,0.01,multiplicative,8.01,136.04421743113923
106,0.0101,0.01,multiplicative,2.01,136.10803917458514
105,0.0101,0.01,multiplicative,0.01,137.45833126108718
9,0.0001,0.01,multiplicative,8.01,138.79394105354942
135,0.0101,6.009999999999999,multiplicative,0.01,141.2310859500837
125,0.0101,4.01,multiplicative,0.01,144.4442628562025
51,0.0051,0.01,additive,2.01,144.63917179644392
104,0.0101,0.01,additive,8.01,144.82365035161712
5,0.0001,0.01,multiplicative,0.01,145.00033823721952
1,0.0001,0.01,additive,2.01,145.61816294418878
2,0.0001,0.01,additive,4.01,145.81534433304327
52,0.0051,0.01,additive,4.01,145.85355704237443
3,0.0001,0.01,additive,6.009999999999999,145.85907283997668
4,0.0001,0.01,additive,8.01,145.87503648913133
101,0.0101,0.01,additive,2.01,145.901239012525
54,0.0051,0.01,additive,8.01,145.93708300056778
103,0.0101,0.01,additive,6.009999999999999,145.98937572155094
53,0.0051,0.01,additive,6.009999999999999,146.0629269999719
100,0.0101,0.01,additive,0.01,146.7614850634719
102,0.0101,0.01,additive,4.01,147.60730287206448
0,0.0001,0.01,additive,0.01,148.74876596778373
50,0.0051,0.01,additive,0.01,154.7236986048185
7,0.0001,0.01,multiplicative,4.01,156.38324061298323
94,0.0051,8.01,additive,8.01,159.36668296594104
141,0.0101,8.01,additive,2.01,159.4209538013898
93,0.0051,8.01,additive,6.009999999999999,159.47098285907197
14,0.0001,2.01,additive,8.01,159.65061493075396
24,0.0001,4.01,additive,8.01,159.668768475254
34,0.0001,6.009999999999999,additive,8.01,159.67225082814304
44,0.0001,8.01,additive,8.01,159.67374253488163
11,0.0001,2.01,additive,2.01,159.7042462650338
21,0.0001,4.01,additive,2.01,159.70459576324558
31,0.0001,6.009999999999999,additive,2.01,159.70465790659821
41,0.0001,8.01,additive,2.01,159.70465946039235
13,0.0001,2.01,additive,6.009999999999999,159.85376876421728
23,0.0001,4.01,additive,6.009999999999999,159.95138957118888
43,0.0001,8.01,additive,6.009999999999999,159.96429495686317
33,0.0001,6.009999999999999,additive,6.009999999999999,159.96437907293125
121,0.0101,4.01,additive,2.01,160.25836473962732
142,0.0101,8.01,additive,4.01,160.42550874908275
42,0.0001,8.01,additive,4.01,160.6586958258164
32,0.0001,6.009999999999999,additive,4.01,160.67040373371648
22,0.0001,4.01,additive,4.01,160.70242800856852
132,0.0101,6.009999999999999,additive,4.01,160.70610213035826
114,0.0101,2.01,additive,8.01,160.71375180922095
12,0.0001,2.01,additive,4.01,160.84008102103303
113,0.0101,2.01,additive,6.009999999999999,161.19467575294243
131,0.0101,6.009999999999999,additive,2.01,161.27331072385329
133,0.0101,6.009999999999999,additive,6.009999999999999,161.31820988242842
122,0.0101,4.01,additive,4.01,161.66744903462828
110,0.0101,2.01,additive,0.01,161.73224832086433
143,0.0101,8.01,additive,6.009999999999999,162.05916248966014
112,0.0101,2.01,additive,4.01,162.13037552429634
123,0.0101,4.01,additive,6.009999999999999,162.29649374013096
134,0.0101,6.009999999999999,additive,8.01,162.4822791289704
111,0.0101,2.01,additive,2.01,162.48302855239154
124,0.0101,4.01,additive,8.01,162.51572630315792
120,0.0101,4.01,additive,0.01,162.52004139448013
40,0.0001,8.01,additive,0.01,163.12991086480127
30,0.0001,6.009999999999999,additive,0.01,163.13018528567665
20,0.0001,4.01,additive,0.01,163.1309509701113
10,0.0001,2.01,additive,0.01,163.1348945572009
130,0.0101,6.009999999999999,additive,0.01,163.66982899185203
70,0.0051,4.01,additive,0.01,164.5386735694597
144,0.0101,8.01,additive,8.01,164.55172269441715
84,0.0051,6.009999999999999,additive,8.01,165.4565738333469
140,0.0101,8.01,additive,0.01,165.59424084621102
60,0.0051,2.01,additive,0.01,165.92241144941352
80,0.0051,6.009999999999999,additive,0.01,166.5287020565353
90,0.0051,8.01,additive,0.01,166.66259203543183
15,0.0001,2.01,multiplicative,0.01,168.2806851348944
82,0.0051,6.009999999999999,additive,4.01,169.10413995579472
36,0.0001,6.009999999999999,multiplicative,2.01,171.97046883940405
25,0.0001,4.01,multiplicative,0.01,173.33138246545218
71,0.0051,4.01,additive,2.01,174.54216718401085
83,0.0051,6.009999999999999,additive,6.009999999999999,174.59242531937497
81,0.0051,6.009999999999999,additive,2.01,174.82198859043498
91,0.0051,8.01,additive,2.01,174.86481711779015
92,0.0051,8.01,additive,4.01,174.9254228703763
72,0.0051,4.01,additive,4.01,174.93481751658092
74,0.0051,4.01,additive,8.01,174.9851463279478
46,0.0001,8.01,multiplicative,2.01,175.04950675143976
62,0.0051,2.01,additive,4.01,175.08988107443213
64,0.0051,2.01,additive,8.01,175.1525955182438
63,0.0051,2.01,additive,6.009999999999999,175.17486112628194
73,0.0051,4.01,additive,6.009999999999999,175.30507773026648
61,0.0051,2.01,additive,2.01,175.3753532878895
27,0.0001,4.01,multiplicative,4.01,177.79707050285205
37,0.0001,6.009999999999999,multiplicative,4.01,180.16688497024947
49,0.0001,8.01,multiplicative,8.01,181.32246611607258
47,0.0001,8.01,multiplicative,4.01,182.24936792940204
8,0.0001,0.01,multiplicative,6.009999999999999,183.46552902538153
28,0.0001,4.01,multiplicative,6.009999999999999,184.56068183412623
29,0.0001,4.01,multiplicative,8.01,185.5127093063975
39,0.0001,6.009999999999999,multiplicative,8.01,185.54699414588828
19,0.0001,2.01,multiplicative,8.01,188.08713993709114
26,0.0001,4.01,multiplicative,2.01,190.10428155190183
17,0.0001,2.01,multiplicative,4.01,196.01194850073912
48,0.0001,8.01,multiplicative,6.009999999999999,209.47302267834633
18,0.0001,2.01,multiplicative,6.009999999999999,211.9841664008123
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,232.18469043378028
16,0.0001,2.01,multiplicative,2.01,235.04156151831185
