,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
80,0.0051,6.009999999999999,additive,0.01,5.255665473843826
59,0.0051,0.01,multiplicative,8.01,6.645088126447068
70,0.0051,4.01,additive,0.01,7.496845519816949
52,0.0051,0.01,additive,4.01,9.95152686714319
72,0.0051,4.01,additive,4.01,10.27465208706758
12,0.0001,2.01,additive,4.01,10.566872705967524
42,0.0001,8.01,additive,4.01,10.58381488759319
22,0.0001,4.01,additive,4.01,10.585830082067627
32,0.0001,6.009999999999999,additive,4.01,10.585927204348591
92,0.0051,8.01,additive,4.01,10.603523489803838
9,0.0001,0.01,multiplicative,8.01,10.64307349373531
106,0.0101,0.01,multiplicative,2.01,10.81284583981255
13,0.0001,2.01,additive,6.009999999999999,10.842390328640013
33,0.0001,6.009999999999999,additive,6.009999999999999,10.845968429509169
43,0.0001,8.01,additive,6.009999999999999,10.845984887649239
23,0.0001,4.01,additive,6.009999999999999,10.845991907777817
14,0.0001,2.01,additive,8.01,10.937442219681477
24,0.0001,4.01,additive,8.01,10.938558341060244
34,0.0001,6.009999999999999,additive,8.01,10.938658338888706
44,0.0001,8.01,additive,8.01,10.939062285275446
109,0.0101,0.01,multiplicative,8.01,11.054136251598175
107,0.0101,0.01,multiplicative,4.01,11.201103416863985
50,0.0051,0.01,additive,0.01,11.275459082101369
73,0.0051,4.01,additive,6.009999999999999,11.389173012062463
105,0.0101,0.01,multiplicative,0.01,11.503700007544964
108,0.0101,0.01,multiplicative,6.009999999999999,11.737853029130541
51,0.0051,0.01,additive,2.01,11.889972210155493
5,0.0001,0.01,multiplicative,0.01,12.689316664637701
60,0.0051,2.01,additive,0.01,12.933808295824726
61,0.0051,2.01,additive,2.01,13.184520770042027
120,0.0101,4.01,additive,0.01,13.360551408396882
56,0.0051,0.01,multiplicative,2.01,13.457659458743052
69,0.0051,2.01,multiplicative,8.01,13.673369289972431
95,0.0051,8.01,multiplicative,0.01,14.066669565995038
74,0.0051,4.01,additive,8.01,14.11504309480121
93,0.0051,8.01,additive,6.009999999999999,14.205296364356098
8,0.0001,0.01,multiplicative,6.009999999999999,14.57697617594627
58,0.0051,0.01,multiplicative,6.009999999999999,14.640840750087724
66,0.0051,2.01,multiplicative,2.01,14.777703753084714
87,0.0051,6.009999999999999,multiplicative,4.01,15.013363345949289
57,0.0051,0.01,multiplicative,4.01,15.025838967321652
6,0.0001,0.01,multiplicative,2.01,15.099886890487173
65,0.0051,2.01,multiplicative,0.01,15.301232506004617
63,0.0051,2.01,additive,6.009999999999999,15.306999622135981
96,0.0051,8.01,multiplicative,2.01,15.505068506447097
85,0.0051,6.009999999999999,multiplicative,0.01,15.522777313183003
98,0.0051,8.01,multiplicative,6.009999999999999,15.624076977368555
89,0.0051,6.009999999999999,multiplicative,8.01,15.634110923616921
67,0.0051,2.01,multiplicative,4.01,15.99936926341218
75,0.0051,4.01,multiplicative,0.01,16.10065521995106
97,0.0051,8.01,multiplicative,4.01,16.45697248884722
0,0.0001,0.01,additive,0.01,16.512590829903868
