,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
111,0.0101,2.01,additive,2.01,43.579500981123374
124,0.0101,4.01,additive,8.01,45.61969783527739
113,0.0101,2.01,additive,6.009999999999999,48.494464247466695
114,0.0101,2.01,additive,8.01,50.63877943748335
64,0.0051,2.01,additive,8.01,52.125534684230594
123,0.0101,4.01,additive,6.009999999999999,53.4563346250659
144,0.0101,8.01,additive,8.01,55.60834767634739
134,0.0101,6.009999999999999,additive,8.01,55.68280854870612
112,0.0101,2.01,additive,4.01,55.69788947197115
5,0.0001,0.01,multiplicative,0.01,59.89274244990857
83,0.0051,6.009999999999999,additive,6.009999999999999,61.45118264434394
131,0.0101,6.009999999999999,additive,2.01,64.99734896692009
121,0.0101,4.01,additive,2.01,65.97260437734515
141,0.0101,8.01,additive,2.01,66.0717719875093
110,0.0101,2.01,additive,0.01,67.57105553823015
84,0.0051,6.009999999999999,additive,8.01,67.65932605000457
85,0.0051,6.009999999999999,multiplicative,0.01,68.46200211265372
62,0.0051,2.01,additive,4.01,70.58239050470452
74,0.0051,4.01,additive,8.01,72.5700667133291
82,0.0051,6.009999999999999,additive,4.01,73.6548630645781
92,0.0051,8.01,additive,4.01,73.9037696148011
80,0.0051,6.009999999999999,additive,0.01,74.04302975842769
72,0.0051,4.01,additive,4.01,74.68596556615371
140,0.0101,8.01,additive,0.01,75.63671317815982
61,0.0051,2.01,additive,2.01,76.17982695159152
81,0.0051,6.009999999999999,additive,2.01,82.61606186802715
0,0.0001,0.01,additive,0.01,87.76970706248652
95,0.0051,8.01,multiplicative,0.01,89.89746949467508
71,0.0051,4.01,additive,2.01,89.92921964724893
100,0.0101,0.01,additive,0.01,90.03836385055926
56,0.0051,0.01,multiplicative,2.01,96.59427034353497
143,0.0101,8.01,additive,6.009999999999999,102.66604278754056
90,0.0051,8.01,additive,0.01,103.55075195021905
133,0.0101,6.009999999999999,additive,6.009999999999999,103.94147857580849
142,0.0101,8.01,additive,4.01,105.71441442301776
122,0.0101,4.01,additive,4.01,106.23820835024264
65,0.0051,2.01,multiplicative,0.01,106.87259118698499
132,0.0101,6.009999999999999,additive,4.01,107.77792233192362
94,0.0051,8.01,additive,8.01,108.30629446426015
59,0.0051,0.01,multiplicative,8.01,108.83445514526899
