,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
55,0.0051,0.01,multiplicative,0.01,1523637758833159.2
59,0.0051,0.01,multiplicative,8.01,1537445159617796.2
58,0.0051,0.01,multiplicative,6.009999999999999,1537455803741437.2
56,0.0051,0.01,multiplicative,2.01,1537492783022269.8
57,0.0051,0.01,multiplicative,4.01,1537644912458008.8
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,1541475163692769.5
66,0.0051,2.01,multiplicative,2.01,1541536584765070.8
68,0.0051,2.01,multiplicative,6.009999999999999,1541951953579658.2
67,0.0051,2.01,multiplicative,4.01,1541953435880940.8
69,0.0051,2.01,multiplicative,8.01,1541958703584556.5
87,0.0051,6.009999999999999,multiplicative,4.01,1542830644146687.8
86,0.0051,6.009999999999999,multiplicative,2.01,1542934735200630.8
89,0.0051,6.009999999999999,multiplicative,8.01,1543356713967135.0
95,0.0051,8.01,multiplicative,0.01,1544381727962404.2
85,0.0051,6.009999999999999,multiplicative,0.01,1544653700065831.8
75,0.0051,4.01,multiplicative,0.01,1545080609197189.2
97,0.0051,8.01,multiplicative,4.01,1545538000629338.0
76,0.0051,4.01,multiplicative,2.01,1546506909003858.0
79,0.0051,4.01,multiplicative,8.01,1546512066389445.2
78,0.0051,4.01,multiplicative,6.009999999999999,1546513064759190.8
77,0.0051,4.01,multiplicative,4.01,1546544459026071.2
99,0.0051,8.01,multiplicative,8.01,1546820670520733.5
96,0.0051,8.01,multiplicative,2.01,1546826982076474.0
98,0.0051,8.01,multiplicative,6.009999999999999,1546827062894332.5
65,0.0051,2.01,multiplicative,0.01,1550161680904399.2
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,1611046120645910.8
149,0.0101,8.01,multiplicative,8.01,1617804189394153.0
115,0.0101,2.01,multiplicative,0.01,1619237599865063.0
106,0.0101,0.01,multiplicative,2.01,1619384318177417.5
108,0.0101,0.01,multiplicative,6.009999999999999,1620614305158177.0
109,0.0101,0.01,multiplicative,8.01,1620623634739062.5
107,0.0101,0.01,multiplicative,4.01,1620640879810669.2
128,0.0101,4.01,multiplicative,6.009999999999999,1622034835345304.0
145,0.0101,8.01,multiplicative,0.01,1627905638388387.2
136,0.0101,6.009999999999999,multiplicative,2.01,1630026342317396.8
