,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
59,0.0051,0.01,multiplicative,8.01,4696925411915197.0
57,0.0051,0.01,multiplicative,4.01,4792597962132141.0
55,0.0051,0.01,multiplicative,0.01,4811862398211766.0
125,0.0101,4.01,multiplicative,0.01,4819076281015870.0
58,0.0051,0.01,multiplicative,6.009999999999999,4821191602218157.0
65,0.0051,2.01,multiplicative,0.01,4838156441322833.0
145,0.0101,8.01,multiplicative,0.01,4846171447667377.0
117,0.0101,2.01,multiplicative,4.01,4855977088378972.0
119,0.0101,2.01,multiplicative,8.01,4856097697976461.0
118,0.0101,2.01,multiplicative,6.009999999999999,4856114563010594.0
116,0.0101,2.01,multiplicative,2.01,4856505494934152.0
148,0.0101,8.01,multiplicative,6.009999999999999,4864460927258277.0
149,0.0101,8.01,multiplicative,8.01,4864745536610518.0
146,0.0101,8.01,multiplicative,2.01,4867986262955080.0
75,0.0051,4.01,multiplicative,0.01,4877909010968276.0
115,0.0101,2.01,multiplicative,0.01,4879813479743034.0
126,0.0101,4.01,multiplicative,2.01,4897915955414269.0
139,0.0101,6.009999999999999,multiplicative,8.01,4898955635868138.0
128,0.0101,4.01,multiplicative,6.009999999999999,4899445523733741.0
106,0.0101,0.01,multiplicative,2.01,4900992329371684.0
107,0.0101,0.01,multiplicative,4.01,4901306005660418.0
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,4901532482851066.0
108,0.0101,0.01,multiplicative,6.009999999999999,4903319993551331.0
109,0.0101,0.01,multiplicative,8.01,4903714185741866.0
127,0.0101,4.01,multiplicative,4.01,4909850302415559.0
105,0.0101,0.01,multiplicative,0.01,4926188350676200.0
135,0.0101,6.009999999999999,multiplicative,0.01,4956560681159233.0
79,0.0051,4.01,multiplicative,8.01,4971547511225584.0
78,0.0051,4.01,multiplicative,6.009999999999999,4971651457967949.0
76,0.0051,4.01,multiplicative,2.01,4971843964184523.0
77,0.0051,4.01,multiplicative,4.01,4971865419659585.0
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,4985055498540704.0
87,0.0051,6.009999999999999,multiplicative,4.01,4985089887545695.0
86,0.0051,6.009999999999999,multiplicative,2.01,4985765182504398.0
89,0.0051,6.009999999999999,multiplicative,8.01,4987337047032698.0
56,0.0051,0.01,multiplicative,2.01,4988459588400711.0
137,0.0101,6.009999999999999,multiplicative,4.01,4989712625579743.0
136,0.0101,6.009999999999999,multiplicative,2.01,4989719581402198.0
129,0.0101,4.01,multiplicative,8.01,5003348426341017.0
85,0.0051,6.009999999999999,multiplicative,0.01,5009930541078387.0
147,0.0101,8.01,multiplicative,4.01,5010356125141154.0
69,0.0051,2.01,multiplicative,8.01,5013907114789258.0
68,0.0051,2.01,multiplicative,6.009999999999999,5026655476319791.0
66,0.0051,2.01,multiplicative,2.01,5026821325639623.0
67,0.0051,2.01,multiplicative,4.01,5028295192740158.0
99,0.0051,8.01,multiplicative,8.01,5035296398738263.0
97,0.0051,8.01,multiplicative,4.01,5035380380696065.0
96,0.0051,8.01,multiplicative,2.01,5040543677111944.0
95,0.0051,8.01,multiplicative,0.01,5040975067896585.0
98,0.0051,8.01,multiplicative,6.009999999999999,5041236524145231.0
100,0.0101,0.01,additive,0.01,5487050333439323.0
101,0.0101,0.01,additive,2.01,5564708545669817.0
91,0.0051,8.01,additive,2.01,5569962689238380.0
94,0.0051,8.01,additive,8.01,5572661548402560.0
54,0.0051,0.01,additive,8.01,5575831861588000.0
102,0.0101,0.01,additive,4.01,5577037473294746.0
104,0.0101,0.01,additive,8.01,5585412214425084.0
93,0.0051,8.01,additive,6.009999999999999,5587935587571642.0
92,0.0051,8.01,additive,4.01,5588073016677716.0
53,0.0051,0.01,additive,6.009999999999999,5618647047662116.0
51,0.0051,0.01,additive,2.01,5619299515361716.0
52,0.0051,0.01,additive,4.01,5620438531597774.0
140,0.0101,8.01,additive,0.01,5625351004207551.0
130,0.0101,6.009999999999999,additive,0.01,5635946755612473.0
83,0.0051,6.009999999999999,additive,6.009999999999999,5640974068936412.0
84,0.0051,6.009999999999999,additive,8.01,5644909936877614.0
80,0.0051,6.009999999999999,additive,0.01,5645439360551616.0
103,0.0101,0.01,additive,6.009999999999999,5647906787578315.0
122,0.0101,4.01,additive,4.01,5656552314481921.0
81,0.0051,6.009999999999999,additive,2.01,5656989513252682.0
134,0.0101,6.009999999999999,additive,8.01,5666426606816875.0
120,0.0101,4.01,additive,0.01,5667065086766411.0
110,0.0101,2.01,additive,0.01,5669298509731904.0
72,0.0051,4.01,additive,4.01,5676253895979441.0
82,0.0051,6.009999999999999,additive,4.01,5683375584491364.0
63,0.0051,2.01,additive,6.009999999999999,5688048764285713.0
64,0.0051,2.01,additive,8.01,5688845204064177.0
112,0.0101,2.01,additive,4.01,5691594695093277.0
62,0.0051,2.01,additive,4.01,5693958159842716.0
121,0.0101,4.01,additive,2.01,5697714113984498.0
50,0.0051,0.01,additive,0.01,5698056896461824.0
142,0.0101,8.01,additive,4.01,5702202917506959.0
143,0.0101,8.01,additive,6.009999999999999,5702473487197268.0
141,0.0101,8.01,additive,2.01,5703695623825734.0
123,0.0101,4.01,additive,6.009999999999999,5706045643880643.0
144,0.0101,8.01,additive,8.01,5708775739709646.0
113,0.0101,2.01,additive,6.009999999999999,5709266319975605.0
133,0.0101,6.009999999999999,additive,6.009999999999999,5709895378187939.0
73,0.0051,4.01,additive,6.009999999999999,5715121062453404.0
124,0.0101,4.01,additive,8.01,5715291706507074.0
132,0.0101,6.009999999999999,additive,4.01,5715983429507074.0
61,0.0051,2.01,additive,2.01,5719990957951325.0
114,0.0101,2.01,additive,8.01,5721120178439134.0
90,0.0051,8.01,additive,0.01,5723754572098330.0
74,0.0051,4.01,additive,8.01,5725015234641320.0
71,0.0051,4.01,additive,2.01,5729936166450677.0
111,0.0101,2.01,additive,2.01,5732034198335788.0
60,0.0051,2.01,additive,0.01,5734173207321148.0
131,0.0101,6.009999999999999,additive,2.01,5735177288181014.0
70,0.0051,4.01,additive,0.01,5743726108823762.0
40,0.0001,8.01,additive,0.01,1.04430093306161e+16
30,0.0001,6.009999999999999,additive,0.01,1.119053067056173e+16
10,0.0001,2.01,additive,0.01,1.1645452458465068e+16
20,0.0001,4.01,additive,0.01,1.2915784677919532e+16
31,0.0001,6.009999999999999,additive,2.01,1.5017715334626332e+16
32,0.0001,6.009999999999999,additive,4.01,1.5017897826552522e+16
34,0.0001,6.009999999999999,additive,8.01,1.5018050195036532e+16
33,0.0001,6.009999999999999,additive,6.009999999999999,1.5018062455966534e+16
41,0.0001,8.01,additive,2.01,1.5040358261170612e+16
43,0.0001,8.01,additive,6.009999999999999,1.5042047814173462e+16
44,0.0001,8.01,additive,8.01,1.5042350671225618e+16
42,0.0001,8.01,additive,4.01,1.5042781853564954e+16
21,0.0001,4.01,additive,2.01,1.5111245362856182e+16
22,0.0001,4.01,additive,4.01,1.51114205627001e+16
23,0.0001,4.01,additive,6.009999999999999,1.511189670314419e+16
24,0.0001,4.01,additive,8.01,1.5113701309561946e+16
12,0.0001,2.01,additive,4.01,1.6179461658428676e+16
14,0.0001,2.01,additive,8.01,1.6198482994560866e+16
13,0.0001,2.01,additive,6.009999999999999,1.620802618143115e+16
11,0.0001,2.01,additive,2.01,1.668086412316229e+16
7,0.0001,0.01,multiplicative,4.01,3.998180683438326e+16
9,0.0001,0.01,multiplicative,8.01,3.998181038051725e+16
8,0.0001,0.01,multiplicative,6.009999999999999,3.998181589317895e+16
6,0.0001,0.01,multiplicative,2.01,3.9981861374464936e+16
5,0.0001,0.01,multiplicative,0.01,3.999716537059016e+16
18,0.0001,2.01,multiplicative,6.009999999999999,4.0015462500770936e+16
16,0.0001,2.01,multiplicative,2.01,4.00154831932544e+16
17,0.0001,2.01,multiplicative,4.01,4.001548749704844e+16
19,0.0001,2.01,multiplicative,8.01,4.001550299089447e+16
28,0.0001,4.01,multiplicative,6.009999999999999,4.0015952042823e+16
27,0.0001,4.01,multiplicative,4.01,4.001595618241214e+16
26,0.0001,4.01,multiplicative,2.01,4.001595934212398e+16
29,0.0001,4.01,multiplicative,8.01,4.0015964301582776e+16
37,0.0001,6.009999999999999,multiplicative,4.01,4.001602826349626e+16
39,0.0001,6.009999999999999,multiplicative,8.01,4.001603369004349e+16
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,4.0016033745365016e+16
36,0.0001,6.009999999999999,multiplicative,2.01,4.001603625186496e+16
46,0.0001,8.01,multiplicative,2.01,4.0016040996543784e+16
48,0.0001,8.01,multiplicative,6.009999999999999,4.001604152700229e+16
49,0.0001,8.01,multiplicative,8.01,4.001604291361006e+16
47,0.0001,8.01,multiplicative,4.01,4.001604378818326e+16
25,0.0001,4.01,multiplicative,0.01,4.003671311433444e+16
15,0.0001,2.01,multiplicative,0.01,4.003826665760114e+16
35,0.0001,6.009999999999999,multiplicative,0.01,4.003836750337578e+16
45,0.0001,8.01,multiplicative,0.01,4.003836859266473e+16
1,0.0001,0.01,additive,2.01,4.010867228168722e+16
3,0.0001,0.01,additive,6.009999999999999,4.0177806724000664e+16
2,0.0001,0.01,additive,4.01,4.0199702012608216e+16
4,0.0001,0.01,additive,8.01,4.020262841194996e+16
0,0.0001,0.01,additive,0.01,4.032935956668175e+16
