,ds,yhat,price_pred
119,2022-12-10,-0.009160823567149621,7.530377406470244e-05
120,2022-12-11,-0.004868874904599212,7.49371294089372e-05
121,2022-12-12,-0.010065259552366488,7.418286775132697e-05
122,2022-12-13,-0.012348730044397103,7.326680354354663e-05
123,2022-12-14,-0.010415729328389526,7.250367634908075e-05
124,2022-12-15,-0.008749766846029928,7.186928608554628e-05
125,2022-12-16,-0.015987212129618598,7.072029656329241e-05
126,2022-12-17,-0.009512868826058693,7.004754365874585e-05
127,2022-12-18,-0.005220920163518317,6.968183102565297e-05
128,2022-12-19,-0.010417304811285786,6.895593415205024e-05
129,2022-12-20,-0.012700775303322132,6.808014032655437e-05
130,2022-12-21,-0.010767774587309056,6.734706872164566e-05
131,2022-12-22,-0.009101812104955283,6.673408835632173e-05
132,2022-12-23,-0.016339257388544418,6.564370291007793e-05
