,ds,yhat,price_pred
1415,2022-12-17,-0.0022036077724298673,9.977963897083763e-07
1416,2022-12-18,-0.0022084889801017417,9.955927673773201e-07
1417,2022-12-19,-0.00221756027920721,9.933849804021181e-07
1418,2022-12-20,-0.002223592035104216,9.911760974719038e-07
1419,2022-12-21,-0.002232938161663883,9.889628625389297e-07
1420,2022-12-22,-0.0022425595492102704,9.867450544277287e-07
1421,2022-12-23,-0.002252329927212754,9.84522579011112e-07
1422,2022-12-24,-0.0022609257059184543,9.822966466041685e-07
1423,2022-12-25,-0.002265991127740746,9.80070771118154e-07
1424,2022-12-26,-0.0022752557010864045,9.778408595086993e-07
1425,2022-12-27,-0.002281315873005728,9.756100956346285e-07
1426,2022-12-28,-0.0022906712320816293,9.733752936548299e-07
1427,2022-12-29,-0.002300208301757501,9.711363277236394e-07
1428,2022-12-30,-0.0023097993172532683,9.688931976969035e-07
