,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
65,0.0051,2.01,multiplicative,0.01,1220970640376.9146
56,0.0051,0.01,multiplicative,2.01,1316405870295.5342
57,0.0051,0.01,multiplicative,4.01,1321654072276.6338
58,0.0051,0.01,multiplicative,6.009999999999999,1322596340098.513
59,0.0051,0.01,multiplicative,8.01,1322802497545.1492
75,0.0051,4.01,multiplicative,0.01,1324799618067.53
96,0.0051,8.01,multiplicative,2.01,1340408797377.2544
99,0.0051,8.01,multiplicative,8.01,1340570068723.9314
97,0.0051,8.01,multiplicative,4.01,1340820248965.1917
98,0.0051,8.01,multiplicative,6.009999999999999,1341041515555.2532
68,0.0051,2.01,multiplicative,6.009999999999999,1341178701163.7002
69,0.0051,2.01,multiplicative,8.01,1341328873877.9998
67,0.0051,2.01,multiplicative,4.01,1341457364503.8494
66,0.0051,2.01,multiplicative,2.01,1341673187629.7725
76,0.0051,4.01,multiplicative,2.01,1346539160920.651
77,0.0051,4.01,multiplicative,4.01,1347463870380.1143
95,0.0051,8.01,multiplicative,0.01,1347608360470.7349
85,0.0051,6.009999999999999,multiplicative,0.01,1349756866736.4636
79,0.0051,4.01,multiplicative,8.01,1357243704268.581
78,0.0051,4.01,multiplicative,6.009999999999999,1360415862116.7292
89,0.0051,6.009999999999999,multiplicative,8.01,1366026844175.1355
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,1366465570471.1934
86,0.0051,6.009999999999999,multiplicative,2.01,1366505725446.5525
87,0.0051,6.009999999999999,multiplicative,4.01,1367591404978.6716
55,0.0051,0.01,multiplicative,0.01,1440757793890.369
105,0.0101,0.01,multiplicative,0.01,1674938235995.679
109,0.0101,0.01,multiplicative,8.01,1679013930108.6372
107,0.0101,0.01,multiplicative,4.01,1679026419595.7812
108,0.0101,0.01,multiplicative,6.009999999999999,1679029772680.212
106,0.0101,0.01,multiplicative,2.01,1679038546294.1738
117,0.0101,2.01,multiplicative,4.01,1811937229002.4932
116,0.0101,2.01,multiplicative,2.01,1813082426243.7085
118,0.0101,2.01,multiplicative,6.009999999999999,1813418434793.712
119,0.0101,2.01,multiplicative,8.01,1813432443018.4456
135,0.0101,6.009999999999999,multiplicative,0.01,1816403011450.034
139,0.0101,6.009999999999999,multiplicative,8.01,1824372148862.8613
125,0.0101,4.01,multiplicative,0.01,1825462004257.211
145,0.0101,8.01,multiplicative,0.01,1825506334336.1396
137,0.0101,6.009999999999999,multiplicative,4.01,1826471903917.317
146,0.0101,8.01,multiplicative,2.01,1826506716834.0815
136,0.0101,6.009999999999999,multiplicative,2.01,1827068915938.5166
126,0.0101,4.01,multiplicative,2.01,1828001724430.9915
147,0.0101,8.01,multiplicative,4.01,1828246861416.4375
128,0.0101,4.01,multiplicative,6.009999999999999,1828733410656.3862
127,0.0101,4.01,multiplicative,4.01,1828779304551.0232
129,0.0101,4.01,multiplicative,8.01,1828865635025.3796
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,1829182806296.2632
149,0.0101,8.01,multiplicative,8.01,1831914763152.4182
115,0.0101,2.01,multiplicative,0.01,1838266764468.902
148,0.0101,8.01,multiplicative,6.009999999999999,1840158945244.6992
60,0.0051,2.01,additive,0.01,2107418644589.8677
70,0.0051,4.01,additive,0.01,2115104700381.7205
90,0.0051,8.01,additive,0.01,2115223384712.291
80,0.0051,6.009999999999999,additive,0.01,2116452992667.4277
93,0.0051,8.01,additive,6.009999999999999,2145520001762.152
