,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
284,0.0051,4.01,additive,4.01,15.677836859298884
342,0.0051,7.01,additive,2.01,16.209843980797125
352,0.0051,7.01,multiplicative,2.01,16.782001200487432
286,0.0051,4.01,additive,6.01,17.966620145140475
321,0.0051,6.01,additive,1.01,18.227506084648205
367,0.0051,8.01,additive,7.01,18.24016571446846
277,0.0051,3.01,multiplicative,7.01,18.921373826048107
262,0.0051,3.01,additive,2.01,19.065547884469527
302,0.0051,5.01,additive,2.01,19.409804564780654
296,0.0051,4.01,multiplicative,6.01,19.42147504927131
335,0.0051,6.01,multiplicative,5.01,20.126973114580114
12,0.0001,0.01,multiplicative,2.01,21.397904602234632
348,0.0051,7.01,additive,8.01,21.51524512748195
323,0.0051,6.01,additive,3.01,22.545229933071365
281,0.0051,4.01,additive,1.01,22.671304686191995
395,0.0051,9.01,multiplicative,5.01,23.626184409987804
351,0.0051,7.01,multiplicative,1.01,24.289756768727514
251,0.0051,2.01,multiplicative,1.01,24.780464771539318
318,0.0051,5.01,multiplicative,8.01,25.09562138497248
344,0.0051,7.01,additive,4.01,25.18057457495544
241,0.0051,2.01,additive,1.01,25.507252514028572
222,0.0051,1.01,additive,2.01,26.694134716045234
282,0.0051,4.01,additive,2.01,26.819135408644147
227,0.0051,1.01,additive,7.01,27.290894391248735
382,0.0051,9.01,additive,2.01,27.978853542614704
228,0.0051,1.01,additive,8.01,28.934347582062067
224,0.0051,1.01,additive,4.01,29.18681401433104
455,0.0101,2.01,multiplicative,5.01,30.76074616256034
511,0.0101,5.01,multiplicative,1.01,30.76092627082739
532,0.0101,6.01,multiplicative,2.01,30.762150823089435
439,0.0101,1.01,multiplicative,9.01,30.764579251644175
574,0.0101,8.01,multiplicative,4.01,30.764900060514385
516,0.0101,5.01,multiplicative,6.01,30.765044157717416
575,0.0101,8.01,multiplicative,5.01,30.765208575024744
534,0.0101,6.01,multiplicative,4.01,30.765773345052494
499,0.0101,4.01,multiplicative,9.01,30.765774323494174
438,0.0101,1.01,multiplicative,8.01,30.768167743323822
531,0.0101,6.01,multiplicative,1.01,30.769945452503222
551,0.0101,7.01,multiplicative,1.01,30.77059366810865
556,0.0101,7.01,multiplicative,6.01,30.806476015375043
441,0.0101,2.01,additive,1.01,30.818253965505075
461,0.0101,3.01,additive,1.01,30.82884871676282
459,0.0101,2.01,multiplicative,9.01,30.933857529554828
577,0.0101,8.01,multiplicative,7.01,30.948443427124836
544,0.0101,7.01,additive,4.01,30.96641147048074
464,0.0101,3.01,additive,4.01,30.968418235244155
452,0.0101,2.01,multiplicative,2.01,30.972612850426625
504,0.0101,5.01,additive,4.01,30.97315676683901
524,0.0101,6.01,additive,4.01,30.986004212650965
537,0.0101,6.01,multiplicative,7.01,30.99142703229566
591,0.0101,9.01,multiplicative,1.01,30.99448420071458
476,0.0101,3.01,multiplicative,6.01,31.00415213645405
474,0.0101,3.01,multiplicative,4.01,31.028604568556442
436,0.0101,1.01,multiplicative,6.01,31.033476804690743
428,0.0101,1.01,additive,8.01,31.043179346249
517,0.0101,5.01,multiplicative,7.01,31.050399291789706
596,0.0101,9.01,multiplicative,6.01,31.07003595767308
427,0.0101,1.01,additive,7.01,31.07089634491482
448,0.0101,2.01,additive,8.01,31.07446718463508
449,0.0101,2.01,additive,9.01,31.081583464267073
453,0.0101,2.01,multiplicative,3.01,31.0847749534709
469,0.0101,3.01,additive,9.01,31.098936543846055
426,0.0101,1.01,additive,6.01,31.10050282962135
424,0.0101,1.01,additive,4.01,31.104390645113188
529,0.0101,6.01,additive,9.01,31.118891694758837
528,0.0101,6.01,additive,8.01,31.12287581033903
527,0.0101,6.01,additive,7.01,31.124834950332282
446,0.0101,2.01,additive,6.01,31.13093249305893
489,0.0101,4.01,additive,9.01,31.160654262940962
432,0.0101,1.01,multiplicative,2.01,31.169502272652498
491,0.0101,4.01,multiplicative,1.01,31.171070982979515
549,0.0101,7.01,additive,9.01,31.171122571111123
467,0.0101,3.01,additive,7.01,31.18276100735561
508,0.0101,5.01,additive,8.01,31.19435693827322
456,0.0101,2.01,multiplicative,6.01,31.194872965818455
