,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
112,0.0101,2.01,additive,4.01,13.30081681366332
134,0.0101,6.009999999999999,additive,8.01,16.222738024679455
124,0.0101,4.01,additive,8.01,16.802295144237434
141,0.0101,8.01,additive,2.01,17.346451770106693
144,0.0101,8.01,additive,8.01,17.973118674511454
104,0.0101,0.01,additive,8.01,18.233412259401042
102,0.0101,0.01,additive,4.01,18.311102032889064
131,0.0101,6.009999999999999,additive,2.01,18.384441002628
101,0.0101,0.01,additive,2.01,18.443675676071067
111,0.0101,2.01,additive,2.01,18.761346435583775
103,0.0101,0.01,additive,6.009999999999999,18.92200835884028
113,0.0101,2.01,additive,6.009999999999999,19.28711933824684
143,0.0101,8.01,additive,6.009999999999999,19.7868537283533
132,0.0101,6.009999999999999,additive,4.01,19.82982067470583
121,0.0101,4.01,additive,2.01,19.907642523587686
142,0.0101,8.01,additive,4.01,19.914972538067182
122,0.0101,4.01,additive,4.01,20.626498546095547
123,0.0101,4.01,additive,6.009999999999999,20.761247305479525
114,0.0101,2.01,additive,8.01,21.300363665474563
133,0.0101,6.009999999999999,additive,6.009999999999999,21.526094482665307
100,0.0101,0.01,additive,0.01,22.39047407543336
109,0.0101,0.01,multiplicative,8.01,22.67559906646638
108,0.0101,0.01,multiplicative,6.009999999999999,22.770827493349792
130,0.0101,6.009999999999999,additive,0.01,22.861388633040328
140,0.0101,8.01,additive,0.01,22.861812999520563
120,0.0101,4.01,additive,0.01,22.977920030275147
110,0.0101,2.01,additive,0.01,23.01451923393497
147,0.0101,8.01,multiplicative,4.01,23.181130387114987
137,0.0101,6.009999999999999,multiplicative,4.01,23.18314158411954
107,0.0101,0.01,multiplicative,4.01,23.19712036383379
115,0.0101,2.01,multiplicative,0.01,23.21032576099865
119,0.0101,2.01,multiplicative,8.01,23.227894399493213
118,0.0101,2.01,multiplicative,6.009999999999999,23.23081519904693
127,0.0101,4.01,multiplicative,4.01,23.237071870857974
148,0.0101,8.01,multiplicative,6.009999999999999,23.246863368276493
139,0.0101,6.009999999999999,multiplicative,8.01,23.248742760859674
149,0.0101,8.01,multiplicative,8.01,23.249282299768176
128,0.0101,4.01,multiplicative,6.009999999999999,23.251191090654416
129,0.0101,4.01,multiplicative,8.01,23.251306439513673
117,0.0101,2.01,multiplicative,4.01,23.36991084351173
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,23.381152257658517
135,0.0101,6.009999999999999,multiplicative,0.01,23.45276865976391
145,0.0101,8.01,multiplicative,0.01,23.46505010701504
106,0.0101,0.01,multiplicative,2.01,23.501329493870397
125,0.0101,4.01,multiplicative,0.01,23.533319409284758
105,0.0101,0.01,multiplicative,0.01,23.602124009346465
116,0.0101,2.01,multiplicative,2.01,23.802992920114214
126,0.0101,4.01,multiplicative,2.01,23.890817200959617
61,0.0051,2.01,additive,2.01,23.905217658612962
136,0.0101,6.009999999999999,multiplicative,2.01,23.913428000382613
146,0.0101,8.01,multiplicative,2.01,23.963732333386986
91,0.0051,8.01,additive,2.01,24.025178158675324
71,0.0051,4.01,additive,2.01,24.138236858713014
81,0.0051,6.009999999999999,additive,2.01,24.21305742561154
51,0.0051,0.01,additive,2.01,24.335155069101717
52,0.0051,0.01,additive,4.01,24.534791587322562
82,0.0051,6.009999999999999,additive,4.01,24.569624976969333
53,0.0051,0.01,additive,6.009999999999999,24.570671953382675
74,0.0051,4.01,additive,8.01,24.586135532156025
54,0.0051,0.01,additive,8.01,24.600170453027058
84,0.0051,6.009999999999999,additive,8.01,24.620565641539127
72,0.0051,4.01,additive,4.01,24.621279324961034
92,0.0051,8.01,additive,4.01,24.622278359783504
94,0.0051,8.01,additive,8.01,24.639001577801082
73,0.0051,4.01,additive,6.009999999999999,24.642982244647218
93,0.0051,8.01,additive,6.009999999999999,24.667930601735446
83,0.0051,6.009999999999999,additive,6.009999999999999,24.735102123919013
64,0.0051,2.01,additive,8.01,24.844331365542892
63,0.0051,2.01,additive,6.009999999999999,24.85741253764213
55,0.0051,0.01,multiplicative,0.01,25.007096503212328
50,0.0051,0.01,additive,0.01,25.02531563916391
62,0.0051,2.01,additive,4.01,25.03802116936268
59,0.0051,0.01,multiplicative,8.01,25.306209248533452
56,0.0051,0.01,multiplicative,2.01,25.308521437019188
57,0.0051,0.01,multiplicative,4.01,25.487233761255556
58,0.0051,0.01,multiplicative,6.009999999999999,25.490114986539187
96,0.0051,8.01,multiplicative,2.01,25.775590030870358
86,0.0051,6.009999999999999,multiplicative,2.01,25.775684108735422
98,0.0051,8.01,multiplicative,6.009999999999999,25.783163585914874
69,0.0051,2.01,multiplicative,8.01,25.79032478377968
89,0.0051,6.009999999999999,multiplicative,8.01,25.79139463346004
68,0.0051,2.01,multiplicative,6.009999999999999,25.797387847019394
76,0.0051,4.01,multiplicative,2.01,25.80123874811544
99,0.0051,8.01,multiplicative,8.01,25.802561325495223
66,0.0051,2.01,multiplicative,2.01,25.805062560878092
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,25.80809989742265
77,0.0051,4.01,multiplicative,4.01,25.809509064416737
97,0.0051,8.01,multiplicative,4.01,25.81469658291935
79,0.0051,4.01,multiplicative,8.01,25.851333434302802
67,0.0051,2.01,multiplicative,4.01,25.873951676543847
78,0.0051,4.01,multiplicative,6.009999999999999,25.87587505060413
87,0.0051,6.009999999999999,multiplicative,4.01,25.880101066632346
65,0.0051,2.01,multiplicative,0.01,25.98590041102051
80,0.0051,6.009999999999999,additive,0.01,26.14110652919621
90,0.0051,8.01,additive,0.01,26.141218355366178
60,0.0051,2.01,additive,0.01,26.144369620449908
70,0.0051,4.01,additive,0.01,26.14575930749315
