,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
144,0.0101,8.01,additive,8.01,33.72453689567969
133,0.0101,6.009999999999999,additive,6.009999999999999,35.47469613611705
123,0.0101,4.01,additive,6.009999999999999,36.13943192063054
142,0.0101,8.01,additive,4.01,36.538855346651935
114,0.0101,2.01,additive,8.01,36.929201300104516
113,0.0101,2.01,additive,6.009999999999999,37.0065187501722
131,0.0101,6.009999999999999,additive,2.01,37.69116280396796
112,0.0101,2.01,additive,4.01,37.72124577834588
121,0.0101,4.01,additive,2.01,37.83647080444857
141,0.0101,8.01,additive,2.01,38.09192631288116
124,0.0101,4.01,additive,8.01,38.41187319527606
134,0.0101,6.009999999999999,additive,8.01,38.4556975229887
122,0.0101,4.01,additive,4.01,38.54570203933281
132,0.0101,6.009999999999999,additive,4.01,39.167663462745644
120,0.0101,4.01,additive,0.01,39.54447335361523
111,0.0101,2.01,additive,2.01,39.99848954172359
140,0.0101,8.01,additive,0.01,40.19768139320261
143,0.0101,8.01,additive,6.009999999999999,40.656243411165335
110,0.0101,2.01,additive,0.01,40.744772797008245
130,0.0101,6.009999999999999,additive,0.01,41.10270106966127
101,0.0101,0.01,additive,2.01,61.216947740991536
104,0.0101,0.01,additive,8.01,61.282662797487326
102,0.0101,0.01,additive,4.01,61.28748706428218
100,0.0101,0.01,additive,0.01,62.035308639680736
103,0.0101,0.01,additive,6.009999999999999,62.86787241378206
129,0.0101,4.01,multiplicative,8.01,111.22117948321782
126,0.0101,4.01,multiplicative,2.01,111.66038905631723
7,0.0001,0.01,multiplicative,4.01,112.74866785451322
6,0.0001,0.01,multiplicative,2.01,113.26059003464998
8,0.0001,0.01,multiplicative,6.009999999999999,113.35534563543868
145,0.0101,8.01,multiplicative,0.01,113.55127431282591
117,0.0101,2.01,multiplicative,4.01,114.10470350736205
136,0.0101,6.009999999999999,multiplicative,2.01,114.29832773578681
116,0.0101,2.01,multiplicative,2.01,114.41512711957364
139,0.0101,6.009999999999999,multiplicative,8.01,114.42422942409068
148,0.0101,8.01,multiplicative,6.009999999999999,114.44627053194486
118,0.0101,2.01,multiplicative,6.009999999999999,114.52101772546663
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,114.5636966202419
128,0.0101,4.01,multiplicative,6.009999999999999,114.57686953093965
119,0.0101,2.01,multiplicative,8.01,114.66593430211734
125,0.0101,4.01,multiplicative,0.01,114.69398308139272
135,0.0101,6.009999999999999,multiplicative,0.01,114.77313436978457
147,0.0101,8.01,multiplicative,4.01,115.07970667922356
146,0.0101,8.01,multiplicative,2.01,115.19341650720474
115,0.0101,2.01,multiplicative,0.01,115.2007383116833
127,0.0101,4.01,multiplicative,4.01,115.4161321978847
5,0.0001,0.01,multiplicative,0.01,115.62162709813171
149,0.0101,8.01,multiplicative,8.01,115.63763137666649
137,0.0101,6.009999999999999,multiplicative,4.01,115.73471339462711
57,0.0051,0.01,multiplicative,4.01,115.86665910330825
105,0.0101,0.01,multiplicative,0.01,115.97595194561862
59,0.0051,0.01,multiplicative,8.01,115.98609079390738
9,0.0001,0.01,multiplicative,8.01,116.18077142088573
55,0.0051,0.01,multiplicative,0.01,116.18306853477047
2,0.0001,0.01,additive,4.01,116.1907313661918
58,0.0051,0.01,multiplicative,6.009999999999999,116.3119736705629
1,0.0001,0.01,additive,2.01,117.67848732737473
56,0.0051,0.01,multiplicative,2.01,118.18075491542
108,0.0101,0.01,multiplicative,6.009999999999999,118.31100668299113
4,0.0001,0.01,additive,8.01,120.60149508211731
3,0.0001,0.01,additive,6.009999999999999,120.64122986022987
0,0.0001,0.01,additive,0.01,122.46514429778699
106,0.0101,0.01,multiplicative,2.01,122.79910403531304
109,0.0101,0.01,multiplicative,8.01,123.21080618849143
107,0.0101,0.01,multiplicative,4.01,123.34421682325345
50,0.0051,0.01,additive,0.01,123.48516765529405
51,0.0051,0.01,additive,2.01,124.32106992579368
54,0.0051,0.01,additive,8.01,125.2553283440837
53,0.0051,0.01,additive,6.009999999999999,125.50678400734344
52,0.0051,0.01,additive,4.01,126.64129032684563
64,0.0051,2.01,additive,8.01,133.45258241276687
82,0.0051,6.009999999999999,additive,4.01,133.51166795537074
71,0.0051,4.01,additive,2.01,134.07877047615156
92,0.0051,8.01,additive,4.01,134.09723806368638
62,0.0051,2.01,additive,4.01,134.16884290656031
72,0.0051,4.01,additive,4.01,134.42352816551764
94,0.0051,8.01,additive,8.01,135.1416143616825
83,0.0051,6.009999999999999,additive,6.009999999999999,135.27656672731874
84,0.0051,6.009999999999999,additive,8.01,135.3292210401977
61,0.0051,2.01,additive,2.01,135.63772526547527
70,0.0051,4.01,additive,0.01,136.12528352523466
