,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
2,0.0001,0.01,additive,4.01,2.623002827650991
0,0.0001,0.01,additive,0.01,4.313669607135402
23,0.0001,4.01,additive,6.009999999999999,4.557549000850113
43,0.0001,8.01,additive,6.009999999999999,4.559483313530655
33,0.0001,6.009999999999999,additive,6.009999999999999,4.559588031997353
13,0.0001,2.01,additive,6.009999999999999,4.561503997636645
85,0.0051,6.009999999999999,multiplicative,0.01,6.218250727278766
4,0.0001,0.01,additive,8.01,6.3628329960095895
89,0.0051,6.009999999999999,multiplicative,8.01,6.870525279074925
42,0.0001,8.01,additive,4.01,7.750582824130287
32,0.0001,6.009999999999999,additive,4.01,7.7511411786113324
22,0.0001,4.01,additive,4.01,7.752733812454549
12,0.0001,2.01,additive,4.01,7.76010610738874
3,0.0001,0.01,additive,6.009999999999999,7.782577381304278
5,0.0001,0.01,multiplicative,0.01,8.128875887684401
58,0.0051,0.01,multiplicative,6.009999999999999,8.629538107090513
65,0.0051,2.01,multiplicative,0.01,10.355185822748515
95,0.0051,8.01,multiplicative,0.01,10.504403191708372
6,0.0001,0.01,multiplicative,2.01,13.060452947771646
98,0.0051,8.01,multiplicative,6.009999999999999,13.112481293697234
48,0.0001,8.01,multiplicative,6.009999999999999,13.13178393265943
56,0.0051,0.01,multiplicative,2.01,13.146562676539961
57,0.0051,0.01,multiplicative,4.01,14.101834416203248
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,14.631669882869897
18,0.0001,2.01,multiplicative,6.009999999999999,14.820133282440034
96,0.0051,8.01,multiplicative,2.01,15.602391012778611
40,0.0001,8.01,additive,0.01,15.816896004175684
30,0.0001,6.009999999999999,additive,0.01,15.816978496950092
20,0.0001,4.01,additive,0.01,15.817217403846044
10,0.0001,2.01,additive,0.01,15.818696266940641
55,0.0051,0.01,multiplicative,0.01,16.01668531524603
106,0.0101,0.01,multiplicative,2.01,16.112364313105026
29,0.0001,4.01,multiplicative,8.01,17.05818413042667
39,0.0001,6.009999999999999,multiplicative,8.01,17.441731112513377
49,0.0001,8.01,multiplicative,8.01,17.549820053430352
19,0.0001,2.01,multiplicative,8.01,18.540876805144336
28,0.0001,4.01,multiplicative,6.009999999999999,18.6101635101951
