,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
112,0.0001,5.01,multiplicative,2.01,0.27557017627144564
113,0.0001,5.01,multiplicative,3.01,0.27693539270494816
114,0.0001,5.01,multiplicative,4.01,0.27730901504166144
20,0.0001,1.01,additive,0.01,0.2788801354328246
51,0.0001,2.01,multiplicative,1.01,0.2792740562275346
40,0.0001,2.01,additive,0.01,0.2794587866948303
52,0.0001,2.01,multiplicative,2.01,0.2797282318485436
128,0.0001,6.01,additive,8.01,0.2809418616302801
125,0.0001,6.01,additive,5.01,0.28094569930579055
123,0.0001,6.01,additive,3.01,0.28095096791938406
127,0.0001,6.01,additive,7.01,0.2809510318173877
121,0.0001,6.01,additive,1.01,0.2809520751082907
124,0.0001,6.01,additive,4.01,0.28095235684217457
126,0.0001,6.01,additive,6.01,0.28095246966592674
122,0.0001,6.01,additive,2.01,0.28095303255744636
129,0.0001,6.01,additive,9.01,0.28095346196511695
64,0.0001,3.01,additive,4.01,0.28096158034565066
65,0.0001,3.01,additive,5.01,0.28096182676534426
66,0.0001,3.01,additive,6.01,0.2809620380392865
67,0.0001,3.01,additive,7.01,0.28096225255417395
68,0.0001,3.01,additive,8.01,0.28096262261212707
63,0.0001,3.01,additive,3.01,0.2809628989043649
69,0.0001,3.01,additive,9.01,0.2809631747706232
62,0.0001,3.01,additive,2.01,0.2809638498379025
61,0.0001,3.01,additive,1.01,0.28096436341838504
85,0.0001,4.01,additive,5.01,0.28101270588758515
84,0.0001,4.01,additive,4.01,0.28101270637201287
83,0.0001,4.01,additive,3.01,0.281012743477197
82,0.0001,4.01,additive,2.01,0.281012922332829
106,0.0001,5.01,additive,6.01,0.28101344838659487
104,0.0001,5.01,additive,4.01,0.2810134631313786
105,0.0001,5.01,additive,5.01,0.2810134631428008
107,0.0001,5.01,additive,7.01,0.2810136329415384
103,0.0001,5.01,additive,3.01,0.2810137103292319
102,0.0001,5.01,additive,2.01,0.28101372178606365
108,0.0001,5.01,additive,8.01,0.2810138791295125
109,0.0001,5.01,additive,9.01,0.2810140410348645
87,0.0001,4.01,additive,7.01,0.28101424646682227
86,0.0001,4.01,additive,6.01,0.28101424707462413
88,0.0001,4.01,additive,8.01,0.2810142502243368
89,0.0001,4.01,additive,9.01,0.28101425214593495
101,0.0001,5.01,additive,1.01,0.2810148413699152
81,0.0001,4.01,additive,1.01,0.2810159774942277
45,0.0001,2.01,additive,5.01,0.28118137861286596
48,0.0001,2.01,additive,8.01,0.2811818673758865
49,0.0001,2.01,additive,9.01,0.2811821268966941
47,0.0001,2.01,additive,7.01,0.28118221719627534
46,0.0001,2.01,additive,6.01,0.2811823190033582
41,0.0001,2.01,additive,1.01,0.2811917255298823
43,0.0001,2.01,additive,3.01,0.2811917564485767
44,0.0001,2.01,additive,4.01,0.28119283669907447
42,0.0001,2.01,additive,2.01,0.28119330423546085
26,0.0001,1.01,additive,6.01,0.28141929847582653
28,0.0001,1.01,additive,8.01,0.28156012619149795
25,0.0001,1.01,additive,5.01,0.28159209440523686
21,0.0001,1.01,additive,1.01,0.2816002630911537
29,0.0001,1.01,additive,9.01,0.28171464755804326
27,0.0001,1.01,additive,7.01,0.2817499833713239
22,0.0001,1.01,additive,2.01,0.2817885885815565
24,0.0001,1.01,additive,4.01,0.2818104430924031
23,0.0001,1.01,additive,3.01,0.28181111808228765
187,0.0001,9.01,additive,7.01,0.28253451465067775
189,0.0001,9.01,additive,9.01,0.2825794971946132
142,0.0001,7.01,additive,2.01,0.2827616271746715
144,0.0001,7.01,additive,4.01,0.2827620615415031
143,0.0001,7.01,additive,3.01,0.28276339691862873
149,0.0001,7.01,additive,9.01,0.2827701447811505
148,0.0001,7.01,additive,8.01,0.282770168480034
147,0.0001,7.01,additive,7.01,0.28277032204530594
145,0.0001,7.01,additive,5.01,0.28277041214380344
146,0.0001,7.01,additive,6.01,0.28277045913013366
169,0.0001,8.01,additive,9.01,0.2827746026637288
168,0.0001,8.01,additive,8.01,0.28277473742596215
163,0.0001,8.01,additive,3.01,0.28277478200612705
167,0.0001,8.01,additive,7.01,0.2827747882392846
166,0.0001,8.01,additive,6.01,0.2827749887069525
164,0.0001,8.01,additive,4.01,0.28277501340661065
165,0.0001,8.01,additive,5.01,0.2827750820469118
162,0.0001,8.01,additive,2.01,0.2827766519243231
141,0.0001,7.01,additive,1.01,0.2827843867082202
161,0.0001,8.01,additive,1.01,0.28280202416352884
181,0.0001,9.01,additive,1.01,0.2828192694610377
186,0.0001,9.01,additive,6.01,0.2828203289172854
