,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
105,0.0101,0.01,multiplicative,0.01,22344574685135.652
107,0.0101,0.01,multiplicative,4.01,26138452255960.246
106,0.0101,0.01,multiplicative,2.01,26328714685615.87
109,0.0101,0.01,multiplicative,8.01,26355402267686.258
108,0.0101,0.01,multiplicative,6.009999999999999,26751931975671.17
116,0.0101,2.01,multiplicative,2.01,27040675120378.938
117,0.0101,2.01,multiplicative,4.01,27693298267005.1
118,0.0101,2.01,multiplicative,6.009999999999999,27745273606108.64
125,0.0101,4.01,multiplicative,0.01,28203744807821.363
127,0.0101,4.01,multiplicative,4.01,28670458214141.863
146,0.0101,8.01,multiplicative,2.01,33134697714355.1
129,0.0101,4.01,multiplicative,8.01,33619602298505.32
149,0.0101,8.01,multiplicative,8.01,35490609560710.13
119,0.0101,2.01,multiplicative,8.01,36034724686714.1
128,0.0101,4.01,multiplicative,6.009999999999999,36190571851658.695
147,0.0101,8.01,multiplicative,4.01,36889754123435.336
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,37341015995553.16
139,0.0101,6.009999999999999,multiplicative,8.01,38897882516541.516
6,0.0001,0.01,multiplicative,2.01,39146940262503.53
126,0.0101,4.01,multiplicative,2.01,39840945449809.305
145,0.0101,8.01,multiplicative,0.01,41596448248017.4
5,0.0001,0.01,multiplicative,0.01,42115062238768.734
136,0.0101,6.009999999999999,multiplicative,2.01,42172232563701.43
135,0.0101,6.009999999999999,multiplicative,0.01,42234774164095.74
137,0.0101,6.009999999999999,multiplicative,4.01,42698347367705.2
115,0.0101,2.01,multiplicative,0.01,43356769934632.39
148,0.0101,8.01,multiplicative,6.009999999999999,43358841435389.77
59,0.0051,0.01,multiplicative,8.01,44037696692729.05
55,0.0051,0.01,multiplicative,0.01,44265026151634.625
57,0.0051,0.01,multiplicative,4.01,46422790600136.4
56,0.0051,0.01,multiplicative,2.01,46745906870503.2
65,0.0051,2.01,multiplicative,0.01,47430967199892.42
85,0.0051,6.009999999999999,multiplicative,0.01,47590888787388.19
98,0.0051,8.01,multiplicative,6.009999999999999,48176234093391.12
58,0.0051,0.01,multiplicative,6.009999999999999,48462641499154.836
75,0.0051,4.01,multiplicative,0.01,49644926529113.34
79,0.0051,4.01,multiplicative,8.01,49705783676541.62
97,0.0051,8.01,multiplicative,4.01,50035861926131.4
86,0.0051,6.009999999999999,multiplicative,2.01,50180313052355.29
66,0.0051,2.01,multiplicative,2.01,50449331604753.82
95,0.0051,8.01,multiplicative,0.01,51036671928714.945
68,0.0051,2.01,multiplicative,6.009999999999999,51200157029399.19
96,0.0051,8.01,multiplicative,2.01,51235028384486.56
87,0.0051,6.009999999999999,multiplicative,4.01,51511459006504.06
67,0.0051,2.01,multiplicative,4.01,51760302387159.125
78,0.0051,4.01,multiplicative,6.009999999999999,51780604919996.914
69,0.0051,2.01,multiplicative,8.01,52191603082063.48
77,0.0051,4.01,multiplicative,4.01,52562057026523.35
89,0.0051,6.009999999999999,multiplicative,8.01,53165019240626.19
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,53357193199883.58
99,0.0051,8.01,multiplicative,8.01,53582596377059.21
76,0.0051,4.01,multiplicative,2.01,53780963639359.6
8,0.0001,0.01,multiplicative,6.009999999999999,53874310806934.484
9,0.0001,0.01,multiplicative,8.01,54689469302574.95
7,0.0001,0.01,multiplicative,4.01,70485953019095.33
27,0.0001,4.01,multiplicative,4.01,97628139111772.66
47,0.0001,8.01,multiplicative,4.01,107441796387089.89
29,0.0001,4.01,multiplicative,8.01,108417535143191.38
39,0.0001,6.009999999999999,multiplicative,8.01,111083305377320.27
16,0.0001,2.01,multiplicative,2.01,118168357184028.2
17,0.0001,2.01,multiplicative,4.01,120010026852837.8
45,0.0001,8.01,multiplicative,0.01,120732645011059.6
48,0.0001,8.01,multiplicative,6.009999999999999,121067363850415.02
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,121215565961391.84
28,0.0001,4.01,multiplicative,6.009999999999999,121501823271770.7
18,0.0001,2.01,multiplicative,6.009999999999999,122292317831700.08
35,0.0001,6.009999999999999,multiplicative,0.01,122609070688449.97
49,0.0001,8.01,multiplicative,8.01,122668517404054.34
46,0.0001,8.01,multiplicative,2.01,128628604654934.81
37,0.0001,6.009999999999999,multiplicative,4.01,128836704566433.25
36,0.0001,6.009999999999999,multiplicative,2.01,129427845579851.14
103,0.0101,0.01,additive,6.009999999999999,131997194810050.88
102,0.0101,0.01,additive,4.01,132029861780153.1
101,0.0101,0.01,additive,2.01,132220116336225.53
25,0.0001,4.01,multiplicative,0.01,132333793170265.98
104,0.0101,0.01,additive,8.01,132478808187844.78
19,0.0001,2.01,multiplicative,8.01,132726887767981.12
1,0.0001,0.01,additive,2.01,135350513309246.34
26,0.0001,4.01,multiplicative,2.01,135363230790703.98
4,0.0001,0.01,additive,8.01,135396442964517.7
3,0.0001,0.01,additive,6.009999999999999,135957660623553.39
100,0.0101,0.01,additive,0.01,135968478908563.97
51,0.0051,0.01,additive,2.01,136148023163308.17
2,0.0001,0.01,additive,4.01,136232082870906.69
54,0.0051,0.01,additive,8.01,136435597294517.55
53,0.0051,0.01,additive,6.009999999999999,136512114541287.62
52,0.0051,0.01,additive,4.01,136558085825279.86
124,0.0101,4.01,additive,8.01,137269804307332.77
