,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
58,0.0051,0.01,multiplicative,6.009999999999999,12332476362773.367
56,0.0051,0.01,multiplicative,2.01,12386317445781.777
68,0.0051,2.01,multiplicative,6.009999999999999,12405054792890.252
69,0.0051,2.01,multiplicative,8.01,12518473419573.555
65,0.0051,2.01,multiplicative,0.01,12675754736444.533
59,0.0051,0.01,multiplicative,8.01,12845626415603.16
57,0.0051,0.01,multiplicative,4.01,12846734682612.398
85,0.0051,6.009999999999999,multiplicative,0.01,12990689468335.166
55,0.0051,0.01,multiplicative,0.01,13143719631810.746
66,0.0051,2.01,multiplicative,2.01,13173552969650.771
67,0.0051,2.01,multiplicative,4.01,13194587814430.9
75,0.0051,4.01,multiplicative,0.01,13523979688581.232
98,0.0051,8.01,multiplicative,6.009999999999999,13553047991830.361
76,0.0051,4.01,multiplicative,2.01,13610855350339.955
96,0.0051,8.01,multiplicative,2.01,13616216794318.053
86,0.0051,6.009999999999999,multiplicative,2.01,13654904155875.328
95,0.0051,8.01,multiplicative,0.01,13656953450289.574
78,0.0051,4.01,multiplicative,6.009999999999999,13680621015076.031
79,0.0051,4.01,multiplicative,8.01,13695154524364.896
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,13702560546234.854
97,0.0051,8.01,multiplicative,4.01,13716149306727.273
99,0.0051,8.01,multiplicative,8.01,13742184577050.52
89,0.0051,6.009999999999999,multiplicative,8.01,13803043917193.879
77,0.0051,4.01,multiplicative,4.01,13837934824319.314
87,0.0051,6.009999999999999,multiplicative,4.01,14028215639221.963
107,0.0101,0.01,multiplicative,4.01,15546595504953.324
108,0.0101,0.01,multiplicative,6.009999999999999,15761196656631.436
126,0.0101,4.01,multiplicative,2.01,15866811661290.55
106,0.0101,0.01,multiplicative,2.01,15926915402660.166
109,0.0101,0.01,multiplicative,8.01,15963661758809.625
116,0.0101,2.01,multiplicative,2.01,15998310607974.93
125,0.0101,4.01,multiplicative,0.01,16027763729305.783
145,0.0101,8.01,multiplicative,0.01,16076814065840.805
105,0.0101,0.01,multiplicative,0.01,16106890589768.38
118,0.0101,2.01,multiplicative,6.009999999999999,16112431213804.26
115,0.0101,2.01,multiplicative,0.01,16116085015793.355
117,0.0101,2.01,multiplicative,4.01,16116169915705.166
128,0.0101,4.01,multiplicative,6.009999999999999,16147877725321.555
127,0.0101,4.01,multiplicative,4.01,16171499033185.459
149,0.0101,8.01,multiplicative,8.01,16171790780206.564
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,16171923664416.715
139,0.0101,6.009999999999999,multiplicative,8.01,16194194337989.24
147,0.0101,8.01,multiplicative,4.01,16201432190252.898
148,0.0101,8.01,multiplicative,6.009999999999999,16204094897363.395
135,0.0101,6.009999999999999,multiplicative,0.01,16207337589261.518
146,0.0101,8.01,multiplicative,2.01,16243323985316.613
137,0.0101,6.009999999999999,multiplicative,4.01,16254848021263.438
136,0.0101,6.009999999999999,multiplicative,2.01,16282418254398.822
119,0.0101,2.01,multiplicative,8.01,16302720848116.547
129,0.0101,4.01,multiplicative,8.01,16360747077959.479
52,0.0051,0.01,additive,4.01,20500525723950.426
62,0.0051,2.01,additive,4.01,20516181817000.902
72,0.0051,4.01,additive,4.01,20521990428022.0
64,0.0051,2.01,additive,8.01,20544282001039.742
51,0.0051,0.01,additive,2.01,20547988106835.508
71,0.0051,4.01,additive,2.01,20550126896821.914
73,0.0051,4.01,additive,6.009999999999999,20556556995093.48
54,0.0051,0.01,additive,8.01,20562622666586.18
53,0.0051,0.01,additive,6.009999999999999,20573532656736.605
74,0.0051,4.01,additive,8.01,20577752448879.2
63,0.0051,2.01,additive,6.009999999999999,20583258570585.79
61,0.0051,2.01,additive,2.01,20637990801388.715
81,0.0051,6.009999999999999,additive,2.01,20647309912855.3
83,0.0051,6.009999999999999,additive,6.009999999999999,20657208715995.01
91,0.0051,8.01,additive,2.01,20674167100698.418
70,0.0051,4.01,additive,0.01,20682322826826.24
84,0.0051,6.009999999999999,additive,8.01,20692144844417.89
94,0.0051,8.01,additive,8.01,20710243603193.5
80,0.0051,6.009999999999999,additive,0.01,20718772438280.152
93,0.0051,8.01,additive,6.009999999999999,20719759223861.45
82,0.0051,6.009999999999999,additive,4.01,20726941787332.668
50,0.0051,0.01,additive,0.01,20741073154981.895
92,0.0051,8.01,additive,4.01,20741416701498.227
90,0.0051,8.01,additive,0.01,20744206084380.21
60,0.0051,2.01,additive,0.01,20763108888576.38
103,0.0101,0.01,additive,6.009999999999999,21474483646243.184
102,0.0101,0.01,additive,4.01,21557028173537.64
