,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
137,0.0101,6.009999999999999,multiplicative,4.01,132.03155126473953
136,0.0101,6.009999999999999,multiplicative,2.01,132.05473588266662
119,0.0101,2.01,multiplicative,8.01,132.26494413767566
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,132.27825247343984
139,0.0101,6.009999999999999,multiplicative,8.01,132.42935958761984
117,0.0101,2.01,multiplicative,4.01,132.4383418375051
118,0.0101,2.01,multiplicative,6.009999999999999,132.46914161186072
129,0.0101,4.01,multiplicative,8.01,132.47747621717372
128,0.0101,4.01,multiplicative,6.009999999999999,132.4776713375059
116,0.0101,2.01,multiplicative,2.01,132.48194319112335
146,0.0101,8.01,multiplicative,2.01,132.4890692380085
127,0.0101,4.01,multiplicative,4.01,132.51327980650356
147,0.0101,8.01,multiplicative,4.01,132.5197677622746
126,0.0101,4.01,multiplicative,2.01,132.5300141993179
148,0.0101,8.01,multiplicative,6.009999999999999,132.58740257864466
149,0.0101,8.01,multiplicative,8.01,132.5937824693024
115,0.0101,2.01,multiplicative,0.01,133.25988910799245
145,0.0101,8.01,multiplicative,0.01,133.6350875958286
135,0.0101,6.009999999999999,multiplicative,0.01,133.6619028720154
125,0.0101,4.01,multiplicative,0.01,133.66493419643993
107,0.0101,0.01,multiplicative,4.01,134.98851575173555
108,0.0101,0.01,multiplicative,6.009999999999999,134.99600653822225
109,0.0101,0.01,multiplicative,8.01,134.99604003370462
106,0.0101,0.01,multiplicative,2.01,135.0118551671696
105,0.0101,0.01,multiplicative,0.01,135.041486357555
55,0.0051,0.01,multiplicative,0.01,137.05378030488833
86,0.0051,6.009999999999999,multiplicative,2.01,137.81256848766077
89,0.0051,6.009999999999999,multiplicative,8.01,137.81298946739054
87,0.0051,6.009999999999999,multiplicative,4.01,137.81299329698805
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,137.8130339177027
99,0.0051,8.01,multiplicative,8.01,137.81431827788657
96,0.0051,8.01,multiplicative,2.01,137.8143610215535
97,0.0051,8.01,multiplicative,4.01,137.81441342265376
98,0.0051,8.01,multiplicative,6.009999999999999,137.81442843966883
78,0.0051,4.01,multiplicative,6.009999999999999,137.81520899746957
79,0.0051,4.01,multiplicative,8.01,137.81522163647284
77,0.0051,4.01,multiplicative,4.01,137.81525725986677
76,0.0051,4.01,multiplicative,2.01,137.81527407493738
67,0.0051,2.01,multiplicative,4.01,137.8204354707575
68,0.0051,2.01,multiplicative,6.009999999999999,137.8206890158894
69,0.0051,2.01,multiplicative,8.01,137.82069362459922
66,0.0051,2.01,multiplicative,2.01,137.8213349549418
58,0.0051,0.01,multiplicative,6.009999999999999,138.2177962649252
56,0.0051,0.01,multiplicative,2.01,138.34063595544256
59,0.0051,0.01,multiplicative,8.01,138.97392072272584
57,0.0051,0.01,multiplicative,4.01,139.06723904508357
95,0.0051,8.01,multiplicative,0.01,140.40432558766176
75,0.0051,4.01,multiplicative,0.01,140.43168439330321
65,0.0051,2.01,multiplicative,0.01,140.43904509291986
85,0.0051,6.009999999999999,multiplicative,0.01,140.44277424868693
50,0.0051,0.01,additive,0.01,145.83587848966567
53,0.0051,0.01,additive,6.009999999999999,149.65345483337913
52,0.0051,0.01,additive,4.01,150.51023536407843
104,0.0101,0.01,additive,8.01,162.47881947927928
103,0.0101,0.01,additive,6.009999999999999,162.49215009026295
102,0.0101,0.01,additive,4.01,162.51343644089064
101,0.0101,0.01,additive,2.01,162.60294326831848
51,0.0051,0.01,additive,2.01,162.78417991188257
54,0.0051,0.01,additive,8.01,163.0023368868968
100,0.0101,0.01,additive,0.01,163.62959690220572
91,0.0051,8.01,additive,2.01,163.85916261351582
94,0.0051,8.01,additive,8.01,163.89306560318687
60,0.0051,2.01,additive,0.01,163.90214067813446
83,0.0051,6.009999999999999,additive,6.009999999999999,163.93988382450092
81,0.0051,6.009999999999999,additive,2.01,164.0824084576071
