,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
15,0.0001,2.01,multiplicative,0.01,105.83648061770741
16,0.0001,2.01,multiplicative,2.01,106.67684811187819
100,0.0101,0.01,additive,0.01,108.12915705397583
104,0.0101,0.01,additive,8.01,108.14793668208355
101,0.0101,0.01,additive,2.01,108.1765805918828
102,0.0101,0.01,additive,4.01,108.24460643777398
103,0.0101,0.01,additive,6.009999999999999,108.33456880641515
25,0.0001,4.01,multiplicative,0.01,112.5917914219722
110,0.0101,2.01,additive,0.01,116.18839355485724
140,0.0101,8.01,additive,0.01,116.18881700076358
120,0.0101,4.01,additive,0.01,116.18890545457208
130,0.0101,6.009999999999999,additive,0.01,116.18923933497989
112,0.0101,2.01,additive,4.01,116.23280003571762
121,0.0101,4.01,additive,2.01,116.23311031285336
124,0.0101,4.01,additive,8.01,116.23314577896093
122,0.0101,4.01,additive,4.01,116.23315943632299
131,0.0101,6.009999999999999,additive,2.01,116.23319397854735
141,0.0101,8.01,additive,2.01,116.23320525993171
114,0.0101,2.01,additive,8.01,116.23349687356985
133,0.0101,6.009999999999999,additive,6.009999999999999,116.23353249046062
113,0.0101,2.01,additive,6.009999999999999,116.2335349877699
111,0.0101,2.01,additive,2.01,116.23358463240206
143,0.0101,8.01,additive,6.009999999999999,116.23363195334602
144,0.0101,8.01,additive,8.01,116.23367859398881
134,0.0101,6.009999999999999,additive,8.01,116.23367903142491
132,0.0101,6.009999999999999,additive,4.01,116.23379382128999
123,0.0101,4.01,additive,6.009999999999999,116.23383882910545
142,0.0101,8.01,additive,4.01,116.23396738260936
73,0.0051,4.01,additive,6.009999999999999,116.67337492249594
72,0.0051,4.01,additive,4.01,116.67343020326048
74,0.0051,4.01,additive,8.01,116.67348695357502
71,0.0051,4.01,additive,2.01,116.67357378793106
91,0.0051,8.01,additive,2.01,116.67363274520656
92,0.0051,8.01,additive,4.01,116.67363888786144
84,0.0051,6.009999999999999,additive,8.01,116.67366743226346
82,0.0051,6.009999999999999,additive,4.01,116.67370363350219
83,0.0051,6.009999999999999,additive,6.009999999999999,116.67370974457431
81,0.0051,6.009999999999999,additive,2.01,116.67374824757137
93,0.0051,8.01,additive,6.009999999999999,116.6739136716384
94,0.0051,8.01,additive,8.01,116.67396881630235
64,0.0051,2.01,additive,8.01,116.67453579754874
63,0.0051,2.01,additive,6.009999999999999,116.67507660968639
62,0.0051,2.01,additive,4.01,116.6751121166262
61,0.0051,2.01,additive,2.01,116.67658767444186
90,0.0051,8.01,additive,0.01,117.51576710573576
60,0.0051,2.01,additive,0.01,117.51875229208693
70,0.0051,4.01,additive,0.01,117.52612824808718
80,0.0051,6.009999999999999,additive,0.01,117.52654914611233
26,0.0001,4.01,multiplicative,2.01,118.01166546234725
146,0.0101,8.01,multiplicative,2.01,118.51879792245292
147,0.0101,8.01,multiplicative,4.01,118.51879792596922
148,0.0101,8.01,multiplicative,6.009999999999999,118.5187979265722
149,0.0101,8.01,multiplicative,8.01,118.51879792671663
136,0.0101,6.009999999999999,multiplicative,2.01,118.51879796767241
137,0.0101,6.009999999999999,multiplicative,4.01,118.51879797105906
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,118.51879797161632
139,0.0101,6.009999999999999,multiplicative,8.01,118.51879797208554
126,0.0101,4.01,multiplicative,2.01,118.5187981174406
127,0.0101,4.01,multiplicative,4.01,118.5187981210755
128,0.0101,4.01,multiplicative,6.009999999999999,118.51879812171806
129,0.0101,4.01,multiplicative,8.01,118.51879812207812
116,0.0101,2.01,multiplicative,2.01,118.51884343123176
118,0.0101,2.01,multiplicative,6.009999999999999,118.51884343786972
117,0.0101,2.01,multiplicative,4.01,118.5188434379619
119,0.0101,2.01,multiplicative,8.01,118.51884343850693
135,0.0101,6.009999999999999,multiplicative,0.01,118.5210846476325
145,0.0101,8.01,multiplicative,0.01,118.52108467680455
115,0.0101,2.01,multiplicative,0.01,118.52108550500225
125,0.0101,4.01,multiplicative,0.01,118.52110220681284
105,0.0101,0.01,multiplicative,0.01,118.52761918689892
106,0.0101,0.01,multiplicative,2.01,118.53192865962106
107,0.0101,0.01,multiplicative,4.01,118.53192866473059
109,0.0101,0.01,multiplicative,8.01,118.53192866480877
108,0.0101,0.01,multiplicative,6.009999999999999,118.53192866744644
2,0.0001,0.01,additive,4.01,120.15061419446423
3,0.0001,0.01,additive,6.009999999999999,120.44064671326086
4,0.0001,0.01,additive,8.01,120.53845939526708
52,0.0051,0.01,additive,4.01,122.18864343215026
53,0.0051,0.01,additive,6.009999999999999,122.19029933910363
54,0.0051,0.01,additive,8.01,122.1903643616649
51,0.0051,0.01,additive,2.01,122.19038756974534
50,0.0051,0.01,additive,0.01,122.20996882972204
17,0.0001,2.01,multiplicative,4.01,122.81501047936902
0,0.0001,0.01,additive,0.01,127.12280655426697
12,0.0001,2.01,additive,4.01,128.28073748788955
22,0.0001,4.01,additive,4.01,128.2868581283138
32,0.0001,6.009999999999999,additive,4.01,128.28792237854069
42,0.0001,8.01,additive,4.01,128.2882939075895
13,0.0001,2.01,additive,6.009999999999999,128.39055825388655
23,0.0001,4.01,additive,6.009999999999999,128.39673409361225
33,0.0001,6.009999999999999,additive,6.009999999999999,128.39795973925123
43,0.0001,8.01,additive,6.009999999999999,128.39832710515344
14,0.0001,2.01,additive,8.01,128.42698451830518
24,0.0001,4.01,additive,8.01,128.4333724648893
34,0.0001,6.009999999999999,additive,8.01,128.434497889263
44,0.0001,8.01,additive,8.01,128.43485047621562
35,0.0001,6.009999999999999,multiplicative,0.01,128.4394467499007
10,0.0001,2.01,additive,0.01,130.2551594705716
20,0.0001,4.01,additive,0.01,130.26632705521885
30,0.0001,6.009999999999999,additive,0.01,130.26871265141506
40,0.0001,8.01,additive,0.01,130.2695990596932
45,0.0001,8.01,multiplicative,0.01,131.4758774356899
8,0.0001,0.01,multiplicative,6.009999999999999,131.88884568913411
36,0.0001,6.009999999999999,multiplicative,2.01,132.15410480808615
11,0.0001,2.01,additive,2.01,132.2860443503104
21,0.0001,4.01,additive,2.01,132.2963747371164
31,0.0001,6.009999999999999,additive,2.01,132.2980294623146
41,0.0001,8.01,additive,2.01,132.2988221949809
6,0.0001,0.01,multiplicative,2.01,132.64146029721437
5,0.0001,0.01,multiplicative,0.01,133.1264162693509
55,0.0051,0.01,multiplicative,0.01,133.73000659143983
56,0.0051,0.01,multiplicative,2.01,133.7341468138786
57,0.0051,0.01,multiplicative,4.01,133.734147661612
58,0.0051,0.01,multiplicative,6.009999999999999,133.73414783096297
59,0.0051,0.01,multiplicative,8.01,133.73414788939598
99,0.0051,8.01,multiplicative,8.01,133.74167923115735
77,0.0051,4.01,multiplicative,4.01,133.74174073630252
96,0.0051,8.01,multiplicative,2.01,133.7417439546774
78,0.0051,4.01,multiplicative,6.009999999999999,133.74175370932198
79,0.0051,4.01,multiplicative,8.01,133.74175609621352
67,0.0051,2.01,multiplicative,4.01,133.74194213574512
68,0.0051,2.01,multiplicative,6.009999999999999,133.74196274769534
69,0.0051,2.01,multiplicative,8.01,133.74196627540545
87,0.0051,6.009999999999999,multiplicative,4.01,133.74216759832893
89,0.0051,6.009999999999999,multiplicative,8.01,133.7421752448577
98,0.0051,8.01,multiplicative,6.009999999999999,133.74218157672598
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,133.74218766670586
97,0.0051,8.01,multiplicative,4.01,133.74220186772436
76,0.0051,4.01,multiplicative,2.01,133.74223537136106
86,0.0051,6.009999999999999,multiplicative,2.01,133.7422555193911
66,0.0051,2.01,multiplicative,2.01,133.7422568646502
95,0.0051,8.01,multiplicative,0.01,133.7484771654505
85,0.0051,6.009999999999999,multiplicative,0.01,133.7485343171044
75,0.0051,4.01,multiplicative,0.01,133.74857653831128
65,0.0051,2.01,multiplicative,0.01,133.7486302029425
46,0.0001,8.01,multiplicative,2.01,136.84739213703324
18,0.0001,2.01,multiplicative,6.009999999999999,137.21201340810424
9,0.0001,0.01,multiplicative,8.01,142.11284426050665
1,0.0001,0.01,additive,2.01,144.0833443681476
27,0.0001,4.01,multiplicative,4.01,144.1195987035998
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,151.30432385278124
19,0.0001,2.01,multiplicative,8.01,151.38506504630368
7,0.0001,0.01,multiplicative,4.01,151.98806728126385
39,0.0001,6.009999999999999,multiplicative,8.01,152.6960233947489
37,0.0001,6.009999999999999,multiplicative,4.01,162.256241439655
49,0.0001,8.01,multiplicative,8.01,162.66244202474195
48,0.0001,8.01,multiplicative,6.009999999999999,166.16479152711565
47,0.0001,8.01,multiplicative,4.01,171.1265126611871
28,0.0001,4.01,multiplicative,6.009999999999999,195.00201145349948
29,0.0001,4.01,multiplicative,8.01,233.97474283357104
