,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
100,0.0101,0.01,additive,0.01,0.3436253969378953
101,0.0101,0.01,additive,2.01,0.6620855227062693
110,0.0101,2.01,additive,0.01,0.7430182943431399
141,0.0101,8.01,additive,2.01,0.7787503008410231
144,0.0101,8.01,additive,8.01,0.8214577251084556
104,0.0101,0.01,additive,8.01,0.8308884927544659
113,0.0101,2.01,additive,6.009999999999999,0.8315422350769275
103,0.0101,0.01,additive,6.009999999999999,0.8317992129756545
143,0.0101,8.01,additive,6.009999999999999,0.8438521029660796
123,0.0101,4.01,additive,6.009999999999999,0.8569420103316148
121,0.0101,4.01,additive,2.01,0.8627248658855997
132,0.0101,6.009999999999999,additive,4.01,0.9053885590483107
133,0.0101,6.009999999999999,additive,6.009999999999999,0.9662616479928955
102,0.0101,0.01,additive,4.01,0.9745154385902328
111,0.0101,2.01,additive,2.01,1.029787398548154
120,0.0101,4.01,additive,0.01,1.040878382095536
142,0.0101,8.01,additive,4.01,1.0430946491535817
114,0.0101,2.01,additive,8.01,1.0737928180868366
112,0.0101,2.01,additive,4.01,1.0816858189221688
122,0.0101,4.01,additive,4.01,1.0928883328167878
131,0.0101,6.009999999999999,additive,2.01,1.1022600955852357
134,0.0101,6.009999999999999,additive,8.01,1.1048950448200074
124,0.0101,4.01,additive,8.01,1.1419964272410557
140,0.0101,8.01,additive,0.01,1.3101211593330493
130,0.0101,6.009999999999999,additive,0.01,1.3355185210985887
9,0.0001,0.01,multiplicative,8.01,2.2724105596812385
8,0.0001,0.01,multiplicative,6.009999999999999,2.527587249859662
86,0.0051,6.009999999999999,multiplicative,2.01,2.746302424378586
79,0.0051,4.01,multiplicative,8.01,2.756267629945841
89,0.0051,6.009999999999999,multiplicative,8.01,2.770543264882894
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,2.7833612180384577
76,0.0051,4.01,multiplicative,2.01,2.865511226625138
95,0.0051,8.01,multiplicative,0.01,2.8724950948448913
65,0.0051,2.01,multiplicative,0.01,2.9419101560668017
87,0.0051,6.009999999999999,multiplicative,4.01,2.942196610615563
97,0.0051,8.01,multiplicative,4.01,2.9430457007373647
75,0.0051,4.01,multiplicative,0.01,2.954243865013055
67,0.0051,2.01,multiplicative,4.01,2.9547008400356702
5,0.0001,0.01,multiplicative,0.01,2.972784571930807
66,0.0051,2.01,multiplicative,2.01,2.9752643057559616
69,0.0051,2.01,multiplicative,8.01,2.9908788595211533
7,0.0001,0.01,multiplicative,4.01,3.094567547064029
68,0.0051,2.01,multiplicative,6.009999999999999,3.1322306103398154
6,0.0001,0.01,multiplicative,2.01,3.1377636936760402
96,0.0051,8.01,multiplicative,2.01,3.1389794841504703
99,0.0051,8.01,multiplicative,8.01,3.197528527755651
85,0.0051,6.009999999999999,multiplicative,0.01,3.2581340704824506
78,0.0051,4.01,multiplicative,6.009999999999999,3.2802290770970637
77,0.0051,4.01,multiplicative,4.01,3.360941664961203
98,0.0051,8.01,multiplicative,6.009999999999999,3.470390866039729
4,0.0001,0.01,additive,8.01,4.1788281654099775
3,0.0001,0.01,additive,6.009999999999999,4.184161419694665
2,0.0001,0.01,additive,4.01,4.199307929909587
1,0.0001,0.01,additive,2.01,4.278980735553968
106,0.0101,0.01,multiplicative,2.01,4.728118203542266
108,0.0101,0.01,multiplicative,6.009999999999999,4.736169200534519
107,0.0101,0.01,multiplicative,4.01,4.751153573449313
105,0.0101,0.01,multiplicative,0.01,4.815464118350278
55,0.0051,0.01,multiplicative,0.01,4.828615440491471
109,0.0101,0.01,multiplicative,8.01,4.850982450380177
56,0.0051,0.01,multiplicative,2.01,4.896073955349969
57,0.0051,0.01,multiplicative,4.01,4.90153527834003
58,0.0051,0.01,multiplicative,6.009999999999999,4.903579705162322
59,0.0051,0.01,multiplicative,8.01,4.905721713120637
17,0.0001,2.01,multiplicative,4.01,4.919395189968756
27,0.0001,4.01,multiplicative,4.01,4.97864933628355
37,0.0001,6.009999999999999,multiplicative,4.01,4.990872230878821
47,0.0001,8.01,multiplicative,4.01,4.996277097460502
50,0.0051,0.01,additive,0.01,5.052160741957803
52,0.0051,0.01,additive,4.01,5.062410759929132
54,0.0051,0.01,additive,8.01,5.063904453143368
53,0.0051,0.01,additive,6.009999999999999,5.0640295283631644
51,0.0051,0.01,additive,2.01,5.0646540096190735
137,0.0101,6.009999999999999,multiplicative,4.01,5.188636292523274
118,0.0101,2.01,multiplicative,6.009999999999999,5.213519814043047
139,0.0101,6.009999999999999,multiplicative,8.01,5.2195903523929905
117,0.0101,2.01,multiplicative,4.01,5.264786550481804
136,0.0101,6.009999999999999,multiplicative,2.01,5.295356320766442
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,5.3021850100478
119,0.0101,2.01,multiplicative,8.01,5.319507538041923
116,0.0101,2.01,multiplicative,2.01,5.328135915714882
146,0.0101,8.01,multiplicative,2.01,5.352428009248929
147,0.0101,8.01,multiplicative,4.01,5.362889900273497
127,0.0101,4.01,multiplicative,4.01,5.3633160904345365
129,0.0101,4.01,multiplicative,8.01,5.364980738091372
128,0.0101,4.01,multiplicative,6.009999999999999,5.376743677497646
148,0.0101,8.01,multiplicative,6.009999999999999,5.377322027076896
149,0.0101,8.01,multiplicative,8.01,5.381211985288822
26,0.0001,4.01,multiplicative,2.01,5.385145454946262
19,0.0001,2.01,multiplicative,8.01,5.389464709138461
115,0.0101,2.01,multiplicative,0.01,5.39019022749778
36,0.0001,6.009999999999999,multiplicative,2.01,5.398096717981136
46,0.0001,8.01,multiplicative,2.01,5.40140855296931
126,0.0101,4.01,multiplicative,2.01,5.404589952042599
145,0.0101,8.01,multiplicative,0.01,5.43343563415026
29,0.0001,4.01,multiplicative,8.01,5.435550049476231
39,0.0001,6.009999999999999,multiplicative,8.01,5.444907410473704
49,0.0001,8.01,multiplicative,8.01,5.448247380798901
125,0.0101,4.01,multiplicative,0.01,5.4501622550028515
135,0.0101,6.009999999999999,multiplicative,0.01,5.452534244857465
45,0.0001,8.01,multiplicative,0.01,5.585256333992632
35,0.0001,6.009999999999999,multiplicative,0.01,5.585401565710299
25,0.0001,4.01,multiplicative,0.01,5.585917028475784
15,0.0001,2.01,multiplicative,0.01,5.591494394810636
18,0.0001,2.01,multiplicative,6.009999999999999,5.6379553818156625
0,0.0001,0.01,additive,0.01,5.6541892551972
28,0.0001,4.01,multiplicative,6.009999999999999,5.688096606877558
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,5.699219010535406
48,0.0001,8.01,multiplicative,6.009999999999999,5.703059584488865
16,0.0001,2.01,multiplicative,2.01,6.013824242818768
80,0.0051,6.009999999999999,additive,0.01,8.455147630239132
90,0.0051,8.01,additive,0.01,8.455969627609981
70,0.0051,4.01,additive,0.01,8.458884880604415
60,0.0051,2.01,additive,0.01,8.46751943982038
61,0.0051,2.01,additive,2.01,8.504229707853655
64,0.0051,2.01,additive,8.01,8.505753290868471
63,0.0051,2.01,additive,6.009999999999999,8.516891275034553
62,0.0051,2.01,additive,4.01,8.526213244752507
94,0.0051,8.01,additive,8.01,8.537849535957042
93,0.0051,8.01,additive,6.009999999999999,8.538146281370743
92,0.0051,8.01,additive,4.01,8.538183391456462
91,0.0051,8.01,additive,2.01,8.545720320503618
81,0.0051,6.009999999999999,additive,2.01,8.599951665530577
83,0.0051,6.009999999999999,additive,6.009999999999999,8.608960878953134
84,0.0051,6.009999999999999,additive,8.01,8.609714686671898
72,0.0051,4.01,additive,4.01,8.612593992977958
71,0.0051,4.01,additive,2.01,8.61287126025499
73,0.0051,4.01,additive,6.009999999999999,8.615720230564769
82,0.0051,6.009999999999999,additive,4.01,8.617983587088505
74,0.0051,4.01,additive,8.01,8.624188920462776
11,0.0001,2.01,additive,2.01,8.647390112989681
21,0.0001,4.01,additive,2.01,8.649625923612184
31,0.0001,6.009999999999999,additive,2.01,8.650014501757164
41,0.0001,8.01,additive,2.01,8.650149455902252
12,0.0001,2.01,additive,4.01,8.661774442048312
13,0.0001,2.01,additive,6.009999999999999,8.663539608508012
22,0.0001,4.01,additive,4.01,8.663885593988127
32,0.0001,6.009999999999999,additive,4.01,8.664278254407805
42,0.0001,8.01,additive,4.01,8.664418054741917
14,0.0001,2.01,additive,8.01,8.666005036185359
23,0.0001,4.01,additive,6.009999999999999,8.66681623996471
33,0.0001,6.009999999999999,additive,6.009999999999999,8.667209072179554
43,0.0001,8.01,additive,6.009999999999999,8.668524482958546
24,0.0001,4.01,additive,8.01,8.669303004420728
34,0.0001,6.009999999999999,additive,8.01,8.66970283466643
44,0.0001,8.01,additive,8.01,8.669831773540032
10,0.0001,2.01,additive,0.01,10.021282275871837
20,0.0001,4.01,additive,0.01,10.027542189282114
40,0.0001,8.01,additive,0.01,10.028979777207313
30,0.0001,6.009999999999999,additive,0.01,10.02934444284441
