,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
63,0.0051,2.01,additive,6.009999999999999,0.11098154849742413
91,0.0051,8.01,additive,2.01,0.11767051503386243
55,0.0051,0.01,multiplicative,0.01,0.13182826987759555
4,0.0001,0.01,additive,8.01,0.15909101592564887
53,0.0051,0.01,additive,6.009999999999999,0.1654096968787873
3,0.0001,0.01,additive,6.009999999999999,0.17369283637111488
62,0.0051,2.01,additive,4.01,0.18524059204632376
2,0.0001,0.01,additive,4.01,0.21312768380070726
80,0.0051,6.009999999999999,additive,0.01,0.21546075678550863
84,0.0051,6.009999999999999,additive,8.01,0.25382224393195973
64,0.0051,2.01,additive,8.01,0.25707063816438225
90,0.0051,8.01,additive,0.01,0.32079155158274314
1,0.0001,0.01,additive,2.01,0.39439613987950756
69,0.0051,2.01,multiplicative,8.01,0.44191975283587953
68,0.0051,2.01,multiplicative,6.009999999999999,0.4467780578262552
57,0.0051,0.01,multiplicative,4.01,0.46910261290729943
67,0.0051,2.01,multiplicative,4.01,0.47231048011205196
96,0.0051,8.01,multiplicative,2.01,0.511942276609595
77,0.0051,4.01,multiplicative,4.01,0.5234471912574233
58,0.0051,0.01,multiplicative,6.009999999999999,0.5325682668420807
99,0.0051,8.01,multiplicative,8.01,0.5826956945826458
61,0.0051,2.01,additive,2.01,0.6207540330095505
98,0.0051,8.01,multiplicative,6.009999999999999,0.6299768192327365
78,0.0051,4.01,multiplicative,6.009999999999999,0.6710207510757824
66,0.0051,2.01,multiplicative,2.01,0.6815591013057952
72,0.0051,4.01,additive,4.01,0.7213667148668969
70,0.0051,4.01,additive,0.01,0.7298511417843367
97,0.0051,8.01,multiplicative,4.01,0.7760718109203947
73,0.0051,4.01,additive,6.009999999999999,0.8209132004890333
74,0.0051,4.01,additive,8.01,0.8372356825916343
76,0.0051,4.01,multiplicative,2.01,0.8497621691325563
85,0.0051,6.009999999999999,multiplicative,0.01,0.8598014654509403
65,0.0051,2.01,multiplicative,0.01,0.8673528280049341
79,0.0051,4.01,multiplicative,8.01,0.8779268250999361
75,0.0051,4.01,multiplicative,0.01,0.8861479108447619
86,0.0051,6.009999999999999,multiplicative,2.01,0.8886997287399319
51,0.0051,0.01,additive,2.01,0.911363569715785
89,0.0051,6.009999999999999,multiplicative,8.01,0.9740017251046917
87,0.0051,6.009999999999999,multiplicative,4.01,0.9919629922794155
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,1.0000149693647984
7,0.0001,0.01,multiplicative,4.01,1.0526775744829533
95,0.0051,8.01,multiplicative,0.01,1.0806858049531471
6,0.0001,0.01,multiplicative,2.01,1.294332700474817
8,0.0001,0.01,multiplicative,6.009999999999999,1.308857139719406
71,0.0051,4.01,additive,2.01,1.3937946710508313
9,0.0001,0.01,multiplicative,8.01,1.4345861779590234
56,0.0051,0.01,multiplicative,2.01,1.4642292309491618
59,0.0051,0.01,multiplicative,8.01,1.5070702092569594
52,0.0051,0.01,additive,4.01,1.586999829043278
60,0.0051,2.01,additive,0.01,1.6236900643600654
82,0.0051,6.009999999999999,additive,4.01,1.9930921191304884
83,0.0051,6.009999999999999,additive,6.009999999999999,2.139883132671973
50,0.0051,0.01,additive,0.01,2.164689619010893
5,0.0001,0.01,multiplicative,0.01,2.2266838033154532
81,0.0051,6.009999999999999,additive,2.01,2.252014596981072
94,0.0051,8.01,additive,8.01,2.282538579635961
92,0.0051,8.01,additive,4.01,2.2994118257279657
54,0.0051,0.01,additive,8.01,2.3193370197435628
93,0.0051,8.01,additive,6.009999999999999,2.504123295542961
14,0.0001,2.01,additive,8.01,2.564724895058805
34,0.0001,6.009999999999999,additive,8.01,2.5684338462553926
24,0.0001,4.01,additive,8.01,2.56843518477097
44,0.0001,8.01,additive,8.01,2.568482435474392
13,0.0001,2.01,additive,6.009999999999999,2.5755035673516993
23,0.0001,4.01,additive,6.009999999999999,2.575686550127684
33,0.0001,6.009999999999999,additive,6.009999999999999,2.575720174783127
43,0.0001,8.01,additive,6.009999999999999,2.575747154010611
12,0.0001,2.01,additive,4.01,2.6005240025770195
22,0.0001,4.01,additive,4.01,2.6006669364105175
32,0.0001,6.009999999999999,additive,4.01,2.6006843946941784
42,0.0001,8.01,additive,4.01,2.600685762418995
