,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
59,0.0051,0.01,multiplicative,8.01,129.79770795128266
58,0.0051,0.01,multiplicative,6.009999999999999,129.8050734945279
57,0.0051,0.01,multiplicative,4.01,129.83748027323134
56,0.0051,0.01,multiplicative,2.01,129.84229950374905
105,0.0101,0.01,multiplicative,0.01,130.18761964273344
145,0.0101,8.01,multiplicative,0.01,131.0353883484756
85,0.0051,6.009999999999999,multiplicative,0.01,131.04746112562177
125,0.0101,4.01,multiplicative,0.01,131.10699280703375
135,0.0101,6.009999999999999,multiplicative,0.01,131.13121849070853
109,0.0101,0.01,multiplicative,8.01,131.4419153535519
115,0.0101,2.01,multiplicative,0.01,131.66947187384528
106,0.0101,0.01,multiplicative,2.01,132.23751858076255
148,0.0101,8.01,multiplicative,6.009999999999999,132.49776890709543
55,0.0051,0.01,multiplicative,0.01,132.6295050141777
147,0.0101,8.01,multiplicative,4.01,132.64141525442557
127,0.0101,4.01,multiplicative,4.01,133.74341709020817
78,0.0051,4.01,multiplicative,6.009999999999999,133.76429933768523
77,0.0051,4.01,multiplicative,4.01,133.77930996442808
137,0.0101,6.009999999999999,multiplicative,4.01,133.85466551090798
96,0.0051,8.01,multiplicative,2.01,133.8716871850059
76,0.0051,4.01,multiplicative,2.01,133.87346456614858
136,0.0101,6.009999999999999,multiplicative,2.01,133.89665584428678
98,0.0051,8.01,multiplicative,6.009999999999999,133.90229147061552
79,0.0051,4.01,multiplicative,8.01,133.91704815644326
89,0.0051,6.009999999999999,multiplicative,8.01,133.93606096901146
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,133.95489960443592
97,0.0051,8.01,multiplicative,4.01,133.96159143804158
146,0.0101,8.01,multiplicative,2.01,133.96386425501316
86,0.0051,6.009999999999999,multiplicative,2.01,133.96569127685348
99,0.0051,8.01,multiplicative,8.01,134.0179505423512
129,0.0101,4.01,multiplicative,8.01,134.03495090395893
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,134.07670734655238
