,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
459,0.0101,2.01,multiplicative,9.01,13.791801035932751
577,0.0101,8.01,multiplicative,7.01,13.802356469134754
555,0.0101,7.01,multiplicative,5.01,13.840315277729646
592,0.0101,9.01,multiplicative,2.01,13.863452918694234
570,0.0101,8.01,multiplicative,0.01,13.863727329259655
498,0.0101,4.01,multiplicative,8.01,13.867409412697754
510,0.0101,5.01,multiplicative,0.01,13.880335857771449
472,0.0101,3.01,multiplicative,2.01,13.898832344923948
479,0.0101,3.01,multiplicative,9.01,13.912149663530668
456,0.0101,2.01,multiplicative,6.01,13.920783855220325
531,0.0101,6.01,multiplicative,1.01,13.925271631740602
535,0.0101,6.01,multiplicative,5.01,13.92585093922421
578,0.0101,8.01,multiplicative,8.01,13.939778793124558
530,0.0101,6.01,multiplicative,0.01,13.95456274887486
511,0.0101,5.01,multiplicative,1.01,13.964464997768353
453,0.0101,2.01,multiplicative,3.01,13.967751667041929
457,0.0101,2.01,multiplicative,7.01,13.98905558099063
532,0.0101,6.01,multiplicative,2.01,13.998449590265126
575,0.0101,8.01,multiplicative,5.01,14.001886347773707
519,0.0101,5.01,multiplicative,9.01,14.015702025169107
496,0.0101,4.01,multiplicative,6.01,14.015738614045052
536,0.0101,6.01,multiplicative,6.01,14.017357305206712
574,0.0101,8.01,multiplicative,4.01,14.019719151101725
559,0.0101,7.01,multiplicative,9.01,14.025465028103056
470,0.0101,3.01,multiplicative,0.01,14.026051749765273
455,0.0101,2.01,multiplicative,5.01,14.048525486682175
596,0.0101,9.01,multiplicative,6.01,14.066635084727345
571,0.0101,8.01,multiplicative,1.01,14.073466641631496
475,0.0101,3.01,multiplicative,5.01,14.08346587066553
437,0.0101,1.01,multiplicative,7.01,14.088070123225163
591,0.0101,9.01,multiplicative,1.01,14.093112293335265
533,0.0101,6.01,multiplicative,3.01,14.097500769071234
556,0.0101,7.01,multiplicative,6.01,14.103807257844887
438,0.0101,1.01,multiplicative,8.01,14.116692320566376
493,0.0101,4.01,multiplicative,3.01,14.146504223351773
492,0.0101,4.01,multiplicative,2.01,14.154401795761206
471,0.0101,3.01,multiplicative,1.01,14.154481616642913
433,0.0101,1.01,multiplicative,3.01,14.211703159981296
515,0.0101,5.01,multiplicative,5.01,14.211970927926501
451,0.0101,2.01,multiplicative,1.01,14.228588122832516
594,0.0101,9.01,multiplicative,4.01,14.231849955853535
517,0.0101,5.01,multiplicative,7.01,14.242437988977864
537,0.0101,6.01,multiplicative,7.01,14.2572376380749
473,0.0101,3.01,multiplicative,3.01,14.26530335980175
553,0.0101,7.01,multiplicative,3.01,14.30116950660054
590,0.0101,9.01,multiplicative,0.01,14.327759171084368
552,0.0101,7.01,multiplicative,2.01,14.328359098772754
474,0.0101,3.01,multiplicative,4.01,14.33258781812197
434,0.0101,1.01,multiplicative,4.01,14.34344482314455
576,0.0101,8.01,multiplicative,6.01,14.35017465158739
534,0.0101,6.01,multiplicative,4.01,14.352155182701479
497,0.0101,4.01,multiplicative,7.01,14.360670984591799
516,0.0101,5.01,multiplicative,6.01,14.371074299598734
597,0.0101,9.01,multiplicative,7.01,14.37771925199511
595,0.0101,9.01,multiplicative,5.01,14.392156719123614
514,0.0101,5.01,multiplicative,4.01,14.394758476489084
579,0.0101,8.01,multiplicative,9.01,14.41397838954822
477,0.0101,3.01,multiplicative,7.01,14.423771349504888
491,0.0101,4.01,multiplicative,1.01,14.43779792619861
513,0.0101,5.01,multiplicative,3.01,14.440056366979736
538,0.0101,6.01,multiplicative,8.01,14.445953936896649
476,0.0101,3.01,multiplicative,6.01,14.455301849830297
554,0.0101,7.01,multiplicative,4.01,14.469787459058175
490,0.0101,4.01,multiplicative,0.01,14.504382123770672
518,0.0101,5.01,multiplicative,8.01,14.504694013465881
499,0.0101,4.01,multiplicative,9.01,14.517043441640187
593,0.0101,9.01,multiplicative,3.01,14.535261621317902
557,0.0101,7.01,multiplicative,7.01,14.538427142570736
598,0.0101,9.01,multiplicative,8.01,14.552539447288451
458,0.0101,2.01,multiplicative,8.01,14.563417264249162
599,0.0101,9.01,multiplicative,9.01,14.570941995582144
573,0.0101,8.01,multiplicative,3.01,14.602250769782522
478,0.0101,3.01,multiplicative,8.01,14.606884174002532
572,0.0101,8.01,multiplicative,2.01,14.615843790684774
432,0.0101,1.01,multiplicative,2.01,14.623340331192876
512,0.0101,5.01,multiplicative,2.01,14.657899293490578
539,0.0101,6.01,multiplicative,9.01,14.672124385875838
436,0.0101,1.01,multiplicative,6.01,14.677377341212496
435,0.0101,1.01,multiplicative,5.01,14.702945644797063
454,0.0101,2.01,multiplicative,4.01,14.705377374517319
495,0.0101,4.01,multiplicative,5.01,14.722108134667089
439,0.0101,1.01,multiplicative,9.01,14.755727385497565
551,0.0101,7.01,multiplicative,1.01,14.75886422592813
431,0.0101,1.01,multiplicative,1.01,14.784311012679696
558,0.0101,7.01,multiplicative,8.01,14.820442226204596
494,0.0101,4.01,multiplicative,4.01,14.83094484336613
450,0.0101,2.01,multiplicative,0.01,14.882264283895822
550,0.0101,7.01,multiplicative,0.01,14.89022592259636
452,0.0101,2.01,multiplicative,2.01,14.94112171748274
430,0.0101,1.01,multiplicative,0.01,16.35776797883231
402,0.0101,0.01,additive,2.01,36.28449190812424
405,0.0101,0.01,additive,5.01,38.033709443240745
406,0.0101,0.01,additive,6.01,38.10775994650431
404,0.0101,0.01,additive,4.01,38.16687427687801
408,0.0101,0.01,additive,8.01,38.69598619752022
400,0.0101,0.01,additive,0.01,38.8995359146688
409,0.0101,0.01,additive,9.01,38.944215908432426
540,0.0101,7.01,additive,0.01,39.33436167849402
401,0.0101,0.01,additive,1.01,39.40313853025887
420,0.0101,1.01,additive,0.01,39.48836782571784
467,0.0101,3.01,additive,7.01,39.58312717839781
562,0.0101,8.01,additive,2.01,39.66008356894038
528,0.0101,6.01,additive,8.01,39.66058716892408
564,0.0101,8.01,additive,4.01,39.66763068590726
489,0.0101,4.01,additive,9.01,39.668335088126675
482,0.0101,4.01,additive,2.01,39.66950904467148
403,0.0101,0.01,additive,3.01,39.68247835600339
547,0.0101,7.01,additive,7.01,39.68432262853502
488,0.0101,4.01,additive,8.01,39.68579751736776
525,0.0101,6.01,additive,5.01,39.69439935514075
425,0.0101,1.01,additive,5.01,39.695679789159136
463,0.0101,3.01,additive,3.01,39.69949295424454
546,0.0101,7.01,additive,6.01,39.7037773705306
505,0.0101,5.01,additive,5.01,39.712255409286925
461,0.0101,3.01,additive,1.01,39.71337571274664
549,0.0101,7.01,additive,9.01,39.71446348642176
441,0.0101,2.01,additive,1.01,39.7168355364344
527,0.0101,6.01,additive,7.01,39.72486154669426
563,0.0101,8.01,additive,3.01,39.72538716346974
541,0.0101,7.01,additive,1.01,39.740263802112125
501,0.0101,5.01,additive,1.01,39.745885349690724
426,0.0101,1.01,additive,6.01,39.749086832132065
442,0.0101,2.01,additive,2.01,39.7562107506215
585,0.0101,9.01,additive,5.01,39.76131937911057
