,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
116,0.0101,2.01,multiplicative,2.01,102.52536458928678
118,0.0101,2.01,multiplicative,6.009999999999999,103.78561903779833
67,0.0051,2.01,multiplicative,4.01,103.95013638779152
107,0.0101,0.01,multiplicative,4.01,109.1558924325488
145,0.0101,8.01,multiplicative,0.01,109.72809975320033
78,0.0051,4.01,multiplicative,6.009999999999999,109.93263196345085
77,0.0051,4.01,multiplicative,4.01,110.01696821658989
106,0.0101,0.01,multiplicative,2.01,111.16630390721696
55,0.0051,0.01,multiplicative,0.01,111.20188585569588
126,0.0101,4.01,multiplicative,2.01,111.71652873976774
117,0.0101,2.01,multiplicative,4.01,111.78376682701361
136,0.0101,6.009999999999999,multiplicative,2.01,111.78443814239118
85,0.0051,6.009999999999999,multiplicative,0.01,112.22280619519968
109,0.0101,0.01,multiplicative,8.01,112.32735742497049
108,0.0101,0.01,multiplicative,6.009999999999999,112.38223955973783
139,0.0101,6.009999999999999,multiplicative,8.01,112.55449895438767
105,0.0101,0.01,multiplicative,0.01,112.66227627774781
98,0.0051,8.01,multiplicative,6.009999999999999,113.49504483064798
119,0.0101,2.01,multiplicative,8.01,113.50250644879839
97,0.0051,8.01,multiplicative,4.01,113.63003785040004
87,0.0051,6.009999999999999,multiplicative,4.01,114.0865972396844
79,0.0051,4.01,multiplicative,8.01,114.46888630216274
96,0.0051,8.01,multiplicative,2.01,114.48799368808275
99,0.0051,8.01,multiplicative,8.01,114.52502903590029
56,0.0051,0.01,multiplicative,2.01,114.53568798270936
89,0.0051,6.009999999999999,multiplicative,8.01,114.6028491853714
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,114.62130160561834
68,0.0051,2.01,multiplicative,6.009999999999999,114.86469274975573
58,0.0051,0.01,multiplicative,6.009999999999999,115.91481030976267
59,0.0051,0.01,multiplicative,8.01,116.68519162842222
57,0.0051,0.01,multiplicative,4.01,116.97285333320954
148,0.0101,8.01,multiplicative,6.009999999999999,118.21644823007608
66,0.0051,2.01,multiplicative,2.01,119.14430960742467
6,0.0001,0.01,multiplicative,2.01,119.87979821248567
149,0.0101,8.01,multiplicative,8.01,120.62992403364039
5,0.0001,0.01,multiplicative,0.01,120.8371296657157
146,0.0101,8.01,multiplicative,2.01,121.86766307800987
147,0.0101,8.01,multiplicative,4.01,121.88342313529846
65,0.0051,2.01,multiplicative,0.01,122.12426244946002
86,0.0051,6.009999999999999,multiplicative,2.01,122.18983595559703
69,0.0051,2.01,multiplicative,8.01,123.01480549080507
7,0.0001,0.01,multiplicative,4.01,123.22672409676854
128,0.0101,4.01,multiplicative,6.009999999999999,124.15370021953387
76,0.0051,4.01,multiplicative,2.01,125.28236702080164
125,0.0101,4.01,multiplicative,0.01,125.98775270252634
129,0.0101,4.01,multiplicative,8.01,127.62313022526787
75,0.0051,4.01,multiplicative,0.01,128.25848743525685
95,0.0051,8.01,multiplicative,0.01,129.2842893030547
137,0.0101,6.009999999999999,multiplicative,4.01,132.55627121503852
9,0.0001,0.01,multiplicative,8.01,133.28006016918502
135,0.0101,6.009999999999999,multiplicative,0.01,135.1414669480141
127,0.0101,4.01,multiplicative,4.01,137.29755898477322
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,139.65172497051512
115,0.0101,2.01,multiplicative,0.01,140.90423077577972
8,0.0001,0.01,multiplicative,6.009999999999999,165.93557438574678
36,0.0001,6.009999999999999,multiplicative,2.01,174.52357241647172
45,0.0001,8.01,multiplicative,0.01,179.61796468959517
104,0.0101,0.01,additive,8.01,181.76219798960793
102,0.0101,0.01,additive,4.01,182.15759377189042
103,0.0101,0.01,additive,6.009999999999999,182.78258159655726
