,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
16,0.0001,2.01,multiplicative,2.01,2.7593638482664566
6,0.0001,0.01,multiplicative,2.01,2.895041790143071
26,0.0001,4.01,multiplicative,2.01,4.80185153755969
25,0.0001,4.01,multiplicative,0.01,5.709165032980767
22,0.0001,4.01,additive,4.01,6.290608072900287
42,0.0001,8.01,additive,4.01,6.291452173877101
32,0.0001,6.009999999999999,additive,4.01,6.296502757938219
12,0.0001,2.01,additive,4.01,6.417126664876402
33,0.0001,6.009999999999999,additive,6.009999999999999,6.973762689789379
43,0.0001,8.01,additive,6.009999999999999,7.042229911028712
14,0.0001,2.01,additive,8.01,7.054983223124446
23,0.0001,4.01,additive,6.009999999999999,7.067517659775775
13,0.0001,2.01,additive,6.009999999999999,7.1521518049650785
44,0.0001,8.01,additive,8.01,7.602966496207852
34,0.0001,6.009999999999999,additive,8.01,7.6552839968401
24,0.0001,4.01,additive,8.01,8.515371473496879
83,0.0051,6.009999999999999,additive,6.009999999999999,8.596927657196986
41,0.0001,8.01,additive,2.01,8.677930609424152
31,0.0001,6.009999999999999,additive,2.01,8.693240467608872
21,0.0001,4.01,additive,2.01,8.711409134558501
11,0.0001,2.01,additive,2.01,8.78349578142513
101,0.0101,0.01,additive,2.01,9.05523493089865
84,0.0051,6.009999999999999,additive,8.01,9.273419376456523
132,0.0101,6.009999999999999,additive,4.01,9.629718566201495
144,0.0101,8.01,additive,8.01,9.73482040705146
143,0.0101,8.01,additive,6.009999999999999,9.93824064049074
134,0.0101,6.009999999999999,additive,8.01,10.061156294491871
123,0.0101,4.01,additive,6.009999999999999,10.14556199456295
102,0.0101,0.01,additive,4.01,10.255292596870115
131,0.0101,6.009999999999999,additive,2.01,10.385079410324549
141,0.0101,8.01,additive,2.01,10.518416888458775
104,0.0101,0.01,additive,8.01,10.553469463652007
133,0.0101,6.009999999999999,additive,6.009999999999999,10.57484485595802
94,0.0051,8.01,additive,8.01,10.68566533990417
103,0.0101,0.01,additive,6.009999999999999,11.09636609385144
72,0.0051,4.01,additive,4.01,11.1142145135534
124,0.0101,4.01,additive,8.01,11.211068649760547
90,0.0051,8.01,additive,0.01,11.344561331447515
112,0.0101,2.01,additive,4.01,11.356163801576141
142,0.0101,8.01,additive,4.01,11.390052252941473
70,0.0051,4.01,additive,0.01,11.41879693249463
4,0.0001,0.01,additive,8.01,11.503202841202333
121,0.0101,4.01,additive,2.01,11.557031290036083
3,0.0001,0.01,additive,6.009999999999999,11.580949754151076
9,0.0001,0.01,multiplicative,8.01,11.59318036013821
80,0.0051,6.009999999999999,additive,0.01,11.83242674758498
36,0.0001,6.009999999999999,multiplicative,2.01,11.873277662015406
2,0.0001,0.01,additive,4.01,11.911099099011308
93,0.0051,8.01,additive,6.009999999999999,11.984845038942527
100,0.0101,0.01,additive,0.01,12.004664115817453
78,0.0051,4.01,multiplicative,6.009999999999999,12.117061877936626
79,0.0051,4.01,multiplicative,8.01,12.119855236667961
76,0.0051,4.01,multiplicative,2.01,12.120495348823185
77,0.0051,4.01,multiplicative,4.01,12.121208758217103
87,0.0051,6.009999999999999,multiplicative,4.01,12.199995746484511
86,0.0051,6.009999999999999,multiplicative,2.01,12.231074929613607
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,12.249178716200335
66,0.0051,2.01,multiplicative,2.01,12.323762430871641
67,0.0051,2.01,multiplicative,4.01,12.345348710237598
69,0.0051,2.01,multiplicative,8.01,12.370348095871988
68,0.0051,2.01,multiplicative,6.009999999999999,12.389394918948893
7,0.0001,0.01,multiplicative,4.01,12.391457172057937
113,0.0101,2.01,additive,6.009999999999999,12.446670408736766
96,0.0051,8.01,multiplicative,2.01,12.654409684775645
98,0.0051,8.01,multiplicative,6.009999999999999,12.712439684589253
71,0.0051,4.01,additive,2.01,12.771503464703699
122,0.0101,4.01,additive,4.01,12.78497479913871
97,0.0051,8.01,multiplicative,4.01,12.794410297295554
82,0.0051,6.009999999999999,additive,4.01,12.831706434979438
81,0.0051,6.009999999999999,additive,2.01,12.851137516337147
91,0.0051,8.01,additive,2.01,12.851622363751533
92,0.0051,8.01,additive,4.01,12.876307781039504
62,0.0051,2.01,additive,4.01,12.881679097305382
63,0.0051,2.01,additive,6.009999999999999,12.89809257493089
73,0.0051,4.01,additive,6.009999999999999,12.934255376981143
74,0.0051,4.01,additive,8.01,12.935304179787236
114,0.0101,2.01,additive,8.01,12.996827886684644
61,0.0051,2.01,additive,2.01,13.132719272976127
64,0.0051,2.01,additive,8.01,13.188057065736333
111,0.0101,2.01,additive,2.01,13.332286116948099
10,0.0001,2.01,additive,0.01,13.576533627081963
20,0.0001,4.01,additive,0.01,13.605639589995153
30,0.0001,6.009999999999999,additive,0.01,13.611128744609545
40,0.0001,8.01,additive,0.01,13.61303146097728
0,0.0001,0.01,additive,0.01,13.62183857028429
110,0.0101,2.01,additive,0.01,13.901029588788264
140,0.0101,8.01,additive,0.01,13.965395441381922
50,0.0051,0.01,additive,0.01,14.149914061451534
130,0.0101,6.009999999999999,additive,0.01,14.508573457310685
99,0.0051,8.01,multiplicative,8.01,14.721247178968186
52,0.0051,0.01,additive,4.01,14.933559024625382
53,0.0051,0.01,additive,6.009999999999999,14.950398495859362
54,0.0051,0.01,additive,8.01,14.953450989779721
120,0.0101,4.01,additive,0.01,14.963999011815996
51,0.0051,0.01,additive,2.01,14.996972106797617
107,0.0101,0.01,multiplicative,4.01,15.443490560734325
108,0.0101,0.01,multiplicative,6.009999999999999,15.44393521651762
109,0.0101,0.01,multiplicative,8.01,15.444388936984714
148,0.0101,8.01,multiplicative,6.009999999999999,15.603160937571138
145,0.0101,8.01,multiplicative,0.01,15.90106291362738
125,0.0101,4.01,multiplicative,0.01,15.983117423992763
1,0.0001,0.01,additive,2.01,16.089567992192787
59,0.0051,0.01,multiplicative,8.01,16.290709527901722
57,0.0051,0.01,multiplicative,4.01,16.290966273285125
58,0.0051,0.01,multiplicative,6.009999999999999,16.293271812397908
56,0.0051,0.01,multiplicative,2.01,16.300335125989733
135,0.0101,6.009999999999999,multiplicative,0.01,16.713058811838067
60,0.0051,2.01,additive,0.01,16.863391857823448
55,0.0051,0.01,multiplicative,0.01,16.917550701584496
126,0.0101,4.01,multiplicative,2.01,17.759535302823824
49,0.0001,8.01,multiplicative,8.01,17.798313141368208
