,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
9,0.0001,0.01,multiplicative,8.01,0.7506352363139736
6,0.0001,0.01,multiplicative,2.01,1.1263290575272955
8,0.0001,0.01,multiplicative,6.009999999999999,1.8364799031557872
7,0.0001,0.01,multiplicative,4.01,3.1924227956750393
66,0.0051,2.01,multiplicative,2.01,3.988805557286466
85,0.0051,6.009999999999999,multiplicative,0.01,3.989958890083225
67,0.0051,2.01,multiplicative,4.01,4.0005587206234985
87,0.0051,6.009999999999999,multiplicative,4.01,4.108573082542891
76,0.0051,4.01,multiplicative,2.01,4.168347237503791
95,0.0051,8.01,multiplicative,0.01,4.179495771042202
89,0.0051,6.009999999999999,multiplicative,8.01,4.19387327467526
75,0.0051,4.01,multiplicative,0.01,4.3399903350099445
86,0.0051,6.009999999999999,multiplicative,2.01,4.355168378051777
97,0.0051,8.01,multiplicative,4.01,4.361524666463512
98,0.0051,8.01,multiplicative,6.009999999999999,4.37610002131658
78,0.0051,4.01,multiplicative,6.009999999999999,4.377758405628291
99,0.0051,8.01,multiplicative,8.01,4.385776231461629
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,4.400487119125737
96,0.0051,8.01,multiplicative,2.01,4.426380383618531
65,0.0051,2.01,multiplicative,0.01,4.720930808102333
79,0.0051,4.01,multiplicative,8.01,4.821850851420972
68,0.0051,2.01,multiplicative,6.009999999999999,4.905080181492432
69,0.0051,2.01,multiplicative,8.01,4.9112267575256245
77,0.0051,4.01,multiplicative,4.01,4.930209779004261
15,0.0001,2.01,multiplicative,0.01,7.284586815120426
25,0.0001,4.01,multiplicative,0.01,7.458475579336444
35,0.0001,6.009999999999999,multiplicative,0.01,7.492955082650984
45,0.0001,8.01,multiplicative,0.01,7.567210004057108
57,0.0051,0.01,multiplicative,4.01,12.517127887579338
56,0.0051,0.01,multiplicative,2.01,12.529403114520315
5,0.0001,0.01,multiplicative,0.01,12.598859120383423
55,0.0051,0.01,multiplicative,0.01,12.668228254972794
59,0.0051,0.01,multiplicative,8.01,12.839911828690628
58,0.0051,0.01,multiplicative,6.009999999999999,12.846533886663066
146,0.0101,8.01,multiplicative,2.01,19.15726029207754
46,0.0001,8.01,multiplicative,2.01,19.398792466111914
16,0.0001,2.01,multiplicative,2.01,19.43871889568442
36,0.0001,6.009999999999999,multiplicative,2.01,19.69956909947345
26,0.0001,4.01,multiplicative,2.01,20.26537018003878
2,0.0001,0.01,additive,4.01,20.60628575050833
3,0.0001,0.01,additive,6.009999999999999,20.7402939470241
47,0.0001,8.01,multiplicative,4.01,20.80172899180439
4,0.0001,0.01,additive,8.01,20.874278923810625
17,0.0001,2.01,multiplicative,4.01,20.911258441534926
27,0.0001,4.01,multiplicative,4.01,20.933578172925444
37,0.0001,6.009999999999999,multiplicative,4.01,20.944670982598517
18,0.0001,2.01,multiplicative,6.009999999999999,20.95422130016943
28,0.0001,4.01,multiplicative,6.009999999999999,20.955554330459698
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,20.95574652012053
48,0.0001,8.01,multiplicative,6.009999999999999,20.967409681476326
19,0.0001,2.01,multiplicative,8.01,21.008083056757734
29,0.0001,4.01,multiplicative,8.01,21.009254440583508
39,0.0001,6.009999999999999,multiplicative,8.01,21.009451373546646
49,0.0001,8.01,multiplicative,8.01,21.009516915935745
145,0.0101,8.01,multiplicative,0.01,21.1595564023187
147,0.0101,8.01,multiplicative,4.01,21.329117564622344
118,0.0101,2.01,multiplicative,6.009999999999999,21.44131380121801
127,0.0101,4.01,multiplicative,4.01,21.513417298109236
129,0.0101,4.01,multiplicative,8.01,21.675902416929198
1,0.0001,0.01,additive,2.01,21.999276241473876
116,0.0101,2.01,multiplicative,2.01,22.08003562597466
115,0.0101,2.01,multiplicative,0.01,22.18805325356104
149,0.0101,8.01,multiplicative,8.01,22.277723004015535
126,0.0101,4.01,multiplicative,2.01,22.31902501153842
137,0.0101,6.009999999999999,multiplicative,4.01,22.510690149914787
136,0.0101,6.009999999999999,multiplicative,2.01,22.5778806122461
125,0.0101,4.01,multiplicative,0.01,22.998513154394168
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,23.145623382544574
135,0.0101,6.009999999999999,multiplicative,0.01,23.475011872776246
148,0.0101,8.01,multiplicative,6.009999999999999,23.56181480772728
119,0.0101,2.01,multiplicative,8.01,23.5902818743162
128,0.0101,4.01,multiplicative,6.009999999999999,23.921472532721154
139,0.0101,6.009999999999999,multiplicative,8.01,23.970312473721467
117,0.0101,2.01,multiplicative,4.01,24.25684891750608
0,0.0001,0.01,additive,0.01,27.98739028831274
107,0.0101,0.01,multiplicative,4.01,28.298052063827498
108,0.0101,0.01,multiplicative,6.009999999999999,28.69157791782558
106,0.0101,0.01,multiplicative,2.01,28.789537434518238
