,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
119,0.0101,2.01,multiplicative,8.01,130.0708632978251
116,0.0101,2.01,multiplicative,2.01,130.48607621919194
117,0.0101,2.01,multiplicative,4.01,130.56353735374321
118,0.0101,2.01,multiplicative,6.009999999999999,130.79028362710744
106,0.0101,0.01,multiplicative,2.01,131.23528162989157
147,0.0101,8.01,multiplicative,4.01,131.80641877732685
149,0.0101,8.01,multiplicative,8.01,131.8303433207427
146,0.0101,8.01,multiplicative,2.01,131.851505752546
108,0.0101,0.01,multiplicative,6.009999999999999,131.9107984708917
126,0.0101,4.01,multiplicative,2.01,131.96019495480618
127,0.0101,4.01,multiplicative,4.01,132.0745052554206
148,0.0101,8.01,multiplicative,6.009999999999999,132.159182734826
139,0.0101,6.009999999999999,multiplicative,8.01,132.25877625361974
107,0.0101,0.01,multiplicative,4.01,132.29818088680736
109,0.0101,0.01,multiplicative,8.01,132.3274312027314
129,0.0101,4.01,multiplicative,8.01,132.34522757137165
136,0.0101,6.009999999999999,multiplicative,2.01,132.60082770741445
105,0.0101,0.01,multiplicative,0.01,132.74253957316648
137,0.0101,6.009999999999999,multiplicative,4.01,132.74797988052066
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,132.7700766942384
145,0.0101,8.01,multiplicative,0.01,132.79975537005862
125,0.0101,4.01,multiplicative,0.01,132.81453605196162
135,0.0101,6.009999999999999,multiplicative,0.01,132.84389405585392
99,0.0051,8.01,multiplicative,8.01,133.3459321800668
115,0.0101,2.01,multiplicative,0.01,133.4638884284195
96,0.0051,8.01,multiplicative,2.01,133.4661773416885
98,0.0051,8.01,multiplicative,6.009999999999999,133.47478905270464
97,0.0051,8.01,multiplicative,4.01,133.4756741699873
128,0.0101,4.01,multiplicative,6.009999999999999,133.6305551993615
68,0.0051,2.01,multiplicative,6.009999999999999,133.85010385788186
67,0.0051,2.01,multiplicative,4.01,133.88203614661967
69,0.0051,2.01,multiplicative,8.01,134.1802843625051
85,0.0051,6.009999999999999,multiplicative,0.01,134.29533341200002
65,0.0051,2.01,multiplicative,0.01,134.5978449684286
75,0.0051,4.01,multiplicative,0.01,134.6863553420229
95,0.0051,8.01,multiplicative,0.01,134.7518896039801
55,0.0051,0.01,multiplicative,0.01,135.3965256326367
66,0.0051,2.01,multiplicative,2.01,135.79143108101496
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,136.05589623038347
87,0.0051,6.009999999999999,multiplicative,4.01,136.0560693785725
86,0.0051,6.009999999999999,multiplicative,2.01,136.05925864732674
89,0.0051,6.009999999999999,multiplicative,8.01,136.0595956803036
78,0.0051,4.01,multiplicative,6.009999999999999,136.11895472740153
79,0.0051,4.01,multiplicative,8.01,136.11896300458972
76,0.0051,4.01,multiplicative,2.01,136.11973479315813
77,0.0051,4.01,multiplicative,4.01,136.1214879076048
56,0.0051,0.01,multiplicative,2.01,138.38141828666613
58,0.0051,0.01,multiplicative,6.009999999999999,138.38263617473083
59,0.0051,0.01,multiplicative,8.01,138.38328989871428
57,0.0051,0.01,multiplicative,4.01,138.38340467777851
100,0.0101,0.01,additive,0.01,193.68013428058885
50,0.0051,0.01,additive,0.01,193.93171716850185
52,0.0051,0.01,additive,4.01,194.31601960814257
53,0.0051,0.01,additive,6.009999999999999,194.3623935415821
54,0.0051,0.01,additive,8.01,194.36595051565897
101,0.0101,0.01,additive,2.01,194.82841243650464
51,0.0051,0.01,additive,2.01,195.6242704705769
102,0.0101,0.01,additive,4.01,196.6264215846312
103,0.0101,0.01,additive,6.009999999999999,198.6496219391254
104,0.0101,0.01,additive,8.01,198.70545484120538
91,0.0051,8.01,additive,2.01,199.79040943865033
84,0.0051,6.009999999999999,additive,8.01,200.26957870215853
81,0.0051,6.009999999999999,additive,2.01,200.4261933079954
61,0.0051,2.01,additive,2.01,200.42755419229294
82,0.0051,6.009999999999999,additive,4.01,200.7566726007696
94,0.0051,8.01,additive,8.01,200.80906111699144
92,0.0051,8.01,additive,4.01,200.89646144332974
62,0.0051,2.01,additive,4.01,202.70366269441234
140,0.0101,8.01,additive,0.01,202.954407822169
130,0.0101,6.009999999999999,additive,0.01,203.05837943167995
64,0.0051,2.01,additive,8.01,203.17560365676073
110,0.0101,2.01,additive,0.01,203.34335761865486
120,0.0101,4.01,additive,0.01,203.40788912892157
63,0.0051,2.01,additive,6.009999999999999,203.52373467739423
80,0.0051,6.009999999999999,additive,0.01,204.988210823793
114,0.0101,2.01,additive,8.01,204.99011801109486
