,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
61,0.0051,2.01,additive,2.01,0.0033066940028433026
17,0.0001,2.01,multiplicative,4.01,0.049330193533880046
72,0.0051,4.01,additive,4.01,0.11806735238840459
51,0.0051,0.01,additive,2.01,0.23025101609025703
94,0.0051,8.01,additive,8.01,0.23972374169685026
62,0.0051,2.01,additive,4.01,0.25276538743012483
52,0.0051,0.01,additive,4.01,0.2624723441836924
91,0.0051,8.01,additive,2.01,0.27360988810594294
74,0.0051,4.01,additive,8.01,0.28734749264775705
54,0.0051,0.01,additive,8.01,0.3838074021756272
71,0.0051,4.01,additive,2.01,0.4196959456204217
49,0.0001,8.01,multiplicative,8.01,0.46466962245519317
63,0.0051,2.01,additive,6.009999999999999,0.5903800655051967
39,0.0001,6.009999999999999,multiplicative,8.01,0.6105939376130264
92,0.0051,8.01,additive,4.01,0.6759362790687538
93,0.0051,8.01,additive,6.009999999999999,0.7792887034215095
29,0.0001,4.01,multiplicative,8.01,1.074446068904205
81,0.0051,6.009999999999999,additive,2.01,1.0879865699920228
83,0.0051,6.009999999999999,additive,6.009999999999999,1.0941140584886615
64,0.0051,2.01,additive,8.01,1.2868042506376152
84,0.0051,6.009999999999999,additive,8.01,1.3077366563559447
82,0.0051,6.009999999999999,additive,4.01,1.3315925571823577
7,0.0001,0.01,multiplicative,4.01,1.6375747615224516
53,0.0051,0.01,additive,6.009999999999999,1.7465775795554392
73,0.0051,4.01,additive,6.009999999999999,2.083055545362235
8,0.0001,0.01,multiplicative,6.009999999999999,4.70557018109542
76,0.0051,4.01,multiplicative,2.01,5.174727615650331
15,0.0001,2.01,multiplicative,0.01,5.366271517978666
141,0.0101,8.01,additive,2.01,5.704334958018409
142,0.0101,8.01,additive,4.01,5.7315030350766945
144,0.0101,8.01,additive,8.01,5.744192609417235
102,0.0101,0.01,additive,4.01,5.785131969385506
114,0.0101,2.01,additive,8.01,5.870618698800847
131,0.0101,6.009999999999999,additive,2.01,5.8961566916242845
121,0.0101,4.01,additive,2.01,6.032530476153361
111,0.0101,2.01,additive,2.01,6.13924652921488
143,0.0101,8.01,additive,6.009999999999999,6.1489076662898325
98,0.0051,8.01,multiplicative,6.009999999999999,6.16193263190723
124,0.0101,4.01,additive,8.01,6.2115274027556255
86,0.0051,6.009999999999999,multiplicative,2.01,6.325447565660852
123,0.0101,4.01,additive,6.009999999999999,6.327330732276881
104,0.0101,0.01,additive,8.01,6.3764255438065645
113,0.0101,2.01,additive,6.009999999999999,6.387711536484424
103,0.0101,0.01,additive,6.009999999999999,6.468105460935118
132,0.0101,6.009999999999999,additive,4.01,6.493212079045165
112,0.0101,2.01,additive,4.01,6.521465978296848
101,0.0101,0.01,additive,2.01,6.593463545255461
134,0.0101,6.009999999999999,additive,8.01,6.610600143339108
122,0.0101,4.01,additive,4.01,6.6899443746461635
133,0.0101,6.009999999999999,additive,6.009999999999999,6.7151587670380675
99,0.0051,8.01,multiplicative,8.01,6.915286394160038
97,0.0051,8.01,multiplicative,4.01,6.929843772013917
65,0.0051,2.01,multiplicative,0.01,7.298064754423975
96,0.0051,8.01,multiplicative,2.01,7.366589587973127
66,0.0051,2.01,multiplicative,2.01,7.646441335082555
59,0.0051,0.01,multiplicative,8.01,7.798094936566882
79,0.0051,4.01,multiplicative,8.01,7.867136689034112
9,0.0001,0.01,multiplicative,8.01,7.9172251382036025
70,0.0051,4.01,additive,0.01,8.662671559562463
78,0.0051,4.01,multiplicative,6.009999999999999,8.86844643185378
137,0.0101,6.009999999999999,multiplicative,4.01,8.917848348946743
128,0.0101,4.01,multiplicative,6.009999999999999,9.045912895563584
118,0.0101,2.01,multiplicative,6.009999999999999,9.105641318858403
60,0.0051,2.01,additive,0.01,9.210428582200313
90,0.0051,8.01,additive,0.01,9.324695401198547
55,0.0051,0.01,multiplicative,0.01,9.32641750403287
140,0.0101,8.01,additive,0.01,9.398927759207162
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,9.45185263987367
146,0.0101,8.01,multiplicative,2.01,9.508316890579755
148,0.0101,8.01,multiplicative,6.009999999999999,9.522454265518812
139,0.0101,6.009999999999999,multiplicative,8.01,9.532508214548772
105,0.0101,0.01,multiplicative,0.01,9.55180047579929
