,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
106,0.0101,0.01,multiplicative,2.01,710.9584247218266
108,0.0101,0.01,multiplicative,6.009999999999999,712.9336688959373
107,0.0101,0.01,multiplicative,4.01,713.4735787351161
109,0.0101,0.01,multiplicative,8.01,725.8805579304377
65,0.0051,2.01,multiplicative,0.01,738.551402900616
95,0.0051,8.01,multiplicative,0.01,738.6775834058594
85,0.0051,6.009999999999999,multiplicative,0.01,738.6908635427636
75,0.0051,4.01,multiplicative,0.01,738.8475022945636
66,0.0051,2.01,multiplicative,2.01,746.1503706205656
68,0.0051,2.01,multiplicative,6.009999999999999,746.1582901776547
69,0.0051,2.01,multiplicative,8.01,746.1582938272358
67,0.0051,2.01,multiplicative,4.01,746.1598968297515
78,0.0051,4.01,multiplicative,6.009999999999999,746.2622091930155
77,0.0051,4.01,multiplicative,4.01,746.2646672237071
98,0.0051,8.01,multiplicative,6.009999999999999,746.2651980824885
79,0.0051,4.01,multiplicative,8.01,746.2652560950967
76,0.0051,4.01,multiplicative,2.01,746.268008384204
99,0.0051,8.01,multiplicative,8.01,746.2704654230783
89,0.0051,6.009999999999999,multiplicative,8.01,746.284167701997
86,0.0051,6.009999999999999,multiplicative,2.01,746.2884314846333
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,746.2890393274804
97,0.0051,8.01,multiplicative,4.01,746.2892257862582
87,0.0051,6.009999999999999,multiplicative,4.01,746.2945645333051
96,0.0051,8.01,multiplicative,2.01,746.2952842094563
55,0.0051,0.01,multiplicative,0.01,750.9161798463808
58,0.0051,0.01,multiplicative,6.009999999999999,760.6301054120016
59,0.0051,0.01,multiplicative,8.01,762.0725451027913
56,0.0051,0.01,multiplicative,2.01,762.6250753186815
57,0.0051,0.01,multiplicative,4.01,762.676953087507
105,0.0101,0.01,multiplicative,0.01,778.5060648469729
145,0.0101,8.01,multiplicative,0.01,781.6300574222146
129,0.0101,4.01,multiplicative,8.01,784.3822998875589
125,0.0101,4.01,multiplicative,0.01,786.7989801971293
127,0.0101,4.01,multiplicative,4.01,786.8264183660984
147,0.0101,8.01,multiplicative,4.01,786.8266979977652
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,786.8288371225754
139,0.0101,6.009999999999999,multiplicative,8.01,786.8332067479586
136,0.0101,6.009999999999999,multiplicative,2.01,786.8333410061116
137,0.0101,6.009999999999999,multiplicative,4.01,786.8354417684972
118,0.0101,2.01,multiplicative,6.009999999999999,786.8512937560247
117,0.0101,2.01,multiplicative,4.01,786.8579920428691
128,0.0101,4.01,multiplicative,6.009999999999999,786.8617506532785
126,0.0101,4.01,multiplicative,2.01,786.8662753723692
119,0.0101,2.01,multiplicative,8.01,786.8723171727408
149,0.0101,8.01,multiplicative,8.01,786.8733298141586
116,0.0101,2.01,multiplicative,2.01,786.8735788709961
146,0.0101,8.01,multiplicative,2.01,786.8830810085311
148,0.0101,8.01,multiplicative,6.009999999999999,786.8958704993629
135,0.0101,6.009999999999999,multiplicative,0.01,788.4545833738522
115,0.0101,2.01,multiplicative,0.01,797.6116454732679
104,0.0101,0.01,additive,8.01,867.3530923642296
103,0.0101,0.01,additive,6.009999999999999,867.5213844680109
101,0.0101,0.01,additive,2.01,870.9614371153476
60,0.0051,2.01,additive,0.01,878.751843047956
90,0.0051,8.01,additive,0.01,879.0629057406871
70,0.0051,4.01,additive,0.01,879.5801222305805
80,0.0051,6.009999999999999,additive,0.01,879.5861423468814
51,0.0051,0.01,additive,2.01,880.8879423063167
53,0.0051,0.01,additive,6.009999999999999,881.7348949342879
141,0.0101,8.01,additive,2.01,887.3029555482465
100,0.0101,0.01,additive,0.01,887.7689833613356
52,0.0051,0.01,additive,4.01,889.0756618481254
102,0.0101,0.01,additive,4.01,892.0952830629407
140,0.0101,8.01,additive,0.01,897.9959925988908
131,0.0101,6.009999999999999,additive,2.01,898.7338639193543
130,0.0101,6.009999999999999,additive,0.01,907.4589138211188
123,0.0101,4.01,additive,6.009999999999999,910.1085276635226
50,0.0051,0.01,additive,0.01,916.0609413951679
54,0.0051,0.01,additive,8.01,922.5707814060181
113,0.0101,2.01,additive,6.009999999999999,922.8060603714719
112,0.0101,2.01,additive,4.01,925.3788106170501
93,0.0051,8.01,additive,6.009999999999999,926.6195349107445
81,0.0051,6.009999999999999,additive,2.01,927.3815815748953
61,0.0051,2.01,additive,2.01,930.841794947143
110,0.0101,2.01,additive,0.01,934.0444264786735
120,0.0101,4.01,additive,0.01,934.3367083222672
92,0.0051,8.01,additive,4.01,935.2714250602212
91,0.0051,8.01,additive,2.01,936.4986109018643
84,0.0051,6.009999999999999,additive,8.01,936.6977523065028
72,0.0051,4.01,additive,4.01,936.7734836926397
71,0.0051,4.01,additive,2.01,938.7475307098091
94,0.0051,8.01,additive,8.01,939.2429287130016
82,0.0051,6.009999999999999,additive,4.01,940.5727587664994
83,0.0051,6.009999999999999,additive,6.009999999999999,941.3881163404209
63,0.0051,2.01,additive,6.009999999999999,941.5988834744901
62,0.0051,2.01,additive,4.01,942.5611806493328
64,0.0051,2.01,additive,8.01,942.6880539506776
111,0.0101,2.01,additive,2.01,951.6807340335099
132,0.0101,6.009999999999999,additive,4.01,957.0252206854342
73,0.0051,4.01,additive,6.009999999999999,957.1650558611165
74,0.0051,4.01,additive,8.01,957.2304658601635
114,0.0101,2.01,additive,8.01,958.8189474968914
143,0.0101,8.01,additive,6.009999999999999,960.7697662103144
142,0.0101,8.01,additive,4.01,964.5841128669325
121,0.0101,4.01,additive,2.01,965.7471047887296
122,0.0101,4.01,additive,4.01,966.8373810075323
133,0.0101,6.009999999999999,additive,6.009999999999999,967.1785004059352
124,0.0101,4.01,additive,8.01,967.4772456114148
144,0.0101,8.01,additive,8.01,972.4383323723557
134,0.0101,6.009999999999999,additive,8.01,974.1639867668874
5,0.0001,0.01,multiplicative,0.01,7468.083352289982
8,0.0001,0.01,multiplicative,6.009999999999999,7468.084860443438
9,0.0001,0.01,multiplicative,8.01,7468.084860449092
7,0.0001,0.01,multiplicative,4.01,7468.084860454751
6,0.0001,0.01,multiplicative,2.01,7468.084860454755
17,0.0001,2.01,multiplicative,4.01,7470.063407126223
16,0.0001,2.01,multiplicative,2.01,7470.067326710581
28,0.0001,4.01,multiplicative,6.009999999999999,7470.071562423378
48,0.0001,8.01,multiplicative,6.009999999999999,7470.071822489406
47,0.0001,8.01,multiplicative,4.01,7470.071973723498
29,0.0001,4.01,multiplicative,8.01,7470.0720152829435
27,0.0001,4.01,multiplicative,4.01,7470.072123523228
49,0.0001,8.01,multiplicative,8.01,7470.072197736452
26,0.0001,4.01,multiplicative,2.01,7470.07233737553
46,0.0001,8.01,multiplicative,2.01,7470.072611985534
19,0.0001,2.01,multiplicative,8.01,7470.0754270829975
18,0.0001,2.01,multiplicative,6.009999999999999,7470.075738789038
39,0.0001,6.009999999999999,multiplicative,8.01,7470.084257321438
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,7470.084833956748
37,0.0001,6.009999999999999,multiplicative,4.01,7470.085749053086
36,0.0001,6.009999999999999,multiplicative,2.01,7470.087423865715
15,0.0001,2.01,multiplicative,0.01,7470.4060174447195
25,0.0001,4.01,multiplicative,0.01,7470.458924229592
35,0.0001,6.009999999999999,multiplicative,0.01,7470.460681291608
45,0.0001,8.01,multiplicative,0.01,7470.4607805378455
3,0.0001,0.01,additive,6.009999999999999,7481.918780368713
4,0.0001,0.01,additive,8.01,7481.946862367055
1,0.0001,0.01,additive,2.01,7481.986230033322
2,0.0001,0.01,additive,4.01,7482.007502783924
0,0.0001,0.01,additive,0.01,7482.441539325507
12,0.0001,2.01,additive,4.01,7489.492594264528
31,0.0001,6.009999999999999,additive,2.01,7489.492999289708
34,0.0001,6.009999999999999,additive,8.01,7489.494048603402
33,0.0001,6.009999999999999,additive,6.009999999999999,7489.4940509709
32,0.0001,6.009999999999999,additive,4.01,7489.494058452266
11,0.0001,2.01,additive,2.01,7489.494088314877
22,0.0001,4.01,additive,4.01,7489.4942350714855
21,0.0001,4.01,additive,2.01,7489.497438851944
13,0.0001,2.01,additive,6.009999999999999,7489.497590160835
24,0.0001,4.01,additive,8.01,7489.497591026038
43,0.0001,8.01,additive,6.009999999999999,7489.497926800608
14,0.0001,2.01,additive,8.01,7489.49793633333
41,0.0001,8.01,additive,2.01,7489.498139739048
42,0.0001,8.01,additive,4.01,7489.4987306755065
23,0.0001,4.01,additive,6.009999999999999,7489.499543001337
44,0.0001,8.01,additive,8.01,7489.5042636136395
20,0.0001,4.01,additive,0.01,7489.517303008542
30,0.0001,6.009999999999999,additive,0.01,7489.532150002967
10,0.0001,2.01,additive,0.01,7489.537229655368
40,0.0001,8.01,additive,0.01,7489.54517069693
