,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
108,0.0101,0.01,multiplicative,6.009999999999999,13792113702883.05
105,0.0101,0.01,multiplicative,0.01,14332312956618.164
109,0.0101,0.01,multiplicative,8.01,14627109278902.941
107,0.0101,0.01,multiplicative,4.01,15299853491065.283
106,0.0101,0.01,multiplicative,2.01,15776792889815.777
95,0.0051,8.01,multiplicative,0.01,20422652105061.336
85,0.0051,6.009999999999999,multiplicative,0.01,22762954001283.605
77,0.0051,4.01,multiplicative,4.01,23141364713789.473
55,0.0051,0.01,multiplicative,0.01,26495332980348.32
66,0.0051,2.01,multiplicative,2.01,33880168234513.008
67,0.0051,2.01,multiplicative,4.01,34790244213611.727
79,0.0051,4.01,multiplicative,8.01,34876192379966.797
78,0.0051,4.01,multiplicative,6.009999999999999,35646890347659.23
136,0.0101,6.009999999999999,multiplicative,2.01,36311803460974.19
117,0.0101,2.01,multiplicative,4.01,36395052973130.93
118,0.0101,2.01,multiplicative,6.009999999999999,36395132905761.64
119,0.0101,2.01,multiplicative,8.01,36395160869048.48
116,0.0101,2.01,multiplicative,2.01,36458981825809.6
139,0.0101,6.009999999999999,multiplicative,8.01,36492992365428.89
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,36492992961310.92
137,0.0101,6.009999999999999,multiplicative,4.01,36493060028415.04
147,0.0101,8.01,multiplicative,4.01,36493187934186.88
148,0.0101,8.01,multiplicative,6.009999999999999,36493202230011.98
149,0.0101,8.01,multiplicative,8.01,36493619580869.36
146,0.0101,8.01,multiplicative,2.01,36493673373563.32
129,0.0101,4.01,multiplicative,8.01,36499279046769.41
128,0.0101,4.01,multiplicative,6.009999999999999,36499279551470.07
127,0.0101,4.01,multiplicative,4.01,36499281237532.99
126,0.0101,4.01,multiplicative,2.01,36499288676692.7
115,0.0101,2.01,multiplicative,0.01,36593599684302.836
125,0.0101,4.01,multiplicative,0.01,36631304392080.73
135,0.0101,6.009999999999999,multiplicative,0.01,36649281184248.62
145,0.0101,8.01,multiplicative,0.01,36667191363968.54
98,0.0051,8.01,multiplicative,6.009999999999999,46931950257319.88
99,0.0051,8.01,multiplicative,8.01,47501044869593.17
97,0.0051,8.01,multiplicative,4.01,47529748627356.44
68,0.0051,2.01,multiplicative,6.009999999999999,48655363341497.24
69,0.0051,2.01,multiplicative,8.01,49506169346797.03
96,0.0051,8.01,multiplicative,2.01,51262981812249.61
65,0.0051,2.01,multiplicative,0.01,54171000889285.87
76,0.0051,4.01,multiplicative,2.01,55124110249492.27
75,0.0051,4.01,multiplicative,0.01,66761449405178.61
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,66784053603655.766
89,0.0051,6.009999999999999,multiplicative,8.01,84084933490987.98
58,0.0051,0.01,multiplicative,6.009999999999999,84643732911272.5
87,0.0051,6.009999999999999,multiplicative,4.01,87159081691265.6
59,0.0051,0.01,multiplicative,8.01,88223052071174.94
56,0.0051,0.01,multiplicative,2.01,88811360879316.94
57,0.0051,0.01,multiplicative,4.01,92863755124453.03
86,0.0051,6.009999999999999,multiplicative,2.01,104095208886026.95
54,0.0051,0.01,additive,8.01,430895474548138.06
50,0.0051,0.01,additive,0.01,434618476108363.06
52,0.0051,0.01,additive,4.01,439520931936769.06
51,0.0051,0.01,additive,2.01,447822819406713.75
53,0.0051,0.01,additive,6.009999999999999,461842949651122.2
100,0.0101,0.01,additive,0.01,471022857210898.3
101,0.0101,0.01,additive,2.01,475690877324314.94
103,0.0101,0.01,additive,6.009999999999999,475727451822890.44
102,0.0101,0.01,additive,4.01,475735697742558.7
104,0.0101,0.01,additive,8.01,475785883729677.25
63,0.0051,2.01,additive,6.009999999999999,538930742248935.75
73,0.0051,4.01,additive,6.009999999999999,539598389482661.25
72,0.0051,4.01,additive,4.01,539754902664183.7
81,0.0051,6.009999999999999,additive,2.01,540386628969053.44
92,0.0051,8.01,additive,4.01,540688224122390.94
91,0.0051,8.01,additive,2.01,541398867766697.9
62,0.0051,2.01,additive,4.01,549087479358396.9
74,0.0051,4.01,additive,8.01,552230548459294.5
71,0.0051,4.01,additive,2.01,556779335712393.2
61,0.0051,2.01,additive,2.01,560724079203863.5
80,0.0051,6.009999999999999,additive,0.01,561428388431555.56
70,0.0051,4.01,additive,0.01,563534265489837.8
90,0.0051,8.01,additive,0.01,564698498161255.6
140,0.0101,8.01,additive,0.01,581988928375996.2
120,0.0101,4.01,additive,0.01,582026849033331.4
130,0.0101,6.009999999999999,additive,0.01,582036832326554.6
60,0.0051,2.01,additive,0.01,582235998154551.4
110,0.0101,2.01,additive,0.01,582602864411050.8
93,0.0051,8.01,additive,6.009999999999999,588077476918965.0
114,0.0101,2.01,additive,8.01,589935283816504.9
111,0.0101,2.01,additive,2.01,590013835052035.4
124,0.0101,4.01,additive,8.01,592344603221391.5
113,0.0101,2.01,additive,6.009999999999999,592843802902195.5
112,0.0101,2.01,additive,4.01,592902961641516.8
82,0.0051,6.009999999999999,additive,4.01,593994318066454.2
123,0.0101,4.01,additive,6.009999999999999,594018177636322.5
141,0.0101,8.01,additive,2.01,594794108395983.2
133,0.0101,6.009999999999999,additive,6.009999999999999,594911254194608.8
121,0.0101,4.01,additive,2.01,595019308763978.8
134,0.0101,6.009999999999999,additive,8.01,595221793078971.6
132,0.0101,6.009999999999999,additive,4.01,595713726627854.5
131,0.0101,6.009999999999999,additive,2.01,596754321729139.0
64,0.0051,2.01,additive,8.01,599520328382109.6
122,0.0101,4.01,additive,4.01,601418520952999.8
94,0.0051,8.01,additive,8.01,605148084246631.8
143,0.0101,8.01,additive,6.009999999999999,605850435991563.8
142,0.0101,8.01,additive,4.01,605855695250694.5
144,0.0101,8.01,additive,8.01,606342457070747.0
83,0.0051,6.009999999999999,additive,6.009999999999999,622454922579666.2
84,0.0051,6.009999999999999,additive,8.01,627060976536872.9
40,0.0001,8.01,additive,0.01,1766439674555452.0
20,0.0001,4.01,additive,0.01,1766851891532733.2
30,0.0001,6.009999999999999,additive,0.01,1767279499512960.5
10,0.0001,2.01,additive,0.01,1767591525900325.0
4,0.0001,0.01,additive,8.01,1775642654157466.0
14,0.0001,2.01,additive,8.01,1777203183143187.5
13,0.0001,2.01,additive,6.009999999999999,1777203185916784.5
12,0.0001,2.01,additive,4.01,1777203427940871.5
11,0.0001,2.01,additive,2.01,1777204195312598.0
22,0.0001,4.01,additive,4.01,1777223384291791.5
21,0.0001,4.01,additive,2.01,1777227892238188.0
34,0.0001,6.009999999999999,additive,8.01,1777244289493384.5
33,0.0001,6.009999999999999,additive,6.009999999999999,1777251452163776.5
32,0.0001,6.009999999999999,additive,4.01,1777253714520264.8
44,0.0001,8.01,additive,8.01,1777255486479168.2
43,0.0001,8.01,additive,6.009999999999999,1777255486865089.8
42,0.0001,8.01,additive,4.01,1777255487976555.5
41,0.0001,8.01,additive,2.01,1777255819837248.5
23,0.0001,4.01,additive,6.009999999999999,1777258745209525.5
24,0.0001,4.01,additive,8.01,1777258746258350.8
31,0.0001,6.009999999999999,additive,2.01,1777267208496859.0
9,0.0001,0.01,multiplicative,8.01,1781389126806995.0
8,0.0001,0.01,multiplicative,6.009999999999999,1781389126809230.5
7,0.0001,0.01,multiplicative,4.01,1781389126811473.8
6,0.0001,0.01,multiplicative,2.01,1781389126834319.2
5,0.0001,0.01,multiplicative,0.01,1781393917872304.0
2,0.0001,0.01,additive,4.01,1781583811345476.2
1,0.0001,0.01,additive,2.01,1782396123345524.5
3,0.0001,0.01,additive,6.009999999999999,1782624137040287.0
15,0.0001,2.01,multiplicative,0.01,1782906211145161.8
16,0.0001,2.01,multiplicative,2.01,1782909763989339.5
19,0.0001,2.01,multiplicative,8.01,1782912703351568.0
