,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
120,0.0101,4.01,additive,0.01,871.2889735984572
123,0.0101,4.01,additive,6.009999999999999,901.0057861403512
111,0.0101,2.01,additive,2.01,903.4239466060446
110,0.0101,2.01,additive,0.01,904.7897219060447
124,0.0101,4.01,additive,8.01,905.1525012686744
102,0.0101,0.01,additive,4.01,909.5371843480679
130,0.0101,6.009999999999999,additive,0.01,911.4731428962458
114,0.0101,2.01,additive,8.01,911.7197568822492
143,0.0101,8.01,additive,6.009999999999999,913.6427846576787
113,0.0101,2.01,additive,6.009999999999999,918.1780235140628
112,0.0101,2.01,additive,4.01,923.8995976943547
141,0.0101,8.01,additive,2.01,930.787198408301
132,0.0101,6.009999999999999,additive,4.01,933.8754690462958
121,0.0101,4.01,additive,2.01,934.8464053635437
134,0.0101,6.009999999999999,additive,8.01,935.501070241296
142,0.0101,8.01,additive,4.01,942.6718897441326
133,0.0101,6.009999999999999,additive,6.009999999999999,947.7788853450352
122,0.0101,4.01,additive,4.01,952.1167696974697
131,0.0101,6.009999999999999,additive,2.01,974.4178862966236
146,0.0101,8.01,multiplicative,2.01,1002.1669089592043
149,0.0101,8.01,multiplicative,8.01,1009.8597947169619
139,0.0101,6.009999999999999,multiplicative,8.01,1023.6769896835433
144,0.0101,8.01,additive,8.01,1044.3247631446377
140,0.0101,8.01,additive,0.01,1052.44811915137
100,0.0101,0.01,additive,0.01,1060.9409656430284
104,0.0101,0.01,additive,8.01,1069.9508050734669
103,0.0101,0.01,additive,6.009999999999999,1070.581911677631
148,0.0101,8.01,multiplicative,6.009999999999999,1076.1026400191336
101,0.0101,0.01,additive,2.01,1084.0305809363529
109,0.0101,0.01,multiplicative,8.01,1096.3454823720188
108,0.0101,0.01,multiplicative,6.009999999999999,1108.4623785566628
107,0.0101,0.01,multiplicative,4.01,1113.8329925112205
106,0.0101,0.01,multiplicative,2.01,1119.0849080404091
105,0.0101,0.01,multiplicative,0.01,1126.774375136941
117,0.0101,2.01,multiplicative,4.01,1361.0123237318228
129,0.0101,4.01,multiplicative,8.01,1369.2489528061296
119,0.0101,2.01,multiplicative,8.01,1372.8416546103686
115,0.0101,2.01,multiplicative,0.01,1374.7105260723104
147,0.0101,8.01,multiplicative,4.01,1400.8083635385674
125,0.0101,4.01,multiplicative,0.01,1404.9390483361117
136,0.0101,6.009999999999999,multiplicative,2.01,1410.9120055366718
137,0.0101,6.009999999999999,multiplicative,4.01,1420.2455996507224
135,0.0101,6.009999999999999,multiplicative,0.01,1422.9697695213438
145,0.0101,8.01,multiplicative,0.01,1429.5329933526493
90,0.0051,8.01,additive,0.01,1430.1969559572542
83,0.0051,6.009999999999999,additive,6.009999999999999,1430.8182643141722
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,1438.7866764419948
118,0.0101,2.01,multiplicative,6.009999999999999,1444.6719973763345
81,0.0051,6.009999999999999,additive,2.01,1445.7480265004222
127,0.0101,4.01,multiplicative,4.01,1455.5113099474881
116,0.0101,2.01,multiplicative,2.01,1457.694903329784
40,0.0001,8.01,additive,0.01,1463.3120153185018
30,0.0001,6.009999999999999,additive,0.01,1463.3122532075465
20,0.0001,4.01,additive,0.01,1463.3129255544686
10,0.0001,2.01,additive,0.01,1463.3165871163735
126,0.0101,4.01,multiplicative,2.01,1468.8453127323494
60,0.0051,2.01,additive,0.01,1470.1905465379489
61,0.0051,2.01,additive,2.01,1470.2543829745057
80,0.0051,6.009999999999999,additive,0.01,1473.0913128252398
70,0.0051,4.01,additive,0.01,1474.0282566093376
5,0.0001,0.01,multiplicative,0.01,1474.1850458228955
84,0.0051,6.009999999999999,additive,8.01,1475.98189460787
73,0.0051,4.01,additive,6.009999999999999,1476.0158817793724
72,0.0051,4.01,additive,4.01,1476.0205988518794
71,0.0051,4.01,additive,2.01,1476.1576061737637
93,0.0051,8.01,additive,6.009999999999999,1476.282079681047
94,0.0051,8.01,additive,8.01,1476.4313395911233
91,0.0051,8.01,additive,2.01,1476.4911293965467
128,0.0101,4.01,multiplicative,6.009999999999999,1476.5133842342232
82,0.0051,6.009999999999999,additive,4.01,1476.5456832170364
92,0.0051,8.01,additive,4.01,1476.7683884338953
45,0.0001,8.01,multiplicative,0.01,1476.8624309093802
35,0.0001,6.009999999999999,multiplicative,0.01,1476.8682499074355
25,0.0001,4.01,multiplicative,0.01,1476.884843180241
15,0.0001,2.01,multiplicative,0.01,1476.9738347895031
74,0.0051,4.01,additive,8.01,1485.6067473004277
62,0.0051,2.01,additive,4.01,1487.246485986776
63,0.0051,2.01,additive,6.009999999999999,1489.3715897260363
64,0.0051,2.01,additive,8.01,1489.4753745715234
6,0.0001,0.01,multiplicative,2.01,1502.239043630957
