,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
5,0.0001,0.01,multiplicative,0.01,13640198854623.445
6,0.0001,0.01,multiplicative,2.01,13777221513096.363
7,0.0001,0.01,multiplicative,4.01,27637820887236.754
39,0.0001,6.009999999999999,multiplicative,8.01,32111003116089.234
8,0.0001,0.01,multiplicative,6.009999999999999,46608660936264.55
9,0.0001,0.01,multiplicative,8.01,75621924371492.44
48,0.0001,8.01,multiplicative,6.009999999999999,114005456004448.05
127,0.0101,4.01,multiplicative,4.01,128591895864400.83
128,0.0101,4.01,multiplicative,6.009999999999999,128594136734695.75
129,0.0101,4.01,multiplicative,8.01,128596396822927.48
126,0.0101,4.01,multiplicative,2.01,128601711030129.69
118,0.0101,2.01,multiplicative,6.009999999999999,131179970223584.06
117,0.0101,2.01,multiplicative,4.01,131180169498349.78
119,0.0101,2.01,multiplicative,8.01,131180975975740.94
116,0.0101,2.01,multiplicative,2.01,131182623197947.97
147,0.0101,8.01,multiplicative,4.01,131269102508740.67
149,0.0101,8.01,multiplicative,8.01,131269155122240.89
148,0.0101,8.01,multiplicative,6.009999999999999,131309875764352.3
139,0.0101,6.009999999999999,multiplicative,8.01,131472365852963.94
137,0.0101,6.009999999999999,multiplicative,4.01,131496721033622.48
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,131506457259354.12
135,0.0101,6.009999999999999,multiplicative,0.01,137975995892427.16
145,0.0101,8.01,multiplicative,0.01,142367616817795.7
108,0.0101,0.01,multiplicative,6.009999999999999,151693825671696.78
115,0.0101,2.01,multiplicative,0.01,154894515395085.6
109,0.0101,0.01,multiplicative,8.01,157011832294009.88
105,0.0101,0.01,multiplicative,0.01,159927563210838.78
106,0.0101,0.01,multiplicative,2.01,165620303778936.2
107,0.0101,0.01,multiplicative,4.01,173318490376609.84
146,0.0101,8.01,multiplicative,2.01,184051971132705.97
136,0.0101,6.009999999999999,multiplicative,2.01,186220169833057.06
125,0.0101,4.01,multiplicative,0.01,193480137614842.6
47,0.0001,8.01,multiplicative,4.01,202229544403231.03
15,0.0001,2.01,multiplicative,0.01,209777917609479.38
49,0.0001,8.01,multiplicative,8.01,220979386670186.62
16,0.0001,2.01,multiplicative,2.01,221939400543238.44
17,0.0001,2.01,multiplicative,4.01,239085144628426.75
18,0.0001,2.01,multiplicative,6.009999999999999,258356292786933.5
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,273511004071582.1
46,0.0001,8.01,multiplicative,2.01,274629071495363.38
25,0.0001,4.01,multiplicative,0.01,281872697780761.75
101,0.0101,0.01,additive,2.01,282041735773301.94
102,0.0101,0.01,additive,4.01,282738268186387.6
19,0.0001,2.01,multiplicative,8.01,283119730411504.4
103,0.0101,0.01,additive,6.009999999999999,283568269851226.7
52,0.0051,0.01,additive,4.01,285932162518153.44
53,0.0051,0.01,additive,6.009999999999999,285946638756166.9
51,0.0051,0.01,additive,2.01,285961843169984.5
54,0.0051,0.01,additive,8.01,285983448671198.8
50,0.0051,0.01,additive,0.01,290799879329734.5
100,0.0101,0.01,additive,0.01,294437450859288.4
104,0.0101,0.01,additive,8.01,294464284283262.94
45,0.0001,8.01,multiplicative,0.01,297771276351473.2
35,0.0001,6.009999999999999,multiplicative,0.01,299785198935143.2
37,0.0001,6.009999999999999,multiplicative,4.01,309769861190480.5
26,0.0001,4.01,multiplicative,2.01,311308788184579.25
36,0.0001,6.009999999999999,multiplicative,2.01,315275827572083.8
84,0.0051,6.009999999999999,additive,8.01,318903132855855.25
64,0.0051,2.01,additive,8.01,319636879455409.7
