,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
56,0.0051,0.01,multiplicative,2.01,108.26024715206317
59,0.0051,0.01,multiplicative,8.01,108.26029904761359
58,0.0051,0.01,multiplicative,6.009999999999999,108.26046836961459
57,0.0051,0.01,multiplicative,4.01,108.26054976082871
55,0.0051,0.01,multiplicative,0.01,108.26164918844192
66,0.0051,2.01,multiplicative,2.01,108.27959595977998
96,0.0051,8.01,multiplicative,2.01,108.27970794383643
76,0.0051,4.01,multiplicative,2.01,108.27972803429742
99,0.0051,8.01,multiplicative,8.01,108.27973203739435
98,0.0051,8.01,multiplicative,6.009999999999999,108.2797321402175
97,0.0051,8.01,multiplicative,4.01,108.27973253030787
87,0.0051,6.009999999999999,multiplicative,4.01,108.2797334592897
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,108.27973397014763
89,0.0051,6.009999999999999,multiplicative,8.01,108.27973414748719
77,0.0051,4.01,multiplicative,4.01,108.27976101494787
86,0.0051,6.009999999999999,multiplicative,2.01,108.27979638378886
68,0.0051,2.01,multiplicative,6.009999999999999,108.28026034438736
69,0.0051,2.01,multiplicative,8.01,108.2802805329315
79,0.0051,4.01,multiplicative,8.01,108.280717594768
78,0.0051,4.01,multiplicative,6.009999999999999,108.28084242953813
67,0.0051,2.01,multiplicative,4.01,108.28326686167658
65,0.0051,2.01,multiplicative,0.01,108.2917358033676
85,0.0051,6.009999999999999,multiplicative,0.01,108.2917387990253
75,0.0051,4.01,multiplicative,0.01,108.29174107797017
95,0.0051,8.01,multiplicative,0.01,108.29177747571839
54,0.0051,0.01,additive,8.01,108.79535395513365
53,0.0051,0.01,additive,6.009999999999999,108.79547032570449
52,0.0051,0.01,additive,4.01,108.79550262608224
51,0.0051,0.01,additive,2.01,108.795762296394
50,0.0051,0.01,additive,0.01,109.27651953929573
61,0.0051,2.01,additive,2.01,112.57268826262225
84,0.0051,6.009999999999999,additive,8.01,112.57270709753173
71,0.0051,4.01,additive,2.01,112.57270951679415
63,0.0051,2.01,additive,6.009999999999999,112.57281363713064
83,0.0051,6.009999999999999,additive,6.009999999999999,112.57281483329515
74,0.0051,4.01,additive,8.01,112.57286467781245
72,0.0051,4.01,additive,4.01,112.57289983265997
62,0.0051,2.01,additive,4.01,112.57292017609252
73,0.0051,4.01,additive,6.009999999999999,112.57299939465784
64,0.0051,2.01,additive,8.01,112.57306939321938
94,0.0051,8.01,additive,8.01,112.57310750797612
93,0.0051,8.01,additive,6.009999999999999,112.57311361694053
92,0.0051,8.01,additive,4.01,112.57316091644165
81,0.0051,6.009999999999999,additive,2.01,112.5731816765691
82,0.0051,6.009999999999999,additive,4.01,112.57343615143287
91,0.0051,8.01,additive,2.01,112.57354747078026
70,0.0051,4.01,additive,0.01,112.66863852094528
80,0.0051,6.009999999999999,additive,0.01,112.67248832973182
60,0.0051,2.01,additive,0.01,112.67291116536917
90,0.0051,8.01,additive,0.01,112.71325329782019
4,0.0001,0.01,additive,8.01,112.90756289704333
3,0.0001,0.01,additive,6.009999999999999,112.94243057920632
2,0.0001,0.01,additive,4.01,113.01583632363048
1,0.0001,0.01,additive,2.01,113.11247676286334
29,0.0001,4.01,multiplicative,8.01,113.26425632032529
145,0.0101,8.01,multiplicative,0.01,114.56785660593647
