,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
89,0.0051,6.009999999999999,multiplicative,8.01,111.7966247112615
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,112.48093107485127
85,0.0051,6.009999999999999,multiplicative,0.01,113.94670813959269
128,0.0101,4.01,multiplicative,6.009999999999999,114.57111929092095
86,0.0051,6.009999999999999,multiplicative,2.01,114.7936730488978
127,0.0101,4.01,multiplicative,4.01,115.40468964323485
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,115.86223452082727
55,0.0051,0.01,multiplicative,0.01,116.34599555829259
129,0.0101,4.01,multiplicative,8.01,116.449909195114
139,0.0101,6.009999999999999,multiplicative,8.01,116.53597887339167
148,0.0101,8.01,multiplicative,6.009999999999999,116.82858344692646
105,0.0101,0.01,multiplicative,0.01,117.08143712657883
137,0.0101,6.009999999999999,multiplicative,4.01,117.38992288685641
115,0.0101,2.01,multiplicative,0.01,117.42502073971895
69,0.0051,2.01,multiplicative,8.01,117.46588615993498
65,0.0051,2.01,multiplicative,0.01,117.73358823732254
106,0.0101,0.01,multiplicative,2.01,117.85394672622446
109,0.0101,0.01,multiplicative,8.01,118.02273765450644
126,0.0101,4.01,multiplicative,2.01,118.50196110920498
87,0.0051,6.009999999999999,multiplicative,4.01,118.640128660691
107,0.0101,0.01,multiplicative,4.01,118.66624576734523
67,0.0051,2.01,multiplicative,4.01,118.71679615905528
145,0.0101,8.01,multiplicative,0.01,118.90831414558161
135,0.0101,6.009999999999999,multiplicative,0.01,118.96557051845463
79,0.0051,4.01,multiplicative,8.01,120.31937543432333
108,0.0101,0.01,multiplicative,6.009999999999999,120.32383129322812
59,0.0051,0.01,multiplicative,8.01,120.630010331256
75,0.0051,4.01,multiplicative,0.01,121.39775985807279
57,0.0051,0.01,multiplicative,4.01,122.43070161113651
58,0.0051,0.01,multiplicative,6.009999999999999,122.4418855947232
125,0.0101,4.01,multiplicative,0.01,122.55173486662999
119,0.0101,2.01,multiplicative,8.01,122.89392406830515
147,0.0101,8.01,multiplicative,4.01,122.9360326918899
149,0.0101,8.01,multiplicative,8.01,123.02525598168361
99,0.0051,8.01,multiplicative,8.01,123.16837602814437
116,0.0101,2.01,multiplicative,2.01,123.23412050723068
136,0.0101,6.009999999999999,multiplicative,2.01,123.25470490686021
56,0.0051,0.01,multiplicative,2.01,123.46102720781124
146,0.0101,8.01,multiplicative,2.01,123.88995860901628
66,0.0051,2.01,multiplicative,2.01,124.67775629379287
118,0.0101,2.01,multiplicative,6.009999999999999,124.73386161977851
98,0.0051,8.01,multiplicative,6.009999999999999,125.97049171639793
68,0.0051,2.01,multiplicative,6.009999999999999,126.36124926983061
