,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
6,0.0001,0.01,multiplicative,2.01,104.93799172454274
5,0.0001,0.01,multiplicative,0.01,105.36470799618658
1,0.0001,0.01,additive,2.01,105.44171952967247
9,0.0001,0.01,multiplicative,8.01,105.48026443836697
8,0.0001,0.01,multiplicative,6.009999999999999,105.95792902112153
18,0.0001,2.01,multiplicative,6.009999999999999,107.45169027386842
7,0.0001,0.01,multiplicative,4.01,107.51418535982754
28,0.0001,4.01,multiplicative,6.009999999999999,107.95365277269427
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,108.06736413733348
48,0.0001,8.01,multiplicative,6.009999999999999,108.1072836070548
108,0.0101,0.01,multiplicative,6.009999999999999,108.90556190705239
107,0.0101,0.01,multiplicative,4.01,108.9088333758036
109,0.0101,0.01,multiplicative,8.01,108.91816792508526
106,0.0101,0.01,multiplicative,2.01,108.98602901515054
4,0.0001,0.01,additive,8.01,109.41090587319371
49,0.0001,8.01,multiplicative,8.01,110.56607639129128
19,0.0001,2.01,multiplicative,8.01,110.59233267179165
16,0.0001,2.01,multiplicative,2.01,110.65347607901982
45,0.0001,8.01,multiplicative,0.01,111.23871248414918
35,0.0001,6.009999999999999,multiplicative,0.01,111.2557926917646
39,0.0001,6.009999999999999,multiplicative,8.01,111.26164559663721
25,0.0001,4.01,multiplicative,0.01,111.28328191267434
15,0.0001,2.01,multiplicative,0.01,111.28839536601913
0,0.0001,0.01,additive,0.01,112.367485182773
29,0.0001,4.01,multiplicative,8.01,112.48453298671295
3,0.0001,0.01,additive,6.009999999999999,112.58676428855985
116,0.0101,2.01,multiplicative,2.01,112.64455175911165
117,0.0101,2.01,multiplicative,4.01,112.67322743615887
126,0.0101,4.01,multiplicative,2.01,112.69007387734291
118,0.0101,2.01,multiplicative,6.009999999999999,112.69054624107456
119,0.0101,2.01,multiplicative,8.01,112.69148359399337
137,0.0101,6.009999999999999,multiplicative,4.01,112.70703726663076
139,0.0101,6.009999999999999,multiplicative,8.01,112.70958043950921
129,0.0101,4.01,multiplicative,8.01,112.70978115040577
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,112.71267749750227
147,0.0101,8.01,multiplicative,4.01,112.71457459425957
127,0.0101,4.01,multiplicative,4.01,112.71641059802317
128,0.0101,4.01,multiplicative,6.009999999999999,112.71782549218588
146,0.0101,8.01,multiplicative,2.01,112.72100000561397
149,0.0101,8.01,multiplicative,8.01,112.72730922201927
136,0.0101,6.009999999999999,multiplicative,2.01,112.72875932161088
148,0.0101,8.01,multiplicative,6.009999999999999,112.73229616026643
105,0.0101,0.01,multiplicative,0.01,113.74016981226123
102,0.0101,0.01,additive,4.01,113.97535357580972
103,0.0101,0.01,additive,6.009999999999999,114.17377916550609
104,0.0101,0.01,additive,8.01,114.29566105839956
101,0.0101,0.01,additive,2.01,114.35400282135917
46,0.0001,8.01,multiplicative,2.01,114.89408692723038
135,0.0101,6.009999999999999,multiplicative,0.01,115.97914928636051
145,0.0101,8.01,multiplicative,0.01,116.48549066158564
125,0.0101,4.01,multiplicative,0.01,116.5954710538242
100,0.0101,0.01,additive,0.01,117.53476848292455
2,0.0001,0.01,additive,4.01,117.96310684077484
26,0.0001,4.01,multiplicative,2.01,118.29478426185518
115,0.0101,2.01,multiplicative,0.01,118.39843594900744
36,0.0001,6.009999999999999,multiplicative,2.01,119.76915175348977
47,0.0001,8.01,multiplicative,4.01,120.44955523367122
37,0.0001,6.009999999999999,multiplicative,4.01,120.69605453197592
27,0.0001,4.01,multiplicative,4.01,120.85318398499697
42,0.0001,8.01,additive,4.01,125.19555733883843
32,0.0001,6.009999999999999,additive,4.01,125.1958036583411
22,0.0001,4.01,additive,4.01,125.1964467398459
12,0.0001,2.01,additive,4.01,125.20004162514435
14,0.0001,2.01,additive,8.01,125.34145492692792
44,0.0001,8.01,additive,8.01,125.34364664497674
34,0.0001,6.009999999999999,additive,8.01,125.34380482116492
24,0.0001,4.01,additive,8.01,125.34429580663766
43,0.0001,8.01,additive,6.009999999999999,125.35924454806579
33,0.0001,6.009999999999999,additive,6.009999999999999,125.35954759429025
23,0.0001,4.01,additive,6.009999999999999,125.36041709390697
13,0.0001,2.01,additive,6.009999999999999,125.36489359736711
10,0.0001,2.01,additive,0.01,125.46729055691104
20,0.0001,4.01,additive,0.01,125.48110963130956
30,0.0001,6.009999999999999,additive,0.01,125.48368785558725
40,0.0001,8.01,additive,0.01,125.48449029225695
124,0.0101,4.01,additive,8.01,126.14905644422414
142,0.0101,8.01,additive,4.01,126.44782103168481
111,0.0101,2.01,additive,2.01,126.45289747261195
121,0.0101,4.01,additive,2.01,126.67610305129978
133,0.0101,6.009999999999999,additive,6.009999999999999,126.84009176919231
144,0.0101,8.01,additive,8.01,127.0021297725656
132,0.0101,6.009999999999999,additive,4.01,127.03417008685803
134,0.0101,6.009999999999999,additive,8.01,127.03710211791837
112,0.0101,2.01,additive,4.01,127.1298268549509
114,0.0101,2.01,additive,8.01,127.15252156405683
141,0.0101,8.01,additive,2.01,127.39072886525949
113,0.0101,2.01,additive,6.009999999999999,127.40254378734943
