,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
41,0.0001,8.01,additive,2.01,2.5849882821534838
31,0.0001,6.009999999999999,additive,2.01,2.664841387050858
21,0.0001,4.01,additive,2.01,2.9030170792521353
0,0.0001,0.01,additive,0.01,3.724471999888156
11,0.0001,2.01,additive,2.01,4.021441841228336
6,0.0001,0.01,multiplicative,2.01,4.842885396994494
44,0.0001,8.01,additive,8.01,5.53622920655317
34,0.0001,6.009999999999999,additive,8.01,5.546370911178875
24,0.0001,4.01,additive,8.01,5.575219445635967
14,0.0001,2.01,additive,8.01,5.729288232839263
42,0.0001,8.01,additive,4.01,7.237453934016608
32,0.0001,6.009999999999999,additive,4.01,7.245701078962824
22,0.0001,4.01,additive,4.01,7.272712456753476
12,0.0001,2.01,additive,4.01,7.327174817310877
82,0.0051,6.009999999999999,additive,4.01,7.857752363040739
94,0.0051,8.01,additive,8.01,8.467187394567645
43,0.0001,8.01,additive,6.009999999999999,8.609349277502204
33,0.0001,6.009999999999999,additive,6.009999999999999,8.6153228107701
23,0.0001,4.01,additive,6.009999999999999,8.635452374157332
70,0.0051,4.01,additive,0.01,8.67947640361254
13,0.0001,2.01,additive,6.009999999999999,8.72298148500317
81,0.0051,6.009999999999999,additive,2.01,9.568856547569919
84,0.0051,6.009999999999999,additive,8.01,9.70335052470481
5,0.0001,0.01,multiplicative,0.01,9.777224691570394
91,0.0051,8.01,additive,2.01,9.785526109034521
83,0.0051,6.009999999999999,additive,6.009999999999999,9.97371871646931
74,0.0051,4.01,additive,8.01,10.332392146629736
111,0.0101,2.01,additive,2.01,10.483297724935573
112,0.0101,2.01,additive,4.01,10.560115420337297
7,0.0001,0.01,multiplicative,4.01,10.590251493929529
1,0.0001,0.01,additive,2.01,10.67708974520427
80,0.0051,6.009999999999999,additive,0.01,10.679073141484736
93,0.0051,8.01,additive,6.009999999999999,10.733337713405772
92,0.0051,8.01,additive,4.01,10.806922452211769
71,0.0051,4.01,additive,2.01,10.857093723214827
143,0.0101,8.01,additive,6.009999999999999,10.86876157350917
72,0.0051,4.01,additive,4.01,11.192263144504476
101,0.0101,0.01,additive,2.01,11.484445609756582
2,0.0001,0.01,additive,4.01,11.490774181593004
131,0.0101,6.009999999999999,additive,2.01,11.603930528429897
73,0.0051,4.01,additive,6.009999999999999,11.830052389443921
122,0.0101,4.01,additive,4.01,11.893569235608517
27,0.0001,4.01,multiplicative,4.01,12.013759043193282
49,0.0001,8.01,multiplicative,8.01,12.404632124973638
134,0.0101,6.009999999999999,additive,8.01,12.544248552920399
90,0.0051,8.01,additive,0.01,12.565086291000599
121,0.0101,4.01,additive,2.01,12.713937609688678
