,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
123,0.0101,4.01,additive,6.009999999999999,6.412614421346693
122,0.0101,4.01,additive,4.01,6.441096317479321
142,0.0101,8.01,additive,4.01,6.469143947717689
143,0.0101,8.01,additive,6.009999999999999,6.4887864041222665
124,0.0101,4.01,additive,8.01,6.495264297912572
144,0.0101,8.01,additive,8.01,6.506918653264701
131,0.0101,6.009999999999999,additive,2.01,6.514727909994737
133,0.0101,6.009999999999999,additive,6.009999999999999,6.53241411034173
111,0.0101,2.01,additive,2.01,6.5347850183548255
134,0.0101,6.009999999999999,additive,8.01,6.538831220290936
121,0.0101,4.01,additive,2.01,6.539885116933843
112,0.0101,2.01,additive,4.01,6.54604725663148
140,0.0101,8.01,additive,0.01,6.554087892213177
141,0.0101,8.01,additive,2.01,6.564197295210163
103,0.0101,0.01,additive,6.009999999999999,6.586558797829681
132,0.0101,6.009999999999999,additive,4.01,6.591021215155599
110,0.0101,2.01,additive,0.01,6.597592259315473
113,0.0101,2.01,additive,6.009999999999999,6.618099748633621
114,0.0101,2.01,additive,8.01,6.637025408854563
130,0.0101,6.009999999999999,additive,0.01,6.683394142026538
101,0.0101,0.01,additive,2.01,6.7242798921664315
100,0.0101,0.01,additive,0.01,6.836742134163377
120,0.0101,4.01,additive,0.01,6.841080785846374
104,0.0101,0.01,additive,8.01,6.883857701558141
102,0.0101,0.01,additive,4.01,6.970227211367524
137,0.0101,6.009999999999999,multiplicative,4.01,7.984318978703612
118,0.0101,2.01,multiplicative,6.009999999999999,8.158148310166007
117,0.0101,2.01,multiplicative,4.01,8.33601120594296
149,0.0101,8.01,multiplicative,8.01,8.357947034688436
146,0.0101,8.01,multiplicative,2.01,8.435662445684347
147,0.0101,8.01,multiplicative,4.01,8.559180521989433
148,0.0101,8.01,multiplicative,6.009999999999999,8.591920339393237
116,0.0101,2.01,multiplicative,2.01,8.622695950526674
128,0.0101,4.01,multiplicative,6.009999999999999,8.651217139931717
107,0.0101,0.01,multiplicative,4.01,8.671326065237503
136,0.0101,6.009999999999999,multiplicative,2.01,8.75083721934928
126,0.0101,4.01,multiplicative,2.01,8.750952870705884
105,0.0101,0.01,multiplicative,0.01,8.775213182514095
135,0.0101,6.009999999999999,multiplicative,0.01,8.809628337086966
127,0.0101,4.01,multiplicative,4.01,8.818597649670824
129,0.0101,4.01,multiplicative,8.01,8.81960763212388
125,0.0101,4.01,multiplicative,0.01,8.918082738724232
145,0.0101,8.01,multiplicative,0.01,8.940970261506823
139,0.0101,6.009999999999999,multiplicative,8.01,9.059111346564032
115,0.0101,2.01,multiplicative,0.01,9.110967229601114
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,9.118965382206888
108,0.0101,0.01,multiplicative,6.009999999999999,9.17750449317297
109,0.0101,0.01,multiplicative,8.01,9.315755111721863
106,0.0101,0.01,multiplicative,2.01,9.390086276911402
119,0.0101,2.01,multiplicative,8.01,9.46583368091713
71,0.0051,4.01,additive,2.01,14.134821086172078
70,0.0051,4.01,additive,0.01,14.188814247189686
51,0.0051,0.01,additive,2.01,14.212963591526197
64,0.0051,2.01,additive,8.01,14.22786900788333
