,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
55,0.0051,0.01,multiplicative,0.01,62.71943311832065
57,0.0051,0.01,multiplicative,4.01,63.26743257313537
58,0.0051,0.01,multiplicative,6.009999999999999,63.27290232296877
56,0.0051,0.01,multiplicative,2.01,63.274283216842576
59,0.0051,0.01,multiplicative,8.01,63.27630658743883
85,0.0051,6.009999999999999,multiplicative,0.01,69.45263173846747
65,0.0051,2.01,multiplicative,0.01,69.54506394242881
95,0.0051,8.01,multiplicative,0.01,69.60713153387138
75,0.0051,4.01,multiplicative,0.01,69.91193313325823
84,0.0051,6.009999999999999,additive,8.01,70.30516728584209
51,0.0051,0.01,additive,2.01,70.69785806332965
81,0.0051,6.009999999999999,additive,2.01,71.17389798308486
91,0.0051,8.01,additive,2.01,71.82527560688969
52,0.0051,0.01,additive,4.01,72.02187823790125
93,0.0051,8.01,additive,6.009999999999999,72.10640188865358
82,0.0051,6.009999999999999,additive,4.01,72.15634720231192
74,0.0051,4.01,additive,8.01,72.38113854931397
54,0.0051,0.01,additive,8.01,72.78371280930328
53,0.0051,0.01,additive,6.009999999999999,72.7955123265092
62,0.0051,2.01,additive,4.01,72.97559791653534
71,0.0051,4.01,additive,2.01,73.26658364552641
92,0.0051,8.01,additive,4.01,73.2988643132007
73,0.0051,4.01,additive,6.009999999999999,73.38783302713607
72,0.0051,4.01,additive,4.01,73.61361991930802
64,0.0051,2.01,additive,8.01,73.81760194296997
94,0.0051,8.01,additive,8.01,74.77081669385257
61,0.0051,2.01,additive,2.01,74.85654997941162
83,0.0051,6.009999999999999,additive,6.009999999999999,75.29031212631638
97,0.0051,8.01,multiplicative,4.01,78.93427951861415
99,0.0051,8.01,multiplicative,8.01,79.01235414823235
98,0.0051,8.01,multiplicative,6.009999999999999,79.01249372991316
76,0.0051,4.01,multiplicative,2.01,79.03788104111229
78,0.0051,4.01,multiplicative,6.009999999999999,79.07812946471344
86,0.0051,6.009999999999999,multiplicative,2.01,79.09960267775969
79,0.0051,4.01,multiplicative,8.01,79.13918120668663
87,0.0051,6.009999999999999,multiplicative,4.01,79.14765905180695
77,0.0051,4.01,multiplicative,4.01,79.20372808033143
69,0.0051,2.01,multiplicative,8.01,79.32956699243181
68,0.0051,2.01,multiplicative,6.009999999999999,79.34165265342885
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,79.34169651423517
67,0.0051,2.01,multiplicative,4.01,79.36588719924245
89,0.0051,6.009999999999999,multiplicative,8.01,79.46595745648494
96,0.0051,8.01,multiplicative,2.01,79.61113758588287
66,0.0051,2.01,multiplicative,2.01,80.09249529441846
29,0.0001,4.01,multiplicative,8.01,87.09424460824123
50,0.0051,0.01,additive,0.01,87.84883783430669
63,0.0051,2.01,additive,6.009999999999999,98.80335198887981
60,0.0051,2.01,additive,0.01,117.46381659463621
80,0.0051,6.009999999999999,additive,0.01,118.16466579375484
90,0.0051,8.01,additive,0.01,118.17549141900413
70,0.0051,4.01,additive,0.01,118.20608162889076
32,0.0001,6.009999999999999,additive,4.01,132.73484024050464
42,0.0001,8.01,additive,4.01,132.73584974159616
22,0.0001,4.01,additive,4.01,132.87554767350355
33,0.0001,6.009999999999999,additive,6.009999999999999,133.7194674562339
43,0.0001,8.01,additive,6.009999999999999,133.72020467311762
23,0.0001,4.01,additive,6.009999999999999,133.81912581818872
13,0.0001,2.01,additive,6.009999999999999,133.83157251087198
12,0.0001,2.01,additive,4.01,135.1790627198365
2,0.0001,0.01,additive,4.01,135.73836107499653
4,0.0001,0.01,additive,8.01,136.16691485484503
140,0.0101,8.01,additive,0.01,138.45853923945862
1,0.0001,0.01,additive,2.01,139.9317350170955
14,0.0001,2.01,additive,8.01,141.58395757450216
24,0.0001,4.01,additive,8.01,141.5864742355641
34,0.0001,6.009999999999999,additive,8.01,141.58696450520085
44,0.0001,8.01,additive,8.01,141.58710870257127
142,0.0101,8.01,additive,4.01,141.79960041938344
132,0.0101,6.009999999999999,additive,4.01,142.22974249829844
21,0.0001,4.01,additive,2.01,142.39300601907482
31,0.0001,6.009999999999999,additive,2.01,142.39325943340947
41,0.0001,8.01,additive,2.01,142.39333019267087
