,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
118,0.0101,2.01,multiplicative,6.009999999999999,23880738089874.1
135,0.0101,6.009999999999999,multiplicative,0.01,24670030259427.742
116,0.0101,2.01,multiplicative,2.01,25368250153125.094
145,0.0101,8.01,multiplicative,0.01,25491732490738.395
126,0.0101,4.01,multiplicative,2.01,29630827546516.61
115,0.0101,2.01,multiplicative,0.01,32605579908909.703
125,0.0101,4.01,multiplicative,0.01,33922435537752.453
139,0.0101,6.009999999999999,multiplicative,8.01,36193994702057.336
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,39995381914786.266
117,0.0101,2.01,multiplicative,4.01,40129973815577.586
147,0.0101,8.01,multiplicative,4.01,40620830383680.86
128,0.0101,4.01,multiplicative,6.009999999999999,41113735610881.09
129,0.0101,4.01,multiplicative,8.01,41243625372765.28
127,0.0101,4.01,multiplicative,4.01,41528873659732.72
149,0.0101,8.01,multiplicative,8.01,42027733135325.58
146,0.0101,8.01,multiplicative,2.01,42142307302291.62
137,0.0101,6.009999999999999,multiplicative,4.01,44042805684837.09
119,0.0101,2.01,multiplicative,8.01,44799290246103.72
136,0.0101,6.009999999999999,multiplicative,2.01,45809078251964.88
148,0.0101,8.01,multiplicative,6.009999999999999,47790313539047.87
99,0.0051,8.01,multiplicative,8.01,49182224905160.88
59,0.0051,0.01,multiplicative,8.01,54283504888750.9
68,0.0051,2.01,multiplicative,6.009999999999999,57907702331858.42
95,0.0051,8.01,multiplicative,0.01,64267005808433.27
107,0.0101,0.01,multiplicative,4.01,64619768089203.88
97,0.0051,8.01,multiplicative,4.01,69473807503140.86
86,0.0051,6.009999999999999,multiplicative,2.01,73294180970371.86
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,76763040224948.23
78,0.0051,4.01,multiplicative,6.009999999999999,91576184702794.34
106,0.0101,0.01,multiplicative,2.01,92111845806088.25
89,0.0051,6.009999999999999,multiplicative,8.01,92280930981816.17
76,0.0051,4.01,multiplicative,2.01,94884253930597.06
75,0.0051,4.01,multiplicative,0.01,95296290879260.52
26,0.0001,4.01,multiplicative,2.01,98049072539091.5
85,0.0051,6.009999999999999,multiplicative,0.01,103132747318204.16
109,0.0101,0.01,multiplicative,8.01,103224191706728.42
65,0.0051,2.01,multiplicative,0.01,103777498108501.61
55,0.0051,0.01,multiplicative,0.01,106947942245929.5
29,0.0001,4.01,multiplicative,8.01,107157291546645.23
57,0.0051,0.01,multiplicative,4.01,107175519694603.1
58,0.0051,0.01,multiplicative,6.009999999999999,109432012497210.5
36,0.0001,6.009999999999999,multiplicative,2.01,112193419174554.42
108,0.0101,0.01,multiplicative,6.009999999999999,116900039469449.05
18,0.0001,2.01,multiplicative,6.009999999999999,119141207725187.42
28,0.0001,4.01,multiplicative,6.009999999999999,119464331944423.56
49,0.0001,8.01,multiplicative,8.01,128904889877980.9
48,0.0001,8.01,multiplicative,6.009999999999999,129629202574950.83
105,0.0101,0.01,multiplicative,0.01,133632190169803.98
56,0.0051,0.01,multiplicative,2.01,133638393741705.64
17,0.0001,2.01,multiplicative,4.01,136272704166391.66
46,0.0001,8.01,multiplicative,2.01,138110147591959.03
96,0.0051,8.01,multiplicative,2.01,138583870930612.11
45,0.0001,8.01,multiplicative,0.01,140896198053899.84
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,141168852895018.03
35,0.0001,6.009999999999999,multiplicative,0.01,141524184506523.84
25,0.0001,4.01,multiplicative,0.01,141994590460659.1
27,0.0001,4.01,multiplicative,4.01,144311775201342.94
69,0.0051,2.01,multiplicative,8.01,144651398552704.84
67,0.0051,2.01,multiplicative,4.01,144776603113848.97
39,0.0001,6.009999999999999,multiplicative,8.01,145103184229183.06
47,0.0001,8.01,multiplicative,4.01,152902007325675.72
98,0.0051,8.01,multiplicative,6.009999999999999,155744117735866.06
66,0.0051,2.01,multiplicative,2.01,156547516334719.62
9,0.0001,0.01,multiplicative,8.01,157565172054279.56
16,0.0001,2.01,multiplicative,2.01,160373560477693.47
8,0.0001,0.01,multiplicative,6.009999999999999,161889267491048.6
5,0.0001,0.01,multiplicative,0.01,169177100546849.84
7,0.0001,0.01,multiplicative,4.01,173820271709033.03
77,0.0051,4.01,multiplicative,4.01,175951175747219.8
87,0.0051,6.009999999999999,multiplicative,4.01,184227150246566.75
19,0.0001,2.01,multiplicative,8.01,202269998786497.38
79,0.0051,4.01,multiplicative,8.01,209700052480254.75
15,0.0001,2.01,multiplicative,0.01,236231744877508.53
37,0.0001,6.009999999999999,multiplicative,4.01,272738301647086.66
6,0.0001,0.01,multiplicative,2.01,310952697995215.4
60,0.0051,2.01,additive,0.01,889088802968262.8
91,0.0051,8.01,additive,2.01,900174413296713.5
71,0.0051,4.01,additive,2.01,913798919960471.6
64,0.0051,2.01,additive,8.01,915279749524354.5
92,0.0051,8.01,additive,4.01,918601561258861.0
63,0.0051,2.01,additive,6.009999999999999,922172302732553.4
72,0.0051,4.01,additive,4.01,922773898096256.6
52,0.0051,0.01,additive,4.01,932448590325960.4
81,0.0051,6.009999999999999,additive,2.01,938575169471031.6
90,0.0051,8.01,additive,0.01,944012015036392.4
80,0.0051,6.009999999999999,additive,0.01,945749235791189.6
84,0.0051,6.009999999999999,additive,8.01,949756952708364.5
83,0.0051,6.009999999999999,additive,6.009999999999999,950056034167744.9
93,0.0051,8.01,additive,6.009999999999999,953061810483391.2
53,0.0051,0.01,additive,6.009999999999999,958252564872688.1
73,0.0051,4.01,additive,6.009999999999999,961311406033330.5
82,0.0051,6.009999999999999,additive,4.01,969873906700277.5
50,0.0051,0.01,additive,0.01,970706921255839.9
61,0.0051,2.01,additive,2.01,971099417163303.1
62,0.0051,2.01,additive,4.01,972833506621034.4
104,0.0101,0.01,additive,8.01,977793953801829.5
102,0.0101,0.01,additive,4.01,983943939867264.6
101,0.0101,0.01,additive,2.01,988868372053786.5
94,0.0051,8.01,additive,8.01,996959996693766.2
74,0.0051,4.01,additive,8.01,1000035983308401.0
131,0.0101,6.009999999999999,additive,2.01,1004339827294218.0
144,0.0101,8.01,additive,8.01,1007253669862802.4
103,0.0101,0.01,additive,6.009999999999999,1007545958361700.0
123,0.0101,4.01,additive,6.009999999999999,1011284735647022.5
100,0.0101,0.01,additive,0.01,1012322154003521.5
113,0.0101,2.01,additive,6.009999999999999,1013952744945815.2
132,0.0101,6.009999999999999,additive,4.01,1015563343855717.0
51,0.0051,0.01,additive,2.01,1016283616852783.0
141,0.0101,8.01,additive,2.01,1017628564138491.4
124,0.0101,4.01,additive,8.01,1020906028286707.6
133,0.0101,6.009999999999999,additive,6.009999999999999,1021701741446919.1
0,0.0001,0.01,additive,0.01,1022041221916031.0
121,0.0101,4.01,additive,2.01,1022760545404830.5
122,0.0101,4.01,additive,4.01,1023013001934187.1
134,0.0101,6.009999999999999,additive,8.01,1025504631782726.0
54,0.0051,0.01,additive,8.01,1025776279644875.0
120,0.0101,4.01,additive,0.01,1025912993828078.4
130,0.0101,6.009999999999999,additive,0.01,1030331258418885.5
1,0.0001,0.01,additive,2.01,1030501111950782.8
2,0.0001,0.01,additive,4.01,1030753601824057.6
3,0.0001,0.01,additive,6.009999999999999,1030810479828717.0
4,0.0001,0.01,additive,8.01,1030832274192659.8
70,0.0051,4.01,additive,0.01,1034892624532375.0
112,0.0101,2.01,additive,4.01,1035552830809223.0
111,0.0101,2.01,additive,2.01,1042600697438922.1
143,0.0101,8.01,additive,6.009999999999999,1053589295723955.1
110,0.0101,2.01,additive,0.01,1055597603261043.8
140,0.0101,8.01,additive,0.01,1063612933483648.2
40,0.0001,8.01,additive,0.01,1074257779789971.5
30,0.0001,6.009999999999999,additive,0.01,1074259680667360.0
20,0.0001,4.01,additive,0.01,1074266130370685.1
10,0.0001,2.01,additive,0.01,1074300993672055.2
114,0.0101,2.01,additive,8.01,1075879294335174.8
142,0.0101,8.01,additive,4.01,1079396388414087.9
44,0.0001,8.01,additive,8.01,1084030133295919.4
34,0.0001,6.009999999999999,additive,8.01,1084033019108005.1
43,0.0001,8.01,additive,6.009999999999999,1084040533492230.2
24,0.0001,4.01,additive,8.01,1084040597763104.1
33,0.0001,6.009999999999999,additive,6.009999999999999,1084040623101048.9
23,0.0001,4.01,additive,6.009999999999999,1084048624989397.5
42,0.0001,8.01,additive,4.01,1084073748614320.1
32,0.0001,6.009999999999999,additive,4.01,1084074263837129.5
14,0.0001,2.01,additive,8.01,1084078072538203.1
22,0.0001,4.01,additive,4.01,1084081222052355.1
13,0.0001,2.01,additive,6.009999999999999,1084085414543256.0
12,0.0001,2.01,additive,4.01,1084108842104019.1
41,0.0001,8.01,additive,2.01,1084182497451549.8
31,0.0001,6.009999999999999,additive,2.01,1084185141909727.5
21,0.0001,4.01,additive,2.01,1084190873448187.1
11,0.0001,2.01,additive,2.01,1084221746523233.8
