,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
40,0.0001,8.01,additive,0.01,129.84998007541606
30,0.0001,6.009999999999999,additive,0.01,129.85174729006357
20,0.0001,4.01,additive,0.01,129.85372565466795
10,0.0001,2.01,additive,0.01,129.86433489315914
15,0.0001,2.01,multiplicative,0.01,136.7967612378387
90,0.0051,8.01,additive,0.01,136.90572620872106
80,0.0051,6.009999999999999,additive,0.01,136.9059226339666
70,0.0051,4.01,additive,0.01,136.90645240274614
60,0.0051,2.01,additive,0.01,136.90932517565142
25,0.0001,4.01,multiplicative,0.01,136.96218437595473
35,0.0001,6.009999999999999,multiplicative,0.01,136.98358594847284
45,0.0001,8.01,multiplicative,0.01,136.99495780436374
140,0.0101,8.01,additive,0.01,137.06127222755995
130,0.0101,6.009999999999999,additive,0.01,137.06144637670965
120,0.0101,4.01,additive,0.01,137.06196327764496
110,0.0101,2.01,additive,0.01,137.06488791058814
75,0.0051,4.01,multiplicative,0.01,140.1928625091886
95,0.0051,8.01,multiplicative,0.01,140.1931533115548
85,0.0051,6.009999999999999,multiplicative,0.01,140.1932625253516
65,0.0051,2.01,multiplicative,0.01,140.35743579758324
115,0.0101,2.01,multiplicative,0.01,140.4828201798857
145,0.0101,8.01,multiplicative,0.01,140.61911874266815
135,0.0101,6.009999999999999,multiplicative,0.01,140.62173350717612
125,0.0101,4.01,multiplicative,0.01,140.6876750639777
0,0.0001,0.01,additive,0.01,140.85040270286206
5,0.0001,0.01,multiplicative,0.01,141.12053580113835
50,0.0051,0.01,additive,0.01,147.17723251270266
100,0.0101,0.01,additive,0.01,147.4481661922324
55,0.0051,0.01,multiplicative,0.01,147.69190134039965
105,0.0101,0.01,multiplicative,0.01,148.0718498070164
11,0.0001,2.01,additive,2.01,153.2772596577744
21,0.0001,4.01,additive,2.01,153.2776554970968
31,0.0001,6.009999999999999,additive,2.01,153.27773017911332
41,0.0001,8.01,additive,2.01,153.2777597861053
1,0.0001,0.01,additive,2.01,154.17863847831455
87,0.0051,6.009999999999999,multiplicative,4.01,154.98470364919004
97,0.0051,8.01,multiplicative,4.01,155.07001842473844
117,0.0101,2.01,multiplicative,4.01,155.2645805838211
77,0.0051,4.01,multiplicative,4.01,155.2874303734949
67,0.0051,2.01,multiplicative,4.01,155.57913226856135
101,0.0101,0.01,additive,2.01,155.6937615884283
2,0.0001,0.01,additive,4.01,155.81369156606482
59,0.0051,0.01,multiplicative,8.01,155.82914535511986
52,0.0051,0.01,additive,4.01,155.84254683785355
109,0.0101,0.01,multiplicative,8.01,155.8465866530802
102,0.0101,0.01,additive,4.01,155.8556559444633
127,0.0101,4.01,multiplicative,4.01,155.8558806395899
51,0.0051,0.01,additive,2.01,155.92006991442292
12,0.0001,2.01,additive,4.01,156.06505302136907
22,0.0001,4.01,additive,4.01,156.06902554744266
32,0.0001,6.009999999999999,additive,4.01,156.06976900894563
42,0.0001,8.01,additive,4.01,156.07002996780727
99,0.0051,8.01,multiplicative,8.01,156.20592849031132
89,0.0051,6.009999999999999,multiplicative,8.01,156.20602869415876
79,0.0051,4.01,multiplicative,8.01,156.20629142778117
69,0.0051,2.01,multiplicative,8.01,156.20795206379492
149,0.0101,8.01,multiplicative,8.01,156.21280053379854
139,0.0101,6.009999999999999,multiplicative,8.01,156.21286286239618
129,0.0101,4.01,multiplicative,8.01,156.21311951739375
119,0.0101,2.01,multiplicative,8.01,156.21410039537545
103,0.0101,0.01,additive,6.009999999999999,156.25491174344683
108,0.0101,0.01,multiplicative,6.009999999999999,156.2755600228029
107,0.0101,0.01,multiplicative,4.01,156.27644739686923
147,0.0101,8.01,multiplicative,4.01,156.3072925507074
137,0.0101,6.009999999999999,multiplicative,4.01,156.30803783598498
78,0.0051,4.01,multiplicative,6.009999999999999,156.3500180224831
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,156.35029610424237
98,0.0051,8.01,multiplicative,6.009999999999999,156.35037880488832
68,0.0051,2.01,multiplicative,6.009999999999999,156.3544311168489
53,0.0051,0.01,additive,6.009999999999999,156.35728505264558
71,0.0051,4.01,additive,2.01,156.35798601378295
61,0.0051,2.01,additive,2.01,156.35799518357203
91,0.0051,8.01,additive,2.01,156.35806994352396
81,0.0051,6.009999999999999,additive,2.01,156.35810357830138
104,0.0101,0.01,additive,8.01,156.3953911940851
54,0.0051,0.01,additive,8.01,156.43164193451983
106,0.0101,0.01,multiplicative,2.01,156.44994815991203
56,0.0051,0.01,multiplicative,2.01,156.4685298725983
3,0.0001,0.01,additive,6.009999999999999,156.53418417733425
111,0.0101,2.01,additive,2.01,156.5542484343358
141,0.0101,8.01,additive,2.01,156.55550768580824
121,0.0101,4.01,additive,2.01,156.55573763415637
131,0.0101,6.009999999999999,additive,2.01,156.55580199818843
57,0.0051,0.01,multiplicative,4.01,156.73297355555803
62,0.0051,2.01,additive,4.01,156.74758482250675
72,0.0051,4.01,additive,4.01,156.7482572155641
82,0.0051,6.009999999999999,additive,4.01,156.74838320282186
92,0.0051,8.01,additive,4.01,156.74842741191136
4,0.0001,0.01,additive,8.01,156.80637412661866
112,0.0101,2.01,additive,4.01,156.8207379606397
122,0.0101,4.01,additive,4.01,156.82103270442408
132,0.0101,6.009999999999999,additive,4.01,156.8210815915279
142,0.0101,8.01,additive,4.01,156.82110142818928
118,0.0101,2.01,multiplicative,6.009999999999999,156.90382493401208
128,0.0101,4.01,multiplicative,6.009999999999999,156.90732557980758
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,156.91116128964688
148,0.0101,8.01,multiplicative,6.009999999999999,156.91158395659758
113,0.0101,2.01,additive,6.009999999999999,156.91743947873505
