,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
6,0.0001,0.01,multiplicative,2.01,10.358899816235278
5,0.0001,0.01,multiplicative,0.01,15.54615469593456
76,0.0051,4.01,multiplicative,2.01,21.316980072387892
86,0.0051,6.009999999999999,multiplicative,2.01,21.370277019240984
77,0.0051,4.01,multiplicative,4.01,21.385079419488957
79,0.0051,4.01,multiplicative,8.01,21.38831265133302
78,0.0051,4.01,multiplicative,6.009999999999999,21.39008980640374
68,0.0051,2.01,multiplicative,6.009999999999999,21.98876762543401
97,0.0051,8.01,multiplicative,4.01,22.011277025276588
96,0.0051,8.01,multiplicative,2.01,22.015569598774224
67,0.0051,2.01,multiplicative,4.01,22.030755257149064
87,0.0051,6.009999999999999,multiplicative,4.01,22.03975945686936
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,22.04247928622997
89,0.0051,6.009999999999999,multiplicative,8.01,22.04457795619646
99,0.0051,8.01,multiplicative,8.01,22.058275974793794
66,0.0051,2.01,multiplicative,2.01,22.059618598889127
98,0.0051,8.01,multiplicative,6.009999999999999,22.088285345785696
69,0.0051,2.01,multiplicative,8.01,22.129687489178284
7,0.0001,0.01,multiplicative,4.01,23.744211135165923
105,0.0101,0.01,multiplicative,0.01,24.882984217219235
101,0.0101,0.01,additive,2.01,25.827143502693268
0,0.0001,0.01,additive,0.01,25.874896377665856
108,0.0101,0.01,multiplicative,6.009999999999999,25.88470874789138
109,0.0101,0.01,multiplicative,8.01,25.889959337946514
107,0.0101,0.01,multiplicative,4.01,25.903777395733755
106,0.0101,0.01,multiplicative,2.01,25.926301427295996
103,0.0101,0.01,additive,6.009999999999999,26.496173078585024
117,0.0101,2.01,multiplicative,4.01,27.202803895002717
4,0.0001,0.01,additive,8.01,27.664895491074695
3,0.0001,0.01,additive,6.009999999999999,27.72567941322007
2,0.0001,0.01,additive,4.01,27.981744967716185
8,0.0001,0.01,multiplicative,6.009999999999999,28.051054912442126
125,0.0101,4.01,multiplicative,0.01,28.407008575029
145,0.0101,8.01,multiplicative,0.01,28.62958404430849
1,0.0001,0.01,additive,2.01,29.2680085083746
135,0.0101,6.009999999999999,multiplicative,0.01,29.35865677216297
115,0.0101,2.01,multiplicative,0.01,29.467996363710277
116,0.0101,2.01,multiplicative,2.01,29.64163619955965
118,0.0101,2.01,multiplicative,6.009999999999999,29.820207981548947
54,0.0051,0.01,additive,8.01,30.691179546082036
