,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
5,0.0001,0.01,multiplicative,0.01,150.3034532568857
6,0.0001,0.01,multiplicative,2.01,152.82816259122654
105,0.0101,0.01,multiplicative,0.01,154.3089264076961
75,0.0051,4.01,multiplicative,0.01,154.8608639513222
106,0.0101,0.01,multiplicative,2.01,155.81900837133267
109,0.0101,0.01,multiplicative,8.01,155.84504999571814
108,0.0101,0.01,multiplicative,6.009999999999999,155.84589219683448
107,0.0101,0.01,multiplicative,4.01,155.84601773154898
127,0.0101,4.01,multiplicative,4.01,158.14896687924903
129,0.0101,4.01,multiplicative,8.01,158.14944693009
128,0.0101,4.01,multiplicative,6.009999999999999,158.1498656119147
136,0.0101,6.009999999999999,multiplicative,2.01,158.1868320866015
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,158.20777701073882
148,0.0101,8.01,multiplicative,6.009999999999999,158.34200869001182
116,0.0101,2.01,multiplicative,2.01,158.74187891275272
137,0.0101,6.009999999999999,multiplicative,4.01,161.39141825109272
147,0.0101,8.01,multiplicative,4.01,162.0855848432404
126,0.0101,4.01,multiplicative,2.01,162.64049642482334
119,0.0101,2.01,multiplicative,8.01,162.7180472825053
149,0.0101,8.01,multiplicative,8.01,163.0747808081966
146,0.0101,8.01,multiplicative,2.01,163.10073736131088
139,0.0101,6.009999999999999,multiplicative,8.01,163.5660101712537
118,0.0101,2.01,multiplicative,6.009999999999999,163.69518427533887
117,0.0101,2.01,multiplicative,4.01,163.77422613093842
135,0.0101,6.009999999999999,multiplicative,0.01,166.576641032346
125,0.0101,4.01,multiplicative,0.01,168.87698907173595
145,0.0101,8.01,multiplicative,0.01,169.72031044055723
115,0.0101,2.01,multiplicative,0.01,170.4701460296005
67,0.0051,2.01,multiplicative,4.01,176.65770804599495
69,0.0051,2.01,multiplicative,8.01,177.55506757338088
68,0.0051,2.01,multiplicative,6.009999999999999,177.87639688494716
78,0.0051,4.01,multiplicative,6.009999999999999,181.52474853141877
79,0.0051,4.01,multiplicative,8.01,181.5401004700814
77,0.0051,4.01,multiplicative,4.01,181.6631865078535
96,0.0051,8.01,multiplicative,2.01,182.01782670480142
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,182.1564632563091
98,0.0051,8.01,multiplicative,6.009999999999999,184.04236894500207
76,0.0051,4.01,multiplicative,2.01,184.12054619606835
87,0.0051,6.009999999999999,multiplicative,4.01,184.13599625538546
99,0.0051,8.01,multiplicative,8.01,184.30227193679005
97,0.0051,8.01,multiplicative,4.01,184.3247415909686
7,0.0001,0.01,multiplicative,4.01,187.53508853493958
65,0.0051,2.01,multiplicative,0.01,188.49461808440438
85,0.0051,6.009999999999999,multiplicative,0.01,189.42790076126778
89,0.0051,6.009999999999999,multiplicative,8.01,193.52455734097686
103,0.0101,0.01,additive,6.009999999999999,193.6084828914768
55,0.0051,0.01,multiplicative,0.01,195.75455455464947
1,0.0001,0.01,additive,2.01,195.78917437595777
101,0.0101,0.01,additive,2.01,195.82514306690032
95,0.0051,8.01,multiplicative,0.01,196.46257928414653
59,0.0051,0.01,multiplicative,8.01,197.05513634890823
58,0.0051,0.01,multiplicative,6.009999999999999,197.70073193590895
56,0.0051,0.01,multiplicative,2.01,198.03445541693537
53,0.0051,0.01,additive,6.009999999999999,198.0914139677166
0,0.0001,0.01,additive,0.01,199.81548647822743
102,0.0101,0.01,additive,4.01,201.4331239572971
104,0.0101,0.01,additive,8.01,202.16880347419576
57,0.0051,0.01,multiplicative,4.01,202.5374002233068
100,0.0101,0.01,additive,0.01,206.78775516525633
86,0.0051,6.009999999999999,multiplicative,2.01,209.38696128056208
66,0.0051,2.01,multiplicative,2.01,210.94059628397895
52,0.0051,0.01,additive,4.01,213.96487392523036
63,0.0051,2.01,additive,6.009999999999999,215.30133084588243
