,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
135,0.0101,6.009999999999999,multiplicative,0.01,0.1935085189719707
125,0.0101,4.01,multiplicative,0.01,0.35089933892356545
53,0.0051,0.01,additive,6.009999999999999,0.48920812197651353
114,0.0101,2.01,additive,8.01,0.9782483233761318
60,0.0051,2.01,additive,0.01,1.00319395979522
146,0.0101,8.01,multiplicative,2.01,1.0722140876544504
113,0.0101,2.01,additive,6.009999999999999,1.2855237463366116
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,2.4333374271699078
136,0.0101,6.009999999999999,multiplicative,2.01,2.4827891146304593
74,0.0051,4.01,additive,8.01,2.5226213408419755
137,0.0101,6.009999999999999,multiplicative,4.01,2.555095195370096
139,0.0101,6.009999999999999,multiplicative,8.01,2.564690293220634
111,0.0101,2.01,additive,2.01,2.67763199416821
101,0.0101,0.01,additive,2.01,2.7184068439786415
147,0.0101,8.01,multiplicative,4.01,2.8558232586218657
80,0.0051,6.009999999999999,additive,0.01,2.8729510093749573
64,0.0051,2.01,additive,8.01,2.9355712989733425
70,0.0051,4.01,additive,0.01,3.1017332680756184
115,0.0101,2.01,multiplicative,0.01,3.1017980687366666
133,0.0101,6.009999999999999,additive,6.009999999999999,3.2413189028137888
132,0.0101,6.009999999999999,additive,4.01,3.2580455170173996
90,0.0051,8.01,additive,0.01,3.2726940293764484
91,0.0051,8.01,additive,2.01,3.6468831715321253
72,0.0051,4.01,additive,4.01,3.742065855370926
93,0.0051,8.01,additive,6.009999999999999,3.8224415937897738
131,0.0101,6.009999999999999,additive,2.01,3.8444604327114855
112,0.0101,2.01,additive,4.01,3.9950757907517183
105,0.0101,0.01,multiplicative,0.01,4.052527260408525
63,0.0051,2.01,additive,6.009999999999999,4.0865366887634105
116,0.0101,2.01,multiplicative,2.01,4.12933935702087
82,0.0051,6.009999999999999,additive,4.01,4.152273726012405
103,0.0101,0.01,additive,6.009999999999999,4.183053724921207
149,0.0101,8.01,multiplicative,8.01,4.268340308651267
92,0.0051,8.01,additive,4.01,4.36809245153233
94,0.0051,8.01,additive,8.01,4.376510272184622
104,0.0101,0.01,additive,8.01,4.40395299726826
73,0.0051,4.01,additive,6.009999999999999,4.4409641500487185
84,0.0051,6.009999999999999,additive,8.01,4.444905318131902
62,0.0051,2.01,additive,4.01,4.635452032019858
110,0.0101,2.01,additive,0.01,4.843334785332876
123,0.0101,4.01,additive,6.009999999999999,4.892299299072674
108,0.0101,0.01,multiplicative,6.009999999999999,5.0384344517721535
107,0.0101,0.01,multiplicative,4.01,5.038987414119708
109,0.0101,0.01,multiplicative,8.01,5.039208343547911
106,0.0101,0.01,multiplicative,2.01,5.040590091206457
81,0.0051,6.009999999999999,additive,2.01,5.311018993531581
142,0.0101,8.01,additive,4.01,5.465956228650482
