,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
56,0.0051,0.01,multiplicative,2.01,4300993370496.319
58,0.0051,0.01,multiplicative,6.009999999999999,4303082768206.923
57,0.0051,0.01,multiplicative,4.01,4304022907841.314
59,0.0051,0.01,multiplicative,8.01,4304225617662.682
66,0.0051,2.01,multiplicative,2.01,4576061555202.968
68,0.0051,2.01,multiplicative,6.009999999999999,4576831817258.059
67,0.0051,2.01,multiplicative,4.01,4578312446661.059
69,0.0051,2.01,multiplicative,8.01,4579550862268.926
55,0.0051,0.01,multiplicative,0.01,4596588639283.924
95,0.0051,8.01,multiplicative,0.01,4632657491496.604
79,0.0051,4.01,multiplicative,8.01,4650488402955.505
75,0.0051,4.01,multiplicative,0.01,4693909760300.021
85,0.0051,6.009999999999999,multiplicative,0.01,4716498651609.923
77,0.0051,4.01,multiplicative,4.01,4733893635013.404
78,0.0051,4.01,multiplicative,6.009999999999999,4741459794819.329
76,0.0051,4.01,multiplicative,2.01,4745630939171.779
87,0.0051,6.009999999999999,multiplicative,4.01,4765598814189.641
89,0.0051,6.009999999999999,multiplicative,8.01,4766203172069.515
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,4766295400842.745
86,0.0051,6.009999999999999,multiplicative,2.01,4767613258751.402
99,0.0051,8.01,multiplicative,8.01,4777063487970.103
98,0.0051,8.01,multiplicative,6.009999999999999,4777277728687.553
97,0.0051,8.01,multiplicative,4.01,4777459434042.158
96,0.0051,8.01,multiplicative,2.01,4777778247363.478
109,0.0101,0.01,multiplicative,8.01,4833921682971.823
135,0.0101,6.009999999999999,multiplicative,0.01,4867034633810.7295
115,0.0101,2.01,multiplicative,0.01,4897189128069.262
108,0.0101,0.01,multiplicative,6.009999999999999,4912818953581.944
107,0.0101,0.01,multiplicative,4.01,4923030439137.635
145,0.0101,8.01,multiplicative,0.01,4925566405675.444
106,0.0101,0.01,multiplicative,2.01,4937620562235.769
125,0.0101,4.01,multiplicative,0.01,4939195801402.146
65,0.0051,2.01,multiplicative,0.01,4949841908839.762
105,0.0101,0.01,multiplicative,0.01,5233850095189.379
117,0.0101,2.01,multiplicative,4.01,5648533055654.438
118,0.0101,2.01,multiplicative,6.009999999999999,5651521594599.664
116,0.0101,2.01,multiplicative,2.01,5656191840890.927
126,0.0101,4.01,multiplicative,2.01,5664283871373.5625
119,0.0101,2.01,multiplicative,8.01,5677256810604.841
128,0.0101,4.01,multiplicative,6.009999999999999,5677884204773.662
127,0.0101,4.01,multiplicative,4.01,5681234497234.538
136,0.0101,6.009999999999999,multiplicative,2.01,5698195897572.843
129,0.0101,4.01,multiplicative,8.01,5698669104163.729
147,0.0101,8.01,multiplicative,4.01,5723767596116.541
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,5764532362896.031
148,0.0101,8.01,multiplicative,6.009999999999999,5768165811078.883
139,0.0101,6.009999999999999,multiplicative,8.01,5773282420261.992
149,0.0101,8.01,multiplicative,8.01,5777745508722.741
146,0.0101,8.01,multiplicative,2.01,5793338157930.041
137,0.0101,6.009999999999999,multiplicative,4.01,5796259948588.32
7,0.0001,0.01,multiplicative,4.01,6087663006006.874
6,0.0001,0.01,multiplicative,2.01,6733984211579.692
39,0.0001,6.009999999999999,multiplicative,8.01,7166669643713.214
49,0.0001,8.01,multiplicative,8.01,7323421599120.356
5,0.0001,0.01,multiplicative,0.01,7482558894514.284
8,0.0001,0.01,multiplicative,6.009999999999999,8857595751481.27
47,0.0001,8.01,multiplicative,4.01,9382023813926.098
37,0.0001,6.009999999999999,multiplicative,4.01,9492115922097.188
27,0.0001,4.01,multiplicative,4.01,9773360329471.488
19,0.0001,2.01,multiplicative,8.01,10596718291689.121
36,0.0001,6.009999999999999,multiplicative,2.01,10681235466978.7
9,0.0001,0.01,multiplicative,8.01,10764756940956.727
46,0.0001,8.01,multiplicative,2.01,11249911973384.781
