,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,133.92952833399693
129,0.0101,4.01,multiplicative,8.01,134.6441714818747
127,0.0101,4.01,multiplicative,4.01,134.67870998603294
147,0.0101,8.01,multiplicative,4.01,134.7345790933246
117,0.0101,2.01,multiplicative,4.01,135.0324611965439
128,0.0101,4.01,multiplicative,6.009999999999999,135.45925186543278
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,135.4844275267205
118,0.0101,2.01,multiplicative,6.009999999999999,135.67971528415526
139,0.0101,6.009999999999999,multiplicative,8.01,135.74680748481552
116,0.0101,2.01,multiplicative,2.01,135.88923582849276
105,0.0101,0.01,multiplicative,0.01,136.05818385057094
146,0.0101,8.01,multiplicative,2.01,136.13822048496723
115,0.0101,2.01,multiplicative,0.01,136.52289263333643
145,0.0101,8.01,multiplicative,0.01,136.6864747907211
137,0.0101,6.009999999999999,multiplicative,4.01,136.688198921319
97,0.0051,8.01,multiplicative,4.01,136.86318662724725
148,0.0101,8.01,multiplicative,6.009999999999999,136.97974643384362
135,0.0101,6.009999999999999,multiplicative,0.01,137.07617955178046
136,0.0101,6.009999999999999,multiplicative,2.01,137.24672567061404
119,0.0101,2.01,multiplicative,8.01,137.26917567982056
126,0.0101,4.01,multiplicative,2.01,137.43727822477808
149,0.0101,8.01,multiplicative,8.01,137.64688636364775
106,0.0101,0.01,multiplicative,2.01,137.6743055576951
107,0.0101,0.01,multiplicative,4.01,137.6845376935009
109,0.0101,0.01,multiplicative,8.01,137.68635358941708
108,0.0101,0.01,multiplicative,6.009999999999999,137.92213379457186
125,0.0101,4.01,multiplicative,0.01,138.0205959675096
66,0.0051,2.01,multiplicative,2.01,138.4308222634281
67,0.0051,2.01,multiplicative,4.01,138.45780292912113
95,0.0051,8.01,multiplicative,0.01,138.87423306200378
79,0.0051,4.01,multiplicative,8.01,138.89686130113427
65,0.0051,2.01,multiplicative,0.01,139.04142610696465
87,0.0051,6.009999999999999,multiplicative,4.01,139.0851797025609
98,0.0051,8.01,multiplicative,6.009999999999999,139.21915638733606
99,0.0051,8.01,multiplicative,8.01,139.221058480557
78,0.0051,4.01,multiplicative,6.009999999999999,139.45609247958964
68,0.0051,2.01,multiplicative,6.009999999999999,139.54742329703882
76,0.0051,4.01,multiplicative,2.01,139.59401779456465
59,0.0051,0.01,multiplicative,8.01,139.6327295537367
58,0.0051,0.01,multiplicative,6.009999999999999,139.6745978009462
56,0.0051,0.01,multiplicative,2.01,139.6914146710526
57,0.0051,0.01,multiplicative,4.01,139.69949602594897
86,0.0051,6.009999999999999,multiplicative,2.01,139.7707862695185
69,0.0051,2.01,multiplicative,8.01,139.91554074121728
85,0.0051,6.009999999999999,multiplicative,0.01,139.93430770784755
77,0.0051,4.01,multiplicative,4.01,140.62912055495752
75,0.0051,4.01,multiplicative,0.01,141.0736115480549
96,0.0051,8.01,multiplicative,2.01,141.13529109299893
55,0.0051,0.01,multiplicative,0.01,141.27315689855612
89,0.0051,6.009999999999999,multiplicative,8.01,141.92617617454485
51,0.0051,0.01,additive,2.01,193.22051156035243
104,0.0101,0.01,additive,8.01,193.6355832608707
52,0.0051,0.01,additive,4.01,194.82299712364357
103,0.0101,0.01,additive,6.009999999999999,194.92882368094038
100,0.0101,0.01,additive,0.01,194.93082696076445
101,0.0101,0.01,additive,2.01,195.26865275637695
110,0.0101,2.01,additive,0.01,195.36308529208705
64,0.0051,2.01,additive,8.01,195.6879954125507
72,0.0051,4.01,additive,4.01,196.67696887421482
83,0.0051,6.009999999999999,additive,6.009999999999999,196.8306864627245
74,0.0051,4.01,additive,8.01,196.86485634302534
93,0.0051,8.01,additive,6.009999999999999,196.88903757491158
73,0.0051,4.01,additive,6.009999999999999,196.90710486195175
84,0.0051,6.009999999999999,additive,8.01,196.91225417396626
94,0.0051,8.01,additive,8.01,196.92379904879047
62,0.0051,2.01,additive,4.01,196.94844726978073
71,0.0051,4.01,additive,2.01,196.9862021312337
81,0.0051,6.009999999999999,additive,2.01,197.07712778372027
61,0.0051,2.01,additive,2.01,197.31489173933102
102,0.0101,0.01,additive,4.01,197.66038856048905
63,0.0051,2.01,additive,6.009999999999999,197.80742248529597
92,0.0051,8.01,additive,4.01,197.83953309749333
82,0.0051,6.009999999999999,additive,4.01,197.9098596136252
50,0.0051,0.01,additive,0.01,198.10796366851588
140,0.0101,8.01,additive,0.01,198.27062837222599
91,0.0051,8.01,additive,2.01,198.79111436905913
53,0.0051,0.01,additive,6.009999999999999,198.91610265802123
124,0.0101,4.01,additive,8.01,199.02975721836657
130,0.0101,6.009999999999999,additive,0.01,199.12036302795278
123,0.0101,4.01,additive,6.009999999999999,199.3962269415913
54,0.0051,0.01,additive,8.01,199.65030038717717
131,0.0101,6.009999999999999,additive,2.01,199.7222550317333
120,0.0101,4.01,additive,0.01,200.05668479218164
142,0.0101,8.01,additive,4.01,200.07844188812953
133,0.0101,6.009999999999999,additive,6.009999999999999,200.21107956878822
121,0.0101,4.01,additive,2.01,200.3565801216934
144,0.0101,8.01,additive,8.01,200.38138194002406
112,0.0101,2.01,additive,4.01,200.390706388321
141,0.0101,8.01,additive,2.01,200.42591468981902
111,0.0101,2.01,additive,2.01,200.50484950857276
122,0.0101,4.01,additive,4.01,200.53833488678347
143,0.0101,8.01,additive,6.009999999999999,200.72781154282194
134,0.0101,6.009999999999999,additive,8.01,200.97497008683257
132,0.0101,6.009999999999999,additive,4.01,201.15516908410217
113,0.0101,2.01,additive,6.009999999999999,201.60709016984572
114,0.0101,2.01,additive,8.01,201.77641262866572
80,0.0051,6.009999999999999,additive,0.01,202.10866210012898
70,0.0051,4.01,additive,0.01,202.3531333366737
60,0.0051,2.01,additive,0.01,202.90371906861236
90,0.0051,8.01,additive,0.01,202.99764457619602
9,0.0001,0.01,multiplicative,8.01,552.0572213704999
8,0.0001,0.01,multiplicative,6.009999999999999,552.05722289275
7,0.0001,0.01,multiplicative,4.01,552.0572270307543
6,0.0001,0.01,multiplicative,2.01,552.0577175503875
5,0.0001,0.01,multiplicative,0.01,552.0914437461618
25,0.0001,4.01,multiplicative,0.01,555.3611380100878
15,0.0001,2.01,multiplicative,0.01,555.3612040145384
45,0.0001,8.01,multiplicative,0.01,555.3614336891693
35,0.0001,6.009999999999999,multiplicative,0.01,555.3616208252687
17,0.0001,2.01,multiplicative,4.01,555.3667313643306
16,0.0001,2.01,multiplicative,2.01,555.3667360184944
19,0.0001,2.01,multiplicative,8.01,555.3668061271834
18,0.0001,2.01,multiplicative,6.009999999999999,555.3668063723403
49,0.0001,8.01,multiplicative,8.01,555.3673115209381
47,0.0001,8.01,multiplicative,4.01,555.3673116521145
48,0.0001,8.01,multiplicative,6.009999999999999,555.3673116644821
46,0.0001,8.01,multiplicative,2.01,555.3673127495326
37,0.0001,6.009999999999999,multiplicative,4.01,555.36807596406
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,555.3680762348098
39,0.0001,6.009999999999999,multiplicative,8.01,555.3680763845634
36,0.0001,6.009999999999999,multiplicative,2.01,555.3682036275336
26,0.0001,4.01,multiplicative,2.01,555.369578741103
29,0.0001,4.01,multiplicative,8.01,555.3700822572245
28,0.0001,4.01,multiplicative,6.009999999999999,555.3700828852894
27,0.0001,4.01,multiplicative,4.01,555.3700859678171
42,0.0001,8.01,additive,4.01,649.2692953795549
41,0.0001,8.01,additive,2.01,651.2649389974337
44,0.0001,8.01,additive,8.01,652.8430499635194
43,0.0001,8.01,additive,6.009999999999999,653.0570931167108
14,0.0001,2.01,additive,8.01,655.2441129658823
12,0.0001,2.01,additive,4.01,655.9489992427808
13,0.0001,2.01,additive,6.009999999999999,656.443795595384
11,0.0001,2.01,additive,2.01,656.4948671248936
33,0.0001,6.009999999999999,additive,6.009999999999999,656.9007139023771
10,0.0001,2.01,additive,0.01,678.1198330434653
31,0.0001,6.009999999999999,additive,2.01,680.377142540154
40,0.0001,8.01,additive,0.01,680.5042558898336
32,0.0001,6.009999999999999,additive,4.01,680.7008172544124
34,0.0001,6.009999999999999,additive,8.01,681.3201170532321
21,0.0001,4.01,additive,2.01,681.6068397202931
22,0.0001,4.01,additive,4.01,681.6280435419471
23,0.0001,4.01,additive,6.009999999999999,681.6381685067748
24,0.0001,4.01,additive,8.01,681.6470278759523
30,0.0001,6.009999999999999,additive,0.01,682.7364260268954
0,0.0001,0.01,additive,0.01,696.3826884999843
20,0.0001,4.01,additive,0.01,702.6529698475895
2,0.0001,0.01,additive,4.01,707.6070854448432
1,0.0001,0.01,additive,2.01,707.6083722839955
3,0.0001,0.01,additive,6.009999999999999,707.6084391460798
