,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
29,0.0001,4.01,multiplicative,8.01,123.0980410544753
5,0.0001,0.01,multiplicative,0.01,150.2440985609778
49,0.0001,8.01,multiplicative,8.01,160.1129125582485
6,0.0001,0.01,multiplicative,2.01,160.8641884090221
18,0.0001,2.01,multiplicative,6.009999999999999,161.31697750355266
0,0.0001,0.01,additive,0.01,163.18161205532635
47,0.0001,8.01,multiplicative,4.01,167.7196776479825
2,0.0001,0.01,additive,4.01,169.05224235827794
3,0.0001,0.01,additive,6.009999999999999,169.27831268550136
4,0.0001,0.01,additive,8.01,169.36134640067172
7,0.0001,0.01,multiplicative,4.01,174.65481328587512
45,0.0001,8.01,multiplicative,0.01,176.15964730042458
8,0.0001,0.01,multiplicative,6.009999999999999,177.02564164135703
16,0.0001,2.01,multiplicative,2.01,177.17769056611223
1,0.0001,0.01,additive,2.01,178.69426730636178
9,0.0001,0.01,multiplicative,8.01,183.8042060153236
36,0.0001,6.009999999999999,multiplicative,2.01,184.12996194357504
46,0.0001,8.01,multiplicative,2.01,184.28805195470065
15,0.0001,2.01,multiplicative,0.01,189.53247490140186
35,0.0001,6.009999999999999,multiplicative,0.01,190.51541242611114
19,0.0001,2.01,multiplicative,8.01,190.70303632293886
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,191.66030109099864
139,0.0101,6.009999999999999,multiplicative,8.01,195.7522367828559
104,0.0101,0.01,additive,8.01,201.3326421861693
100,0.0101,0.01,additive,0.01,204.52557428887923
25,0.0001,4.01,multiplicative,0.01,205.33655147472558
26,0.0001,4.01,multiplicative,2.01,209.58747764198233
17,0.0001,2.01,multiplicative,4.01,209.61613316432536
48,0.0001,8.01,multiplicative,6.009999999999999,210.1664767775655
39,0.0001,6.009999999999999,multiplicative,8.01,215.34734536193528
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,217.13933020598705
110,0.0101,2.01,additive,0.01,217.39568173551106
142,0.0101,8.01,additive,4.01,217.52196832889203
28,0.0001,4.01,multiplicative,6.009999999999999,218.0424672011758
144,0.0101,8.01,additive,8.01,219.17043670561705
27,0.0001,4.01,multiplicative,4.01,222.10118349429067
131,0.0101,6.009999999999999,additive,2.01,222.32674750940524
143,0.0101,8.01,additive,6.009999999999999,223.7234381290531
120,0.0101,4.01,additive,0.01,223.9164833882801
130,0.0101,6.009999999999999,additive,0.01,227.93722854016204
121,0.0101,4.01,additive,2.01,229.49581327609985
141,0.0101,8.01,additive,2.01,230.03861473169405
114,0.0101,2.01,additive,8.01,237.10091536998496
111,0.0101,2.01,additive,2.01,243.72769789911754
90,0.0051,8.01,additive,0.01,244.95540552933716
105,0.0101,0.01,multiplicative,0.01,245.68588522534546
108,0.0101,0.01,multiplicative,6.009999999999999,245.7590278647758
107,0.0101,0.01,multiplicative,4.01,245.75944414520993
109,0.0101,0.01,multiplicative,8.01,245.76498526770868
106,0.0101,0.01,multiplicative,2.01,245.84301039984058
115,0.0101,2.01,multiplicative,0.01,245.8447632969373
135,0.0101,6.009999999999999,multiplicative,0.01,247.0347177253847
125,0.0101,4.01,multiplicative,0.01,247.04333188906716
145,0.0101,8.01,multiplicative,0.01,247.064560157233
119,0.0101,2.01,multiplicative,8.01,248.6841359519901
118,0.0101,2.01,multiplicative,6.009999999999999,248.68886756660032
116,0.0101,2.01,multiplicative,2.01,248.69024906138569
117,0.0101,2.01,multiplicative,4.01,248.6978618212349
137,0.0101,6.009999999999999,multiplicative,4.01,249.12927524743318
136,0.0101,6.009999999999999,multiplicative,2.01,249.26884002605553
127,0.0101,4.01,multiplicative,4.01,249.30894041992553
126,0.0101,4.01,multiplicative,2.01,249.35358392651855
129,0.0101,4.01,multiplicative,8.01,249.37048705936732
128,0.0101,4.01,multiplicative,6.009999999999999,249.3758154576261
149,0.0101,8.01,multiplicative,8.01,249.37638621565702
146,0.0101,8.01,multiplicative,2.01,249.38201973791698
147,0.0101,8.01,multiplicative,4.01,249.38818847225565
148,0.0101,8.01,multiplicative,6.009999999999999,249.39700009747563
103,0.0101,0.01,additive,6.009999999999999,252.6009324258236
74,0.0051,4.01,additive,8.01,253.85968878087485
83,0.0051,6.009999999999999,additive,6.009999999999999,256.51563382213453
102,0.0101,0.01,additive,4.01,257.02702939756165
61,0.0051,2.01,additive,2.01,257.7299609481191
101,0.0101,0.01,additive,2.01,259.5323057015925
82,0.0051,6.009999999999999,additive,4.01,261.1048463856784
11,0.0001,2.01,additive,2.01,262.457718639134
21,0.0001,4.01,additive,2.01,262.4881509379444
31,0.0001,6.009999999999999,additive,2.01,262.49390867907584
41,0.0001,8.01,additive,2.01,262.49577572121524
60,0.0051,2.01,additive,0.01,263.45723991453343
73,0.0051,4.01,additive,6.009999999999999,263.4608835522002
12,0.0001,2.01,additive,4.01,263.52976116769713
22,0.0001,4.01,additive,4.01,263.5598977179148
32,0.0001,6.009999999999999,additive,4.01,263.5655744044231
42,0.0001,8.01,additive,4.01,263.5677221816576
13,0.0001,2.01,additive,6.009999999999999,263.77439565665725
23,0.0001,4.01,additive,6.009999999999999,263.80453386248354
33,0.0001,6.009999999999999,additive,6.009999999999999,263.81011796791427
43,0.0001,8.01,additive,6.009999999999999,263.8123417987165
14,0.0001,2.01,additive,8.01,263.8631630719523
24,0.0001,4.01,additive,8.01,263.8936063262647
34,0.0001,6.009999999999999,additive,8.01,263.8992858906987
44,0.0001,8.01,additive,8.01,263.9012751869599
72,0.0051,4.01,additive,4.01,266.5254040426028
