,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
90,0.0051,8.01,additive,0.01,205.4769175196035
80,0.0051,6.009999999999999,additive,0.01,232.4120645398534
0,0.0001,0.01,additive,0.01,339.68948588537125
70,0.0051,4.01,additive,0.01,469.2438261288312
60,0.0051,2.01,additive,0.01,904.4658228517848
9,0.0001,0.01,multiplicative,8.01,1586.8324838102242
59,0.0051,0.01,multiplicative,8.01,2561.818965448245
58,0.0051,0.01,multiplicative,6.009999999999999,2570.2200593005227
57,0.0051,0.01,multiplicative,4.01,2575.028422972944
56,0.0051,0.01,multiplicative,2.01,2598.146282451093
55,0.0051,0.01,multiplicative,0.01,2964.4302770443114
50,0.0051,0.01,additive,0.01,5001.179300435776
120,0.0101,4.01,additive,0.01,6507.843243891908
5,0.0001,0.01,multiplicative,0.01,6522.893151802232
140,0.0101,8.01,additive,0.01,6627.565229072173
65,0.0051,2.01,multiplicative,0.01,6631.2672824682995
95,0.0051,8.01,multiplicative,0.01,6636.168994987995
85,0.0051,6.009999999999999,multiplicative,0.01,6636.401036253879
75,0.0051,4.01,multiplicative,0.01,6637.694415920261
130,0.0101,6.009999999999999,additive,0.01,6671.25543722967
79,0.0051,4.01,multiplicative,8.01,6890.115348603236
78,0.0051,4.01,multiplicative,6.009999999999999,6890.18733617078
76,0.0051,4.01,multiplicative,2.01,6890.851559209332
77,0.0051,4.01,multiplicative,4.01,6891.171742503998
69,0.0051,2.01,multiplicative,8.01,6903.695743277216
68,0.0051,2.01,multiplicative,6.009999999999999,6903.743687215721
67,0.0051,2.01,multiplicative,4.01,6904.0273265904
66,0.0051,2.01,multiplicative,2.01,6904.048490634103
99,0.0051,8.01,multiplicative,8.01,6924.379738935263
98,0.0051,8.01,multiplicative,6.009999999999999,6924.452508600112
97,0.0051,8.01,multiplicative,4.01,6924.543729730631
96,0.0051,8.01,multiplicative,2.01,6925.212402053432
86,0.0051,6.009999999999999,multiplicative,2.01,6925.53044817315
89,0.0051,6.009999999999999,multiplicative,8.01,6928.035487080711
87,0.0051,6.009999999999999,multiplicative,4.01,6928.403234963734
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,6928.5680148909205
6,0.0001,0.01,multiplicative,2.01,7278.836558779379
110,0.0101,2.01,additive,0.01,7329.382614796695
40,0.0001,8.01,additive,0.01,7495.177693390032
30,0.0001,6.009999999999999,additive,0.01,7495.862836326145
20,0.0001,4.01,additive,0.01,7497.8198123458
10,0.0001,2.01,additive,0.01,7508.399116698703
105,0.0101,0.01,multiplicative,0.01,7921.4136919527255
128,0.0101,4.01,multiplicative,6.009999999999999,8471.194181757168
129,0.0101,4.01,multiplicative,8.01,8479.818287359363
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,8528.38275752751
136,0.0101,6.009999999999999,multiplicative,2.01,8548.845330675333
119,0.0101,2.01,multiplicative,8.01,8791.11478090081
116,0.0101,2.01,multiplicative,2.01,8793.292982963952
118,0.0101,2.01,multiplicative,6.009999999999999,8793.605047273983
117,0.0101,2.01,multiplicative,4.01,8795.946065780725
146,0.0101,8.01,multiplicative,2.01,8809.49922797127
149,0.0101,8.01,multiplicative,8.01,9052.570073718418
147,0.0101,8.01,multiplicative,4.01,9055.77485991075
148,0.0101,8.01,multiplicative,6.009999999999999,9056.25412327385
135,0.0101,6.009999999999999,multiplicative,0.01,9087.758173180764
125,0.0101,4.01,multiplicative,0.01,9138.273189557018
137,0.0101,6.009999999999999,multiplicative,4.01,9148.313238301513
115,0.0101,2.01,multiplicative,0.01,9164.780058296337
127,0.0101,4.01,multiplicative,4.01,9175.361464161659
145,0.0101,8.01,multiplicative,0.01,9175.413304714497
126,0.0101,4.01,multiplicative,2.01,9192.65208708316
139,0.0101,6.009999999999999,multiplicative,8.01,9205.077384421094
107,0.0101,0.01,multiplicative,4.01,9718.75551970592
109,0.0101,0.01,multiplicative,8.01,9721.611104865604
108,0.0101,0.01,multiplicative,6.009999999999999,9721.774970924173
106,0.0101,0.01,multiplicative,2.01,9731.86351649469
100,0.0101,0.01,additive,0.01,10277.154663437592
84,0.0051,6.009999999999999,additive,8.01,12604.566291729669
82,0.0051,6.009999999999999,additive,4.01,15728.904341878379
92,0.0051,8.01,additive,4.01,16736.418561465995
64,0.0051,2.01,additive,8.01,17687.878864766015
63,0.0051,2.01,additive,6.009999999999999,18849.71711848886
62,0.0051,2.01,additive,4.01,18892.411277826268
73,0.0051,4.01,additive,6.009999999999999,19993.757086960104
12,0.0001,2.01,additive,4.01,20138.793474572027
32,0.0001,6.009999999999999,additive,4.01,20283.51977072838
42,0.0001,8.01,additive,4.01,20285.07878841531
53,0.0051,0.01,additive,6.009999999999999,20312.470228021528
22,0.0001,4.01,additive,4.01,20318.732052583848
52,0.0051,0.01,additive,4.01,20347.526436921704
54,0.0051,0.01,additive,8.01,20378.103338523397
51,0.0051,0.01,additive,2.01,20815.286820210225
61,0.0051,2.01,additive,2.01,23745.207686771297
94,0.0051,8.01,additive,8.01,28029.58550278885
72,0.0051,4.01,additive,4.01,28048.594859708457
48,0.0001,8.01,multiplicative,6.009999999999999,28434.69147160444
101,0.0101,0.01,additive,2.01,28860.08946876836
91,0.0051,8.01,additive,2.01,29488.05312654663
74,0.0051,4.01,additive,8.01,29788.066326559063
71,0.0051,4.01,additive,2.01,30207.886106408532
103,0.0101,0.01,additive,6.009999999999999,30410.790327991792
81,0.0051,6.009999999999999,additive,2.01,30674.186775961265
104,0.0101,0.01,additive,8.01,30733.355335793476
102,0.0101,0.01,additive,4.01,30734.50989821575
83,0.0051,6.009999999999999,additive,6.009999999999999,31808.971791541557
28,0.0001,4.01,multiplicative,6.009999999999999,32495.835082725273
93,0.0051,8.01,additive,6.009999999999999,33601.38004974979
16,0.0001,2.01,multiplicative,2.01,35748.45222961469
113,0.0101,2.01,additive,6.009999999999999,36006.34991366302
132,0.0101,6.009999999999999,additive,4.01,36211.02197187419
142,0.0101,8.01,additive,4.01,36378.266497644516
122,0.0101,4.01,additive,4.01,36526.689380628246
144,0.0101,8.01,additive,8.01,36776.38297712223
24,0.0001,4.01,additive,8.01,36801.554012076915
34,0.0001,6.009999999999999,additive,8.01,36802.86432103424
44,0.0001,8.01,additive,8.01,36804.45132777153
123,0.0101,4.01,additive,6.009999999999999,36807.19414707758
121,0.0101,4.01,additive,2.01,37136.2055313375
114,0.0101,2.01,additive,8.01,37227.36585188552
131,0.0101,6.009999999999999,additive,2.01,37384.6712191307
141,0.0101,8.01,additive,2.01,37408.77016328379
111,0.0101,2.01,additive,2.01,37471.06522545946
143,0.0101,8.01,additive,6.009999999999999,37537.32884083364
124,0.0101,4.01,additive,8.01,37541.28621906555
14,0.0001,2.01,additive,8.01,37602.051531854275
19,0.0001,2.01,multiplicative,8.01,37666.7851421749
134,0.0101,6.009999999999999,additive,8.01,37748.26433750975
7,0.0001,0.01,multiplicative,4.01,37881.55543397924
133,0.0101,6.009999999999999,additive,6.009999999999999,37894.18127160678
112,0.0101,2.01,additive,4.01,37900.89461172049
13,0.0001,2.01,additive,6.009999999999999,38234.36586633571
23,0.0001,4.01,additive,6.009999999999999,38267.7404053991
33,0.0001,6.009999999999999,additive,6.009999999999999,38274.02933489577
43,0.0001,8.01,additive,6.009999999999999,38276.91720399279
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,39281.1230947604
26,0.0001,4.01,multiplicative,2.01,39839.20839336039
11,0.0001,2.01,additive,2.01,41799.52116277133
21,0.0001,4.01,additive,2.01,41820.16899838307
31,0.0001,6.009999999999999,additive,2.01,41824.12372501781
41,0.0001,8.01,additive,2.01,41826.02201291007
35,0.0001,6.009999999999999,multiplicative,0.01,45475.815027409786
18,0.0001,2.01,multiplicative,6.009999999999999,45839.1746180474
49,0.0001,8.01,multiplicative,8.01,45842.33835778509
39,0.0001,6.009999999999999,multiplicative,8.01,46003.28173240997
45,0.0001,8.01,multiplicative,0.01,46353.13973063505
29,0.0001,4.01,multiplicative,8.01,47421.746123742814
46,0.0001,8.01,multiplicative,2.01,51991.69038412662
36,0.0001,6.009999999999999,multiplicative,2.01,53596.47493569679
25,0.0001,4.01,multiplicative,0.01,53919.78773414751
15,0.0001,2.01,multiplicative,0.01,53977.913769063394
2,0.0001,0.01,additive,4.01,56603.6479735549
1,0.0001,0.01,additive,2.01,66976.10552535969
47,0.0001,8.01,multiplicative,4.01,79112.95691786321
37,0.0001,6.009999999999999,multiplicative,4.01,79139.80929248052
27,0.0001,4.01,multiplicative,4.01,79174.62196026985
17,0.0001,2.01,multiplicative,4.01,79719.85420285082
8,0.0001,0.01,multiplicative,6.009999999999999,85459.73386711314
4,0.0001,0.01,additive,8.01,121272.49554694694
3,0.0001,0.01,additive,6.009999999999999,124631.30244201221
