,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
75,0.0051,4.01,multiplicative,0.01,117.97108044600715
95,0.0051,8.01,multiplicative,0.01,118.25711879319694
85,0.0051,6.009999999999999,multiplicative,0.01,118.46403228214118
65,0.0051,2.01,multiplicative,0.01,121.209524538696
66,0.0051,2.01,multiplicative,2.01,123.48105818825306
59,0.0051,0.01,multiplicative,8.01,123.62950726940602
56,0.0051,0.01,multiplicative,2.01,123.63105844544482
57,0.0051,0.01,multiplicative,4.01,123.63240353988508
58,0.0051,0.01,multiplicative,6.009999999999999,123.6349347425361
67,0.0051,2.01,multiplicative,4.01,123.90231615785142
68,0.0051,2.01,multiplicative,6.009999999999999,124.03841640797518
115,0.0101,2.01,multiplicative,0.01,124.4925143421421
86,0.0051,6.009999999999999,multiplicative,2.01,124.50070354301228
89,0.0051,6.009999999999999,multiplicative,8.01,124.66280330400946
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,124.85817201828205
55,0.0051,0.01,multiplicative,0.01,125.37735775361345
69,0.0051,2.01,multiplicative,8.01,125.47869120496951
146,0.0101,8.01,multiplicative,2.01,126.04708798309183
96,0.0051,8.01,multiplicative,2.01,126.06145991423159
147,0.0101,8.01,multiplicative,4.01,126.17168981431925
97,0.0051,8.01,multiplicative,4.01,126.45879034787255
98,0.0051,8.01,multiplicative,6.009999999999999,126.72663914578091
118,0.0101,2.01,multiplicative,6.009999999999999,127.30930496614165
99,0.0051,8.01,multiplicative,8.01,127.3123897912819
78,0.0051,4.01,multiplicative,6.009999999999999,127.39684097938424
148,0.0101,8.01,multiplicative,6.009999999999999,127.47621368327009
149,0.0101,8.01,multiplicative,8.01,127.49163890030376
76,0.0051,4.01,multiplicative,2.01,127.53676305554337
77,0.0051,4.01,multiplicative,4.01,128.098297058862
79,0.0051,4.01,multiplicative,8.01,128.36350520527114
136,0.0101,6.009999999999999,multiplicative,2.01,128.46229373655027
145,0.0101,8.01,multiplicative,0.01,129.0066678531972
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,129.07728047005978
107,0.0101,0.01,multiplicative,4.01,129.09618492289744
108,0.0101,0.01,multiplicative,6.009999999999999,129.0982618274503
106,0.0101,0.01,multiplicative,2.01,129.10011389551707
109,0.0101,0.01,multiplicative,8.01,129.10225064200932
116,0.0101,2.01,multiplicative,2.01,129.86412277416514
128,0.0101,4.01,multiplicative,6.009999999999999,130.06850746803266
139,0.0101,6.009999999999999,multiplicative,8.01,130.4700845318594
137,0.0101,6.009999999999999,multiplicative,4.01,130.53635371425995
117,0.0101,2.01,multiplicative,4.01,130.87694982950023
87,0.0051,6.009999999999999,multiplicative,4.01,131.23512365172272
129,0.0101,4.01,multiplicative,8.01,131.35967170972717
105,0.0101,0.01,multiplicative,0.01,131.3651925603132
119,0.0101,2.01,multiplicative,8.01,131.46681418978508
127,0.0101,4.01,multiplicative,4.01,131.50843970145755
126,0.0101,4.01,multiplicative,2.01,131.7546045846809
125,0.0101,4.01,multiplicative,0.01,132.4490241124355
135,0.0101,6.009999999999999,multiplicative,0.01,135.48638371854983
5,0.0001,0.01,multiplicative,0.01,140.394439492822
6,0.0001,0.01,multiplicative,2.01,144.03616713544784
8,0.0001,0.01,multiplicative,6.009999999999999,177.78708621291358
7,0.0001,0.01,multiplicative,4.01,185.25207283188533
9,0.0001,0.01,multiplicative,8.01,192.92642744254016
