,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
5,0.0001,0.01,multiplicative,0.01,8.307307728512852
15,0.0001,2.01,multiplicative,0.01,31.689154909126362
25,0.0001,4.01,multiplicative,0.01,31.77729900784263
9,0.0001,0.01,multiplicative,8.01,32.664483746219595
29,0.0001,4.01,multiplicative,8.01,37.37551886529458
8,0.0001,0.01,multiplicative,6.009999999999999,38.016718862078385
45,0.0001,8.01,multiplicative,0.01,44.29245345809036
19,0.0001,2.01,multiplicative,8.01,48.95219697771184
39,0.0001,6.009999999999999,multiplicative,8.01,51.91078979770223
49,0.0001,8.01,multiplicative,8.01,53.73068661242256
97,0.0051,8.01,multiplicative,4.01,63.98662987222732
79,0.0051,4.01,multiplicative,8.01,63.986758332978894
77,0.0051,4.01,multiplicative,4.01,64.00247241456357
76,0.0051,4.01,multiplicative,2.01,64.00313534779094
67,0.0051,2.01,multiplicative,4.01,64.02734597925159
78,0.0051,4.01,multiplicative,6.009999999999999,64.04111263416631
89,0.0051,6.009999999999999,multiplicative,8.01,64.06910076489237
96,0.0051,8.01,multiplicative,2.01,64.07450849190596
86,0.0051,6.009999999999999,multiplicative,2.01,64.10507836655148
98,0.0051,8.01,multiplicative,6.009999999999999,64.68195227319764
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,64.7053967990964
66,0.0051,2.01,multiplicative,2.01,64.92644926112901
87,0.0051,6.009999999999999,multiplicative,4.01,66.06479576878321
69,0.0051,2.01,multiplicative,8.01,66.38418562143535
99,0.0051,8.01,multiplicative,8.01,66.58561927145092
108,0.0101,0.01,multiplicative,6.009999999999999,66.64305386265875
107,0.0101,0.01,multiplicative,4.01,66.67716517629854
106,0.0101,0.01,multiplicative,2.01,66.68914835169262
109,0.0101,0.01,multiplicative,8.01,66.83006113452839
68,0.0051,2.01,multiplicative,6.009999999999999,67.28161794564986
55,0.0051,0.01,multiplicative,0.01,68.63404344961081
59,0.0051,0.01,multiplicative,8.01,69.8675526329877
58,0.0051,0.01,multiplicative,6.009999999999999,69.92324504982565
56,0.0051,0.01,multiplicative,2.01,69.92980913052702
