,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
50,0.0051,0.01,additive,0.01,0.5359262308887947
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,0.7043218426657101
37,0.0001,6.009999999999999,multiplicative,4.01,0.8265630510869078
109,0.0101,0.01,multiplicative,8.01,0.9797164334627886
108,0.0101,0.01,multiplicative,6.009999999999999,0.9851992524089265
107,0.0101,0.01,multiplicative,4.01,0.9858843183569022
106,0.0101,0.01,multiplicative,2.01,0.9870337266288841
117,0.0101,2.01,multiplicative,4.01,1.109421513789123
139,0.0101,6.009999999999999,multiplicative,8.01,1.1243589896578545
116,0.0101,2.01,multiplicative,2.01,1.1874833944244685
119,0.0101,2.01,multiplicative,8.01,1.220431704405726
118,0.0101,2.01,multiplicative,6.009999999999999,1.2208536529978422
127,0.0101,4.01,multiplicative,4.01,1.2303852424740669
147,0.0101,8.01,multiplicative,4.01,1.2442578212411683
146,0.0101,8.01,multiplicative,2.01,1.2480301245512326
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,1.2480789934818308
148,0.0101,8.01,multiplicative,6.009999999999999,1.2547943604356717
126,0.0101,4.01,multiplicative,2.01,1.2553920347970042
136,0.0101,6.009999999999999,multiplicative,2.01,1.2671778459181502
128,0.0101,4.01,multiplicative,6.009999999999999,1.268207624304705
129,0.0101,4.01,multiplicative,8.01,1.2684078333871105
149,0.0101,8.01,multiplicative,8.01,1.2691654376769608
137,0.0101,6.009999999999999,multiplicative,4.01,1.2702824174811493
145,0.0101,8.01,multiplicative,0.01,1.8848112597033766
0,0.0001,0.01,additive,0.01,2.4567131025035125
19,0.0001,2.01,multiplicative,8.01,2.706213659663267
63,0.0051,2.01,additive,6.009999999999999,2.7571142478506725
91,0.0051,8.01,additive,2.01,3.6140748366431423
94,0.0051,8.01,additive,8.01,3.8088011525798833
54,0.0051,0.01,additive,8.01,3.8244249898617264
53,0.0051,0.01,additive,6.009999999999999,3.854931088951419
