,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
141,0.0101,8.01,additive,2.01,35209169978313.03
131,0.0101,6.009999999999999,additive,2.01,36695054121776.45
124,0.0101,4.01,additive,8.01,36793280948580.61
112,0.0101,2.01,additive,4.01,36826204195620.98
133,0.0101,6.009999999999999,additive,6.009999999999999,36839721913401.78
143,0.0101,8.01,additive,6.009999999999999,37006580854115.25
114,0.0101,2.01,additive,8.01,37010673648315.02
142,0.0101,8.01,additive,4.01,37012884382274.98
134,0.0101,6.009999999999999,additive,8.01,37111133258422.28
121,0.0101,4.01,additive,2.01,37789959201813.59
140,0.0101,8.01,additive,0.01,37931445602171.46
122,0.0101,4.01,additive,4.01,37956177012164.98
130,0.0101,6.009999999999999,additive,0.01,38336198966229.805
110,0.0101,2.01,additive,0.01,38424119612146.76
132,0.0101,6.009999999999999,additive,4.01,38449182706545.516
123,0.0101,4.01,additive,6.009999999999999,38460981245334.56
144,0.0101,8.01,additive,8.01,38518174146789.57
111,0.0101,2.01,additive,2.01,38544766237456.695
120,0.0101,4.01,additive,0.01,38546249101802.336
113,0.0101,2.01,additive,6.009999999999999,39705870977278.89
102,0.0101,0.01,additive,4.01,65515811877144.95
104,0.0101,0.01,additive,8.01,65680635265677.01
101,0.0101,0.01,additive,2.01,65907168014127.98
100,0.0101,0.01,additive,0.01,66066566215748.266
103,0.0101,0.01,additive,6.009999999999999,66249194124648.336
128,0.0101,4.01,multiplicative,6.009999999999999,96010077899220.33
125,0.0101,4.01,multiplicative,0.01,100984587747466.72
116,0.0101,2.01,multiplicative,2.01,101410109446123.44
127,0.0101,4.01,multiplicative,4.01,102572077185529.72
148,0.0101,8.01,multiplicative,6.009999999999999,104152231651431.62
146,0.0101,8.01,multiplicative,2.01,105541368407091.25
135,0.0101,6.009999999999999,multiplicative,0.01,105712433229773.77
145,0.0101,8.01,multiplicative,0.01,106391445960582.44
136,0.0101,6.009999999999999,multiplicative,2.01,107374949372947.42
118,0.0101,2.01,multiplicative,6.009999999999999,107789963825311.78
126,0.0101,4.01,multiplicative,2.01,108166899616315.98
129,0.0101,4.01,multiplicative,8.01,108681891480678.55
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,109055025921912.92
147,0.0101,8.01,multiplicative,4.01,109578117997494.8
149,0.0101,8.01,multiplicative,8.01,111426049947775.9
137,0.0101,6.009999999999999,multiplicative,4.01,111760505381785.75
117,0.0101,2.01,multiplicative,4.01,111846981400293.17
119,0.0101,2.01,multiplicative,8.01,112201486211241.2
139,0.0101,6.009999999999999,multiplicative,8.01,114115438640113.78
115,0.0101,2.01,multiplicative,0.01,114947819508404.73
105,0.0101,0.01,multiplicative,0.01,122245017133571.12
107,0.0101,0.01,multiplicative,4.01,126695818662441.72
108,0.0101,0.01,multiplicative,6.009999999999999,127611909890663.22
106,0.0101,0.01,multiplicative,2.01,128204733078371.27
109,0.0101,0.01,multiplicative,8.01,129254461797673.9
57,0.0051,0.01,multiplicative,4.01,202682060694015.1
78,0.0051,4.01,multiplicative,6.009999999999999,207824225534944.72
77,0.0051,4.01,multiplicative,4.01,207834967075589.97
79,0.0051,4.01,multiplicative,8.01,207848773757123.4
16,0.0001,2.01,multiplicative,2.01,207886261339579.0
56,0.0051,0.01,multiplicative,2.01,208609302692560.56
36,0.0001,6.009999999999999,multiplicative,2.01,209441632278648.6
46,0.0001,8.01,multiplicative,2.01,209460376793855.4
26,0.0001,4.01,multiplicative,2.01,209546639123327.94
17,0.0001,2.01,multiplicative,4.01,210817421766558.4
27,0.0001,4.01,multiplicative,4.01,210839489008659.5
37,0.0001,6.009999999999999,multiplicative,4.01,210848709506303.78
47,0.0001,8.01,multiplicative,4.01,210850935021552.22
48,0.0001,8.01,multiplicative,6.009999999999999,212181956052302.53
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,212187087960793.8
28,0.0001,4.01,multiplicative,6.009999999999999,212203403885286.1
18,0.0001,2.01,multiplicative,6.009999999999999,212322218374947.16
75,0.0051,4.01,multiplicative,0.01,212911414026294.22
49,0.0001,8.01,multiplicative,8.01,213796883220338.56
39,0.0001,6.009999999999999,multiplicative,8.01,213804046038824.3
29,0.0001,4.01,multiplicative,8.01,213860942036425.22
19,0.0001,2.01,multiplicative,8.01,214040578094864.3
68,0.0051,2.01,multiplicative,6.009999999999999,214395422591859.78
67,0.0051,2.01,multiplicative,4.01,214881855171366.4
96,0.0051,8.01,multiplicative,2.01,214995156265998.34
69,0.0051,2.01,multiplicative,8.01,215392514396178.4
97,0.0051,8.01,multiplicative,4.01,215737771159368.38
99,0.0051,8.01,multiplicative,8.01,215822596963382.8
98,0.0051,8.01,multiplicative,6.009999999999999,215845822676437.94
85,0.0051,6.009999999999999,multiplicative,0.01,216322942957359.6
