,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
6,0.0001,0.01,multiplicative,2.01,106.0220466088855
77,0.0051,4.01,multiplicative,4.01,111.92448964236988
149,0.0101,8.01,multiplicative,8.01,112.5792494440415
5,0.0001,0.01,multiplicative,0.01,112.69617074946159
68,0.0051,2.01,multiplicative,6.009999999999999,113.15872858249594
67,0.0051,2.01,multiplicative,4.01,113.17173044379898
69,0.0051,2.01,multiplicative,8.01,113.2130142944183
66,0.0051,2.01,multiplicative,2.01,113.38234864174048
146,0.0101,8.01,multiplicative,2.01,113.50332301925796
147,0.0101,8.01,multiplicative,4.01,113.62058846291994
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,113.71154873782015
148,0.0101,8.01,multiplicative,6.009999999999999,113.7380621393727
87,0.0051,6.009999999999999,multiplicative,4.01,113.81282757361586
76,0.0051,4.01,multiplicative,2.01,113.90540447003855
107,0.0101,0.01,multiplicative,4.01,113.91886798794562
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,113.96916196782246
78,0.0051,4.01,multiplicative,6.009999999999999,113.99365962831578
125,0.0101,4.01,multiplicative,0.01,114.01735110312543
116,0.0101,2.01,multiplicative,2.01,114.11826276603333
145,0.0101,8.01,multiplicative,0.01,114.13374845705764
75,0.0051,4.01,multiplicative,0.01,114.2197291635324
99,0.0051,8.01,multiplicative,8.01,114.26029223796614
96,0.0051,8.01,multiplicative,2.01,114.2608467340408
108,0.0101,0.01,multiplicative,6.009999999999999,114.47051734955707
95,0.0051,8.01,multiplicative,0.01,114.52467032376703
89,0.0051,6.009999999999999,multiplicative,8.01,114.60915705185661
85,0.0051,6.009999999999999,multiplicative,0.01,114.64163913009715
109,0.0101,0.01,multiplicative,8.01,114.72642055208307
86,0.0051,6.009999999999999,multiplicative,2.01,114.88141113953787
98,0.0051,8.01,multiplicative,6.009999999999999,115.1217444107079
97,0.0051,8.01,multiplicative,4.01,115.14387296171371
118,0.0101,2.01,multiplicative,6.009999999999999,115.22062989247104
135,0.0101,6.009999999999999,multiplicative,0.01,115.34832150179868
55,0.0051,0.01,multiplicative,0.01,115.46386704208595
106,0.0101,0.01,multiplicative,2.01,115.53797156978601
115,0.0101,2.01,multiplicative,0.01,115.63842147625942
105,0.0101,0.01,multiplicative,0.01,115.73584761279369
126,0.0101,4.01,multiplicative,2.01,116.09030522243296
127,0.0101,4.01,multiplicative,4.01,116.09032804015165
129,0.0101,4.01,multiplicative,8.01,116.09040393550131
128,0.0101,4.01,multiplicative,6.009999999999999,116.09052064945993
139,0.0101,6.009999999999999,multiplicative,8.01,116.09097021365228
137,0.0101,6.009999999999999,multiplicative,4.01,116.09290140201665
136,0.0101,6.009999999999999,multiplicative,2.01,116.09299454549387
65,0.0051,2.01,multiplicative,0.01,116.39194681801635
119,0.0101,2.01,multiplicative,8.01,116.44492463543503
57,0.0051,0.01,multiplicative,4.01,116.7275760857167
56,0.0051,0.01,multiplicative,2.01,116.76744475335168
59,0.0051,0.01,multiplicative,8.01,116.82628173806127
58,0.0051,0.01,multiplicative,6.009999999999999,116.83574025152508
79,0.0051,4.01,multiplicative,8.01,116.91499253627605
117,0.0101,2.01,multiplicative,4.01,117.42686749962343
9,0.0001,0.01,multiplicative,8.01,123.44397279688764
37,0.0001,6.009999999999999,multiplicative,4.01,139.33488220026072
35,0.0001,6.009999999999999,multiplicative,0.01,139.56937779224268
8,0.0001,0.01,multiplicative,6.009999999999999,139.74210574571947
45,0.0001,8.01,multiplicative,0.01,140.9233371234701
54,0.0051,0.01,additive,8.01,143.06156387020565
53,0.0051,0.01,additive,6.009999999999999,143.06201551147797
52,0.0051,0.01,additive,4.01,143.066160478828
51,0.0051,0.01,additive,2.01,143.10132671029658
102,0.0101,0.01,additive,4.01,144.22439624703657
0,0.0001,0.01,additive,0.01,144.66616693941796
101,0.0101,0.01,additive,2.01,144.6793903607676
50,0.0051,0.01,additive,0.01,144.79221455803176
100,0.0101,0.01,additive,0.01,145.41549650711173
103,0.0101,0.01,additive,6.009999999999999,145.60323555252893
39,0.0001,6.009999999999999,multiplicative,8.01,146.63392236082296
104,0.0101,0.01,additive,8.01,148.11324167661587
123,0.0101,4.01,additive,6.009999999999999,148.37794638734522
10,0.0001,2.01,additive,0.01,149.3646098664308
20,0.0001,4.01,additive,0.01,149.3664711559383
30,0.0001,6.009999999999999,additive,0.01,149.36677846419616
40,0.0001,8.01,additive,0.01,149.36688734259803
144,0.0101,8.01,additive,8.01,149.41841388133543
111,0.0101,2.01,additive,2.01,149.6774864890515
110,0.0101,2.01,additive,0.01,149.79896741942474
