,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
136,0.0101,6.009999999999999,multiplicative,2.01,102.3725888996181
67,0.0051,2.01,multiplicative,4.01,102.52383424403612
149,0.0101,8.01,multiplicative,8.01,102.72187731567519
78,0.0051,4.01,multiplicative,6.009999999999999,104.14471826941013
129,0.0101,4.01,multiplicative,8.01,104.19892583501434
125,0.0101,4.01,multiplicative,0.01,104.32626237341545
115,0.0101,2.01,multiplicative,0.01,104.38978203530122
98,0.0051,8.01,multiplicative,6.009999999999999,104.74714899976965
127,0.0101,4.01,multiplicative,4.01,105.79051162465527
126,0.0101,4.01,multiplicative,2.01,105.9524698381772
128,0.0101,4.01,multiplicative,6.009999999999999,105.98122575442268
137,0.0101,6.009999999999999,multiplicative,4.01,106.17960132600463
139,0.0101,6.009999999999999,multiplicative,8.01,106.18288113074628
147,0.0101,8.01,multiplicative,4.01,106.1953066073242
146,0.0101,8.01,multiplicative,2.01,106.20539814004653
148,0.0101,8.01,multiplicative,6.009999999999999,106.22128134064484
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,106.2783182062538
68,0.0051,2.01,multiplicative,6.009999999999999,106.9771464679822
5,0.0001,0.01,multiplicative,0.01,107.69408804795928
145,0.0101,8.01,multiplicative,0.01,107.85526748205243
135,0.0101,6.009999999999999,multiplicative,0.01,108.97101943505383
69,0.0051,2.01,multiplicative,8.01,109.89810065581365
97,0.0051,8.01,multiplicative,4.01,110.14958560666224
118,0.0101,2.01,multiplicative,6.009999999999999,111.76199624550298
119,0.0101,2.01,multiplicative,8.01,111.76481839623149
117,0.0101,2.01,multiplicative,4.01,111.89358093365875
116,0.0101,2.01,multiplicative,2.01,112.09704875105987
109,0.0101,0.01,multiplicative,8.01,117.95824794739956
107,0.0101,0.01,multiplicative,4.01,118.04406899690166
108,0.0101,0.01,multiplicative,6.009999999999999,118.10417140478849
106,0.0101,0.01,multiplicative,2.01,118.11299746543635
57,0.0051,0.01,multiplicative,4.01,120.05506826113273
56,0.0051,0.01,multiplicative,2.01,120.05543039137085
59,0.0051,0.01,multiplicative,8.01,120.0577129829823
58,0.0051,0.01,multiplicative,6.009999999999999,120.05925471540122
99,0.0051,8.01,multiplicative,8.01,125.14343045446866
105,0.0101,0.01,multiplicative,0.01,129.57349462383115
85,0.0051,6.009999999999999,multiplicative,0.01,132.90507830633388
55,0.0051,0.01,multiplicative,0.01,133.04929262777142
65,0.0051,2.01,multiplicative,0.01,133.44292413155583
75,0.0051,4.01,multiplicative,0.01,133.44611915700176
95,0.0051,8.01,multiplicative,0.01,133.84440363961767
29,0.0001,4.01,multiplicative,8.01,134.99168941403175
39,0.0001,6.009999999999999,multiplicative,8.01,136.98324304818425
6,0.0001,0.01,multiplicative,2.01,137.86538292753275
49,0.0001,8.01,multiplicative,8.01,137.9143370217508
7,0.0001,0.01,multiplicative,4.01,138.0659704101148
1,0.0001,0.01,additive,2.01,140.98394469780172
15,0.0001,2.01,multiplicative,0.01,149.42543328555794
4,0.0001,0.01,additive,8.01,150.05114699006188
3,0.0001,0.01,additive,6.009999999999999,150.35119451760914
77,0.0051,4.01,multiplicative,4.01,151.12746863074565
8,0.0001,0.01,multiplicative,6.009999999999999,151.2192481224973
86,0.0051,6.009999999999999,multiplicative,2.01,151.7551973168232
2,0.0001,0.01,additive,4.01,151.7794800717846
79,0.0051,4.01,multiplicative,8.01,152.05447760566594
17,0.0001,2.01,multiplicative,4.01,154.0546291317455
66,0.0051,2.01,multiplicative,2.01,154.4452513343373
89,0.0051,6.009999999999999,multiplicative,8.01,154.87479443053945
76,0.0051,4.01,multiplicative,2.01,155.29274197973427
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,155.447885905057
87,0.0051,6.009999999999999,multiplicative,4.01,155.7613678752739
96,0.0051,8.01,multiplicative,2.01,155.7710668127606
101,0.0101,0.01,additive,2.01,158.05774465619683
16,0.0001,2.01,multiplicative,2.01,158.35807198311832
14,0.0001,2.01,additive,8.01,159.5327209032116
24,0.0001,4.01,additive,8.01,159.55489167106919
34,0.0001,6.009999999999999,additive,8.01,159.55726630202435
44,0.0001,8.01,additive,8.01,159.55857848347296
102,0.0101,0.01,additive,4.01,160.88428316436097
103,0.0101,0.01,additive,6.009999999999999,163.38219939743513
35,0.0001,6.009999999999999,multiplicative,0.01,164.16476528901978
143,0.0101,8.01,additive,6.009999999999999,164.6033148071774
133,0.0101,6.009999999999999,additive,6.009999999999999,165.01291100534036
141,0.0101,8.01,additive,2.01,165.41287546727844
10,0.0001,2.01,additive,0.01,165.45846675220452
45,0.0001,8.01,multiplicative,0.01,166.23423885688024
104,0.0101,0.01,additive,8.01,166.58576293367688
20,0.0001,4.01,additive,0.01,166.77007823512088
134,0.0101,6.009999999999999,additive,8.01,166.96728618178318
30,0.0001,6.009999999999999,additive,0.01,167.10490817287032
124,0.0101,4.01,additive,8.01,167.18745167520854
40,0.0001,8.01,additive,0.01,167.22531927445107
9,0.0001,0.01,multiplicative,8.01,167.5652459306707
121,0.0101,4.01,additive,2.01,167.6925217112305
41,0.0001,8.01,additive,2.01,168.3142407125587
31,0.0001,6.009999999999999,additive,2.01,168.31436699586416
21,0.0001,4.01,additive,2.01,168.31469368599662
11,0.0001,2.01,additive,2.01,168.3163372917859
12,0.0001,2.01,additive,4.01,168.61395710401737
22,0.0001,4.01,additive,4.01,168.61512009431362
32,0.0001,6.009999999999999,additive,4.01,168.61527251362392
42,0.0001,8.01,additive,4.01,168.61542587553373
13,0.0001,2.01,additive,6.009999999999999,168.98370906056655
23,0.0001,4.01,additive,6.009999999999999,168.98538100885517
33,0.0001,6.009999999999999,additive,6.009999999999999,168.9855946088341
43,0.0001,8.01,additive,6.009999999999999,168.98582514167947
132,0.0101,6.009999999999999,additive,4.01,169.31367849529906
111,0.0101,2.01,additive,2.01,170.20573231820282
100,0.0101,0.01,additive,0.01,170.38962184883434
112,0.0101,2.01,additive,4.01,170.63940091726772
122,0.0101,4.01,additive,4.01,170.91898929110943
142,0.0101,8.01,additive,4.01,171.3943151839046
