,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
30,0.0001,1.01,multiplicative,0.01,231.38060293380647
11,0.0001,0.01,multiplicative,1.01,243.1473912558192
161,0.0001,8.01,additive,1.01,245.02239028057582
181,0.0001,9.01,additive,1.01,245.02240080007132
141,0.0001,7.01,additive,1.01,245.0224122433562
121,0.0001,6.01,additive,1.01,245.02242374584847
101,0.0001,5.01,additive,1.01,245.02244309267977
81,0.0001,4.01,additive,1.01,245.02247824195376
61,0.0001,3.01,additive,1.01,245.02254216659787
41,0.0001,2.01,additive,1.01,245.0227722928021
21,0.0001,1.01,additive,1.01,245.02367345301613
1,0.0001,0.01,additive,1.01,245.61832466000786
91,0.0001,4.01,multiplicative,1.01,246.31164056154358
90,0.0001,4.01,multiplicative,0.01,246.79950519826716
72,0.0001,3.01,multiplicative,2.01,246.93065892114308
71,0.0001,3.01,multiplicative,1.01,249.72644005982178
111,0.0001,5.01,multiplicative,1.01,250.58289936157496
92,0.0001,4.01,multiplicative,2.01,251.26577320327988
131,0.0001,6.01,multiplicative,1.01,252.66109520752684
151,0.0001,7.01,multiplicative,1.01,254.17465437614825
112,0.0001,5.01,multiplicative,2.01,254.32633094346738
36,0.0001,1.01,multiplicative,6.01,254.42614371414984
16,0.0001,0.01,multiplicative,6.01,254.43663424541532
56,0.0001,2.01,multiplicative,6.01,254.51542008515665
76,0.0001,3.01,multiplicative,6.01,254.56136623083918
96,0.0001,4.01,multiplicative,6.01,254.58793813503968
116,0.0001,5.01,multiplicative,6.01,254.60278234104868
136,0.0001,6.01,multiplicative,6.01,254.61164617380368
156,0.0001,7.01,multiplicative,6.01,254.61702705152345
176,0.0001,8.01,multiplicative,6.01,254.62083525280192
196,0.0001,9.01,multiplicative,6.01,254.62352641955627
171,0.0001,8.01,multiplicative,1.01,255.14627045433903
191,0.0001,9.01,multiplicative,1.01,255.81748269284043
132,0.0001,6.01,multiplicative,2.01,257.0521574314468
487,0.0101,4.01,additive,7.01,257.41134823225985
442,0.0101,2.01,additive,2.01,257.4213109268431
546,0.0101,7.01,additive,6.01,257.4643499558945
427,0.0101,1.01,additive,7.01,257.51988482780837
506,0.0101,5.01,additive,6.01,257.5330963682672
19,0.0001,0.01,multiplicative,9.01,258.71480616388743
152,0.0001,7.01,multiplicative,2.01,258.8039222220479
157,0.0001,7.01,multiplicative,7.01,258.93868612805545
197,0.0001,9.01,multiplicative,7.01,258.9389536492955
177,0.0001,8.01,multiplicative,7.01,258.9393713415365
137,0.0001,6.01,multiplicative,7.01,258.94105492704045
97,0.0001,4.01,multiplicative,7.01,258.9421388563477
117,0.0001,5.01,multiplicative,7.01,258.9425661460396
77,0.0001,3.01,multiplicative,7.01,258.94624370295185
37,0.0001,1.01,multiplicative,7.01,258.95195979500386
57,0.0001,2.01,multiplicative,7.01,258.95306637477455
17,0.0001,0.01,multiplicative,7.01,258.9975712772184
440,0.0101,2.01,additive,0.01,259.1240823563773
480,0.0101,4.01,additive,0.01,259.1771460497551
420,0.0101,1.01,additive,0.01,259.1873167982367
500,0.0101,5.01,additive,0.01,259.25253872211096
540,0.0101,7.01,additive,0.01,259.2684884776331
580,0.0101,9.01,additive,0.01,259.26990310387725
560,0.0101,8.01,additive,0.01,259.2945112770265
520,0.0101,6.01,additive,0.01,259.2948209642333
460,0.0101,3.01,additive,0.01,259.3072286304141
443,0.0101,2.01,additive,3.01,259.43138238454173
545,0.0101,7.01,additive,5.01,259.66927150900625
35,0.0001,1.01,multiplicative,5.01,259.8115486519763
473,0.0101,3.01,multiplicative,3.01,259.83225117394716
15,0.0001,0.01,multiplicative,5.01,259.8332514316891
552,0.0101,7.01,multiplicative,2.01,259.8862121599341
455,0.0101,2.01,multiplicative,5.01,259.89366901449336
532,0.0101,6.01,multiplicative,2.01,259.97959889572667
55,0.0001,2.01,multiplicative,5.01,260.00744215855696
472,0.0101,3.01,multiplicative,2.01,260.00744807818785
554,0.0101,7.01,multiplicative,4.01,260.01490409957705
454,0.0101,2.01,multiplicative,4.01,260.0204354067673
476,0.0101,3.01,multiplicative,6.01,260.0246526571432
556,0.0101,7.01,multiplicative,6.01,260.03093169138145
536,0.0101,6.01,multiplicative,6.01,260.03235293997386
534,0.0101,6.01,multiplicative,4.01,260.0332130583982
596,0.0101,9.01,multiplicative,6.01,260.04418978590485
572,0.0101,8.01,multiplicative,2.01,260.05998461103354
513,0.0101,5.01,multiplicative,3.01,260.07486929912125
493,0.0101,4.01,multiplicative,3.01,260.07557785387434
517,0.0101,5.01,multiplicative,7.01,260.0821956977127
498,0.0101,4.01,multiplicative,8.01,260.08591309588587
576,0.0101,8.01,multiplicative,6.01,260.08688607144677
499,0.0101,4.01,multiplicative,9.01,260.0904442331485
518,0.0101,5.01,multiplicative,8.01,260.0935820493651
