,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
5,0.0001,0.01,multiplicative,0.01,107.6453441720669
78,0.0051,4.01,multiplicative,6.009999999999999,121.50230143265581
76,0.0051,4.01,multiplicative,2.01,121.51026848881294
79,0.0051,4.01,multiplicative,8.01,121.51263729862801
77,0.0051,4.01,multiplicative,4.01,121.5222779889664
99,0.0051,8.01,multiplicative,8.01,121.59387558702595
97,0.0051,8.01,multiplicative,4.01,121.5942329347869
98,0.0051,8.01,multiplicative,6.009999999999999,121.60165171554502
96,0.0051,8.01,multiplicative,2.01,121.61894397838357
59,0.0051,0.01,multiplicative,8.01,121.62522661946582
89,0.0051,6.009999999999999,multiplicative,8.01,121.63116453544656
87,0.0051,6.009999999999999,multiplicative,4.01,121.63716557131727
86,0.0051,6.009999999999999,multiplicative,2.01,121.64147069066564
69,0.0051,2.01,multiplicative,8.01,121.67402896617226
67,0.0051,2.01,multiplicative,4.01,121.67435708986444
66,0.0051,2.01,multiplicative,2.01,121.67553685552093
68,0.0051,2.01,multiplicative,6.009999999999999,121.6760562909253
95,0.0051,8.01,multiplicative,0.01,121.80892586917393
85,0.0051,6.009999999999999,multiplicative,0.01,121.86604222420661
58,0.0051,0.01,multiplicative,6.009999999999999,121.87268328383006
57,0.0051,0.01,multiplicative,4.01,121.88218859728022
65,0.0051,2.01,multiplicative,0.01,121.9905213234002
75,0.0051,4.01,multiplicative,0.01,121.9913952690517
56,0.0051,0.01,multiplicative,2.01,122.27422472886806
55,0.0051,0.01,multiplicative,0.01,122.4777867738857
105,0.0101,0.01,multiplicative,0.01,122.5773059442037
107,0.0101,0.01,multiplicative,4.01,126.5686736919303
108,0.0101,0.01,multiplicative,6.009999999999999,126.6953659483101
106,0.0101,0.01,multiplicative,2.01,126.88428053736935
109,0.0101,0.01,multiplicative,8.01,126.96392235851076
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,127.42475700682516
135,0.0101,6.009999999999999,multiplicative,0.01,129.54133370127715
145,0.0101,8.01,multiplicative,0.01,129.73405780863797
115,0.0101,2.01,multiplicative,0.01,129.74519141504035
125,0.0101,4.01,multiplicative,0.01,129.82975879506083
117,0.0101,2.01,multiplicative,4.01,131.49668855342807
116,0.0101,2.01,multiplicative,2.01,131.49711078984188
119,0.0101,2.01,multiplicative,8.01,131.51037309588855
118,0.0101,2.01,multiplicative,6.009999999999999,131.51413766456187
127,0.0101,4.01,multiplicative,4.01,131.70548375322795
126,0.0101,4.01,multiplicative,2.01,131.7406482371497
129,0.0101,4.01,multiplicative,8.01,131.74430596395365
128,0.0101,4.01,multiplicative,6.009999999999999,131.7470548592657
149,0.0101,8.01,multiplicative,8.01,131.75894154572532
147,0.0101,8.01,multiplicative,4.01,131.7705054217323
146,0.0101,8.01,multiplicative,2.01,131.79807110707728
148,0.0101,8.01,multiplicative,6.009999999999999,131.9279265893205
136,0.0101,6.009999999999999,multiplicative,2.01,131.9494425257455
137,0.0101,6.009999999999999,multiplicative,4.01,131.97093064847584
139,0.0101,6.009999999999999,multiplicative,8.01,131.97145045727612
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,131.9714633740209
0,0.0001,0.01,additive,0.01,133.61367307347734
35,0.0001,6.009999999999999,multiplicative,0.01,134.50318808389585
9,0.0001,0.01,multiplicative,8.01,137.20047461880654
50,0.0051,0.01,additive,0.01,139.1658343122965
40,0.0001,8.01,additive,0.01,139.425140628398
30,0.0001,6.009999999999999,additive,0.01,139.4257762946699
20,0.0001,4.01,additive,0.01,139.42759447093783
10,0.0001,2.01,additive,0.01,139.43704204668612
7,0.0001,0.01,multiplicative,4.01,139.80284015704126
1,0.0001,0.01,additive,2.01,140.2624668766841
100,0.0101,0.01,additive,0.01,140.36381459441535
53,0.0051,0.01,additive,6.009999999999999,140.6899372420804
52,0.0051,0.01,additive,4.01,140.71318305330362
54,0.0051,0.01,additive,8.01,140.72448318965687
51,0.0051,0.01,additive,2.01,141.43991636795542
102,0.0101,0.01,additive,4.01,141.62556776847055
101,0.0101,0.01,additive,2.01,141.6347192031242
103,0.0101,0.01,additive,6.009999999999999,142.05159067751907
104,0.0101,0.01,additive,8.01,143.44922800715077
110,0.0101,2.01,additive,0.01,148.73536568579263
121,0.0101,4.01,additive,2.01,148.7785157802839
112,0.0101,2.01,additive,4.01,148.83306398064383
133,0.0101,6.009999999999999,additive,6.009999999999999,148.9206414749483
131,0.0101,6.009999999999999,additive,2.01,148.95038012073167
26,0.0001,4.01,multiplicative,2.01,148.98338951758535
141,0.0101,8.01,additive,2.01,149.04716322915056
130,0.0101,6.009999999999999,additive,0.01,149.21253144493346
64,0.0051,2.01,additive,8.01,149.3391280737793
62,0.0051,2.01,additive,4.01,149.41229878429445
93,0.0051,8.01,additive,6.009999999999999,149.50309089873627
71,0.0051,4.01,additive,2.01,149.50352081501745
61,0.0051,2.01,additive,2.01,149.50504786886523
91,0.0051,8.01,additive,2.01,149.50587184817377
81,0.0051,6.009999999999999,additive,2.01,149.50652866435314
92,0.0051,8.01,additive,4.01,149.50845611960247
120,0.0101,4.01,additive,0.01,149.55160935923826
140,0.0101,8.01,additive,0.01,149.6315770277219
63,0.0051,2.01,additive,6.009999999999999,149.6645467897288
122,0.0101,4.01,additive,4.01,149.91052639897714
111,0.0101,2.01,additive,2.01,150.04355210946125
134,0.0101,6.009999999999999,additive,8.01,150.43093618706712
132,0.0101,6.009999999999999,additive,4.01,150.47080975076003
